BMID_Experiment,X,Y,Z
,-44,-16,-26
,-46,-6,-32
,-52,18,-20
,-52,6,-6
,-56,26,0
,-58,-36,6
,-60,14,10
,10,-66,-30
,18,-78,-40
,26,-78,-36
,44,-36,10
,56,30,-12
,62,22,2
,62,4,-6
,64,-36,10
,64,-50,12
,66,-10,8
,70,-22,-2
,70,-28,10
30162_2,-30,-64,44
,-32,-90,-12
,-34,2,36
,24,-70,44
,26,-92,-12
,36,-10,48
,38,52,16
,40,38,28
,48,2,28
,50,18,8
30188_1,-34,24,0
,-4,21,32
,-40,-2,36
,-44,23,-11
,-50,-32,6
,0,11,56
30190_2,-18,-70,50
,-26,6,58
,-28,-54,48
,-28,-88,-8
,-28,18,2
,-40,0,36
,-42,-38,40
,-48,-62,-14
,-48,26,28
,22,-82,-6
,30,-88,2
,30,8,54
,32,-68,42
,60,-66,-12
30190_3,-14,-90,-4
,-16,-34,-28
,-26,8,56
,-28,-56,46
,-28,18,2
,-42,0,38
,-46,-76,-8
,-48,22,30
,-8,-74,48
,10,-74,-36
,18,-74,46
,22,-76,-2
,34,-72,36
,48,-84,-12
30190_4,-12,10,56
,-16,-68,50
,-24,-83,-8
,-26,6,58
,-30,-52,50
,-36,2,30
,-48,-34,42
,-48,-62,-16
,-54,-52,-22
,16,-48,-40
,22,-82,-8
,30,-66,50
,44,-42,50
,46,-58,-10
,56,-68,-16
30192_1,-11,-71,50
,-33,-52,42
,-33,-70,41
,-37,5,33
,-5,-70,49
,12,-69,47
,20,-72,46
,28,-78,34
,28,0,52
,33,-88,-8
,34,-61,42
,41,-81,26
,43,4,26
,8,21,45
30192_2,-15,-68,51
,-23,-77,29
,-27,-87,-2
,-29,-55,40
,-39,5,29
,-44,9,9
,-7,-68,49
,21,-78,42
,33,-60,43
,39,-92,-1
,6,16,49
30192_3,-12,-72,48
,-2,-67,48
,-2,16,48
,-23,3,53
,-25,-79,32
,-27,-63,42
,-28,-83,10
,-30,-86,-2
,-31,21,5
,-36,-69,-11
,-37,4,33
,-40,27,27
,-43,7,18
,-46,10,10
,13,-71,44
,22,-72,45
,28,-81,-11
,31,1,50
,32,-78,31
,34,39,24
,35,-59,40
,35,20,1
,36,-83,18
,36,-93,9
,42,40,13
,43,31,31
,45,8,29
,47,27,20
,52,10,7
,8,18,43
30205_3,-26,-68,-32
,-26,6,58
,-28,-64,50
,-32,50,12
,-34,20,8
,-40,0,32
,-44,22,28
,-50,-60,-8
,-6,-72,48
,14,18,44
,32,2,48
,34,-54,-32
,34,-70,48
,34,56,16
,4,-16,0
,4,-54,-22
,4,-68,-36
,50,30,22
,50,44,28
,54,12,32
,60,-60,-18
,68,-48,-12
,74,-34,-20
,8,-24,-8
,8,34,20
30206_3,-26,-66,54
,-34,-92,-10
,-40,32,-8
,-44,-76,2
,-44,2,28
,-46,-64,-28
,-50,-6,46
,-52,-56,4
,-58,-14,-8
,-58,-56,6
,16,-96,-6
,20,-100,8
,30,-60,-26
,34,-56,60
,4,8,56
,40,-66,-22
,40,10,28
,46,-60,-16
,46,-68,-14
,58,-10,48
30206_4,-26,-66,54
,-34,-92,-10
,-40,32,-8
,-44,2,28
,-50,-6,46
,-58,-14,-8
,46,-68,-14
30223_2,-1,-60,-1
,-17,-70,-13
,-19,-52,-14
,-24,-77,32
,-38,27,9
,-40,14,29
,-48,8,43
,-57,-8,26
,-58,-21,4
,5,4,55
,62,-16,1
,8,19,35
30224_1,-23,-97,-3
,-36,-67,-6
,-39,-65,-13
,-41,10,37
,-41,3,25
,36,-56,47
,54,10,36
30224_2,-23,-94,-10
,-36,4,31
,-39,-53,-14
,-45,-64,-6
,-48,29,16
,35,-46,-15
,47,16,29
,66,-19,-5
30225_4,-11,-87,1
,-33,10,30
,-36,-71,-6
