BMID_Experiment,X,Y,Z
,-45,-3,3
,-51,-51,12
,-6,-18,9
,0,6,48
,12,-15,6
,12,21,30
,27,-54,-24
,27,6,-6
,3,-24,24
,33,-54,51
,39,42,24
,42,-3,54
,42,24,-6
,60,-39,12
5090243_3,-11,-64,0
,-15,-26,-10
,-15,-56,55
,-41,8,30
,-45,-41,50
,0,11,50
,11,-60,0
,11,30,-5
5090243_5,-34,5,37
,-36,-41,47
,0,10,49
,32,-41,47
5100245_1,-21,-77,51
,-39,-75,4
,-39,9,29
,-40,38,-1
,2,32,40
,28,-68,50
,34,59,7
,44,-76,0
,48,20,34
5100245_3,-13,-104,5
,-30,-55,-9
,-38,9,30
,34,-51,-11
5110246_3,-33,24,1
,-38,10,29
,-39,-47,-14
,-44,30,13
,-46,21,24
,-49,-67,0
,-51,19,0
6050044_3,-26,-4,52
,-26,-70,54
,-44,6,30
,0,6,50
,14,-96,6
,32,-68,44
,64,12,28
6050055_1,-2,12,54
,-20,-24,-14
,-28,-70,48
,-32,4,56
,-34,58,14
,-42,28,2
,-42,4,46
,-46,-54,52
,-46,8,26
,-50,18,6
,-50,36,12
,10,-26,-14
,16,-22,-18
,2,26,44
,42,20,-14
6060084_2,-42,3,33
,-48,15,6
,-51,24,-12
,-57,9,27
6080108_1,-28,6,42
,-42,40,14
,-44,8,30
,0,18,46
,22,46,-22
,28,14,46
,36,12,22
,40,20,-10
,42,44,26
6080112_1,-20,16,16
,-24,-64,36
,-28,20,-4
,-40,4,32
,12,12,40
,28,-56,44
,28,-72,20
,28,-84,4
,40,20,20
6080118_1,-22,42,4
,-40,38,0
,-40,6,22
,-48,-48,9
,24,48,0
,34,38,-4
,42,4,27
6080118_4,-2,-4,58
,-24,-82,18
,-26,-72,32
,-32,-90,4
,-32,22,-4
,-4,14,45
,-42,24,18
,-42,4,27
,28,-76,22
,30,-86,18
,30,-86,4
,46,12,18
,46,6,27
,48,32,18
,6,20,40
6080130_1,-18,-97,3
,-22,8,-4
,-30,27,-6
,-32,8,51
,-34,-56,51
,-38,-57,-21
,-40,-51,-14
,-44,11,31
,0,-58,-31
,12,26,23
,2,-58,-29
,24,-91,3
,24,6,-4
,26,14,38
,30,14,53
,34,-56,42
,36,21,-9
,39,-57,-22
,4,31,44
,48,-57,-16
,48,15,18
,6,14,48
6080131_1,-19,19,64
,-27,-79,-28
,-28,-43,65
,-28,-50,70
,-28,18,61
,-3,23,45
,-33,-56,59
,-37,3,39
,-37,33,14
,-37,5,62
,-38,-72,-30
,-40,-42,46
,-41,-28,54
,-43,-6,-23
,-45,7,20
,-48,-11,-18
,-50,-50,-16
,-52,22,27
,-59,27,-12
,-59,30,9
,-63,19,-1
,-64,19,17
,-7,-49,81
,-70,-15,-21
,15,23,29
,18,-74,36
,3,9,30
,38,-72,-31
,41,0,-31
,42,65,-16
,43,-8,-31
,47,-34,-18
,47,-59,8
,48,60,-19
,48,8,9
,50,60,-28
,52,7,22
,59,-38,-21
,60,39,-25
,62,39,-13
,7,-91,2
,74,-12,-27
,74,-38,9
,76,-31,5
,78,-22,14
6080135_1,-10,-5,50
,-25,-59,42
,-3,-46,22
,-37,14,24
,-41,-19,57
,-41,4,37
,-45,11,-12
,-52,-14,39
,12,40,-40
,13,53,-23
,17,5,42
,40,-55,35
,40,-68,18
,47,12,-8
,55,-6,37
,58,-4,25
,6,13,48
6080135_5,-19,-88,-32
,-28,-8,-2
,-34,-72,41
,-43,-71,34
,-43,3,27
,-46,-66,24
,-49,-19,43
,0,7,46
,3,-64,19
,36,-72,33
,4,-85,-24
,41,1,31
,44,-5,-44
,45,21,29
,55,12,-1
,6,-78,4
,61,-33,29
6110181_1,-20,-100,0
,-26,-68,46
,-44,2,38
,-54,-4,44
,-62,-26,0
6110182_2,-25,-87,-13
,-26,-69,40
,-41,-2,38
,-46,2,53
,-46,40,4
,-47,20,27
,-50,25,-2
,2,7,54
,24,-92,-11
6120188_1,-2,28,36
,-36,54,4
,-36,60,-8
,-40,-48,32
,-44,-76,-12
,-44,4,28
,-46,4,40
,-50,-36,36
,-54,24,24
,32,-74,-12
,4,-22,20
,4,-68,28
,40,10,36
,50,26,16
,6,2,0
7010012_1,-20,-38,-10
,-25,-25,-13
,-26,-67,46
,-31,-49,-13
,-40,27,1
,-41,8,31
,-5,12,57
,-9,-55,10
,35,19,10
7010017_2,-12,22,44
,-16,-6,20
,-22,-76,44
,-24,-48,-16
,-26,-42,44
,-28,-58,32
,-28,-80,24
,-28,0,48
,-30,22,-4
,-32,-78,0
,-38,-66,-8
,-40,-6,32
,-40,20,28
,-40,36,0
,-40,6,24
,-6,-24,4
,-6,10,36
,12,22,28
,22,-20,16
,22,14,8
,24,-52,4
,24,10,4
,26,-54,8
,30,20,-8
,36,44,24
,40,36,16
,42,30,-8
7010017_3,-10,30,48
,-22,-76,40
,-34,4,40
,-36,-78,40
,-4,26,56
,-40,-60,44
,-40,-62,0
,-46,34,-4
,-48,-56,-12
,-50,0,8
,-52,26,12
,10,30,48
,22,-40,32
,26,-26,28
,26,-30,-8
,28,36,12
,30,-54,28
,30,-6,32
,38,-52,8
,40,36,-8
,50,34,-12
7010024_1,-15,66,11
,-28,-65,46
,-29,24,8
,-41,4,37
,-45,32,32
,-48,17,43
,18,13,64
,2,15,57
,28,42,-15
,41,-62,49
,41,25,10
,44,16,22
,47,48,23
7010026_3,-36,0,27
,-42,-51,6
,27,-84,6
,3,-78,-27
,6,-36,-12
,60,-30,6
,66,-30,12
7020033_4,-1,-49,19
,-1,51,-6
,-19,37,39
,-38,4,38
,-41,21,37
,0,53,14
,2,-49,19
,2,51,-6
,2,61,10
7020036_3,-2,-1,58
,-2,4,57
,-42,3,27
,-47,-17,40
,-51,32,9
,-56,-7,23
,44,-13,35
7020037_1,-39,-21,62
,-39,-39,49
,-42,6,31
,0,17,49
,17,-60,-22
,48,-34,46
7020037_3,-1,-1,52
,-18,-53,-18
,-38,3,32
,-42,-39,49
,50,-19,62
,54,-36,47
7020039_1,-22,12,54
,-26,-64,54
,-4,22,36
,-42,6,36
,-8,-18,4
,44,44,27
,46,10,32
,52,20,4
7020041_2,-14,-70,37
,-22,-9,55
,-29,-41,51
,-40,1,35
,29,-7,52
,39,-29,43
,46,1,31
7020054_2,-32,38,28
,-36,22,-10
,-36,4,28
,-4,18,40
,34,46,26
,38,26,-10
,8,-80,-42
,8,20,34
7020060_1,-1,42,11
,-10,4,5
,-12,-9,8
,-27,23,-13
,-36,48,8
,-38,52,-1
,-42,5,28
,-43,-41,54
,-44,16,39
,-48,-39,43
,-48,28,23
,-52,23,-16
,-67,-39,27
,3,38,23
,37,-57,55
,37,22,-25
,51,-38,44
,53,16,19
,56,27,9
,8,-18,0
7020065_3,-37,-59,-12
,-44,10,27
,-50,24,21
,-52,22,-3
,-54,32,10
,-56,18,31
,40,-55,-16
,42,22,-20
,42,25,20
,48,17,36
7020073_1,-30,-84,-12
,-4,16,40
,-40,0,26
,-40,4,-12
,-56,-4,36
,14,-100,-8
,34,16,-2
,8,16,36
7040095_1,-29,-59,45
,-43,0,33
,3,21,44
,33,-64,45
,35,1,53
,47,30,13
,49,8,32
,7,18,30
7040103_1,-30,44,-11
,-32,23,23
,-32,9,35
,-34,44,-11
,-36,2,39
,-57,-31,5
,18,21,-8
,26,25,-11
,28,17,-9
,32,-72,46
,36,-52,-26
,38,51,7
,44,-40,8
7040113_2,-10,-75,61
,-11,-85,47
,-13,-3,-7
,-13,8,-23
,-26,-25,-5
,-29,46,-26
,-29,47,24
,-33,24,-4
,-35,52,4
,-4,24,59
,-42,12,27
,-42,17,-47
,-48,27,13
,-49,20,-4
,-5,-23,5
,-5,-62,-12
,-5,31,32
,-58,-45,-15
,11,40,12
,17,0,-13
,2,41,-1
,20,-69,18
,27,55,-16
,4,-17,11
,4,-2,-16
,41,21,-10
,47,-84,-36
,62,34,-9
7040117_2,-41,-2,30
,-6,18,13
,20,-62,-14
7050126_3,-14,-30,-6
,-2,-56,-36
,-26,-68,-26
,-42,6,28
,-46,26,16
,-48,-56,-12
,-48,2,54
,-50,-44,-10
,-56,-48,6
,-58,30,2
,0,-36,-4
,0,8,58
,32,-62,-28
,46,28,-4
,46,6,58
,52,-42,14
,58,-6,44
,60,28,-2
7050129_2,-2,-62,-24
,-22,-14,6
,-26,-58,44
,-26,-92,-6
,-28,-54,-26
,-30,26,24
,-40,0,32
,-42,4,8
,-54,4,8
,14,-18,8
,16,-46,-28
,28,-54,42
,28,38,22
,30,-2,0
,32,-2,64
,32,14,2
,34,-42,46
,34,-86,-4
,38,2,14
,4,-2,62
,50,-28,48
,50,6,14
,6,6,48
,60,-32,24
,8,-26,-12
7050136_1,-28,-68,48
,-36,54,8
,-4,32,28
,-40,0,34
,-46,24,16
,-8,18,22
,0,22,20
,34,30,10
7050136_4,-24,-50,40
,-30,46,10
,-36,14,28
,-38,-62,44
,-48,20,16
,-6,20,30
,12,30,28
,16,-6,16
,20,4,14
7050137_1,-12,-38,74
,-21,-64,46
,-26,-3,50
,-28,-81,32
,-29,-35,-6
,-30,-38,-31
,-32,-60,57
,-36,-62,-17
,-38,-35,37
,-38,-48,56
,-45,9,24
,-5,-86,23
,0,-18,11
,22,-5,21
,34,48,16
,41,-32,41
,49,9,29
,5,-68,10
,5,15,49
,50,-29,-3
7060142_8,-10,0,10
,-18,-68,64
,-2,-72,-8
,-24,-72,46
,-30,-52,50
,-30,24,6
,-32,0,52
,-36,-48,42
,-36,16,-8
,-38,-4,42
,-38,0,62
,-4,-10,14
,-40,-44,54
,-40,12,26
,-42,30,24
,-42,46,22
,-44,-58,-16
,-44,14,4
,-50,4,36
,-52,-40,56
,-52,10,44
,-52,16,14
,-58,14,18
,-6,24,28
,-62,6,28
,-8,8,62
,0,16,48
,0,16,66
,10,-2,12
,14,-54,-14
,14,-58,-20
,14,-66,-12
,16,-6,14
,2,-56,-32
,2,14,32
,2,34,36
,28,-52,-24
,32,-52,-28
,34,0,48
,34,2,38
,34,2,58
,34,22,-8
,34,4,44
,36,-56,-28
,38,44,24
,40,20,10
,42,-50,-30
,42,-72,-28
,44,12,38
,52,20,-4
,52,34,26
,58,24,14
,8,-8,2
,8,26,34
7060144_2,-12,-48,-6
,-12,-57,6
,-15,30,15
,-18,-66,21
,-18,-78,15
,-21,36,18
,-30,-54,0
,-30,-63,48
,-33,-39,-6
,-36,-39,48
,-42,-60,6
,-42,18,3
,-42,27,3
,-42,9,30
,-45,-24,3
,-45,-45,18
,-45,21,18
,-48,12,21
,-51,-27,15
,-54,24,6
,-57,-33,6
,-57,-42,15
,-63,-36,18
,-66,-33,9
,12,-42,3
,21,-42,3
,24,-54,3
,27,-45,-3
,39,27,9
,54,18,15
7070165_3,-14,-91,-5
,-16,-74,-8
,-19,50,-4
,-23,14,-21
,-33,-77,30
,-42,-61,-16
,-42,8,28
,-44,11,34
,38,-56,1
,40,54,-5
,44,-23,-15
,5,64,12
,53,21,28
,55,41,5
,56,-38,-2
,56,39,7
,6,-51,57
,62,32,-14
7070182_2,-2,20,50
,-24,6,-14
,-32,-58,42
,-32,2,58
,-34,-88,-6
,-34,54,14
,-36,4,30
,-44,-62,-24
,-8,-6,62
,20,-12,8
,36,-64,42
,38,24,-12
,42,-50,-26
,58,-44,8
,6,10,26
7080202_2,-16,-2,12
,-2,26,40
,-20,-70,52
,-26,-62,54
,-28,-80,22
,-34,-54,54
,-34,-88,8
,-44,10,24
,-44,28,16
,-50,12,32
,-6,20,46
,-8,-20,6
,16,0,14
,32,-64,50
,34,-50,40
,34,-68,-30
,34,20,-2
,36,20,-10
,36,56,14
,38,-54,-20
,38,42,30
,42,-58,-32
,42,14,-8
,42,6,52
,44,16,28
,52,14,34
,6,28,32
7080241_2,-42,38,20
,-44,6,26
,44,36,28
7090251_7,-32,2,32
,-44,-52,-20
7100296_4,-33,-15,-27
,-36,-39,-24
,-42,24,24
,-42,9,30
,-45,21,9
,-48,18,30
,-48,33,15
,-48,39,6
,-51,27,9
,42,-36,-24
7110302_2,-22,40,-26
,-28,34,-2
,-32,-48,-22
,-32,24,8
,-36,-72,-14
,-40,2,34
,-54,10,6
,-6,-96,-2
,22,-94,14
,34,-78,-14
7110316_16,-2,-4,60
,-46,8,28
,-50,-4,50
,-56,0,34
,0,10,56
,50,22,22
,6,18,44
7110316_17,-2,-4,60
,-46,8,28
,-50,-4,50
,-56,0,34
,0,10,56
,50,22,22
,6,18,44
7110316_18,-2,-4,60
,-46,8,28
,-50,-4,50
,-56,0,34
,0,10,56
,50,22,22
,6,18,44
7110316_19,-2,-4,60
,-46,8,28
,-50,-4,50
,-56,0,34
,0,10,56
,50,22,22
,6,18,44
7110316_20,-2,-4,60
,-46,8,28
,-50,-4,50
,-56,0,34
,0,10,56
,50,22,22
,6,18,44
7110316_21,-2,-4,60
,-46,8,28
,-50,-4,50
,-56,0,34
,0,10,56
,50,22,22
,6,18,44
7110319_3,-22,-98,-10
,-26,-70,40
,-26,60,-6
,-28,-88,-29
,-32,44,-12
,-36,-50,38
,-36,52,-6
,-40,-2,32
,-50,2,38
,32,-90,-10
,38,-78,-18
7120362_2,-14,-64,49
,-15,-33,6
,-18,-78,-7
,-21,-2,3
,-21,-53,60
,-21,0,65
,-22,56,-19
,-25,-16,70
,-32,-4,20
,-35,-20,60
,-35,-38,47
,-35,-4,62
,-35,-60,60
,-41,10,30
,-41,12,55
,-44,-29,58
,-48,14,37
,-5,-17,11
,-5,-75,-8
,-8,-55,-19
,1,19,46
,11,-66,-15
,2,-1,55
,20,-67,-40
,28,5,46
,31,-71,-46
,35,-4,55
,41,-62,-23
,5,-35,37
,64,-19,25
7120369_3,-2,12,51
,-36,0,41
,-57,14,12
,20,-3,22
,22,46,20
,50,19,32
,52,14,9
8010016_4,-1,20,46
,-12,-6,49
,-16,19,1
,-16,2,10
,-20,-22,28
,-21,-41,-32
,-21,-64,-6
,-24,26,22
,-39,0,27
,-43,28,-1
,-44,22,18
,-45,-13,10
,-47,-23,40
,-5,-7,34
,-52,-11,-6
,-9,-6,-12
,11,2,44
,12,-29,-27
,14,-12,-1
,16,-30,27
,21,-16,27
,26,-7,-9
,34,-7,53
,35,-52,31
,36,-19,48
,37,38,-9
,38,-33,-24
,39,-14,8
,40,1,43
,42,-7,40
,45,-23,-18
,47,26,18
,54,-10,-5
,54,3,-21
,60,-19,19
,9,-15,-15
,9,-33,37
8020070_1,-16,-8,14
,-2,-28,-18
,-2,24,40
,-24,-38,-50
,-26,-62,52
,-34,-62,-32
,-36,30,-4
,-42,2,46
,-42,6,30
,-46,-68,-10
,16,6,6
,22,-40,-50
,28,2,60
,32,28,-6
,36,48,32
8030080_1,-12,-16,6
,-16,-56,14
,-16,-8,10
,-20,6,0
,-30,24,-24
,-38,2,28
,0,-28,-12
,2,18,62
,28,22,-24
,36,24,6
,52,10,48
,54,6,28
,58,-66,8
,6,-8,-4
8030083_1,-11,-13,9
,-12,42,-9
,-29,22,-2
,-37,40,16
,-40,0,38
,-55,-28,21
,-7,6,-2
,-8,-25,41
,-9,-2,62
,-9,0,19
,10,9,4
,11,-3,67
,11,-55,22
,14,48,-15
,16,-30,41
,2,-13,-9
,31,5,-8
,34,-46,70
,35,40,26
,4,-29,-4
,4,48,-6
,41,19,-3
,55,-27,16
,6,11,46
8030087_3,-2,6,66
,-28,4,62
,-30,-56,52
,-36,30,16
,-4,20,52
,-40,12,32
,-44,-66,-8
,-46,-34,40
,-54,-62,2
,30,-62,48
,30,-74,24
,38,-48,56
,42,0,56
,42,10,32
,46,-60,-6
8040110_1,-10,32,32
,-24,-96,-14
,-24,4,50
,-32,-54,44
,-34,-88,12
,-38,2,34
,-48,24,32
,-6,24,42
,-8,16,52
,-8,28,36
,0,22,42
,24,-94,-8
,26,-60,42
,28,2,46
,34,-56,-10
,36,-82,12
,4,20,42
,4,24,40
,44,-38,42
8040110_3,-12,0,-8
,-16,-84,-30
,-32,-82,-6
,-32,-88,6
,-34,-74,26
,-38,-70,42
,-40,-86,-10
,-42,-64,-34
,-42,0,26
,-46,40,2
,12,32,-4
,18,52,4
,20,40,-2
,28,14,58
,4,20,-6
,52,-38,38
,52,-48,52
,58,-46,-16
,8,18,-8
,8,6,-8
8050114_6,-36,13,31
,2,16,21
8050114_9,-2,20,25
,-35,12,31
,48,-76,-4
8060147_1,-1,-3,10
,-20,-69,59
,-20,8,57
,-36,4,32
,26,-89,15
,3,31,35
,30,-61,54
,42,5,39
8060157_2,-16,-10,8
,-32,18,-8
,-36,24,-12
,-38,0,-12
,-4,-94,8
,-40,-2,30
,-40,-40,48
,-48,0,28
,-48,12,-14
,-48,4,-10
,-52,-30,34
,-52,38,16
,26,-30,-4
,30,-40,-16
,36,-58,44
,44,-52,-20
,46,0,60
,48,-38,40
,48,16,30
,50,-56,-12
,64,6,-10
8080167_1,-10,26,30
,-16,-88,34
,-18,-18,0
,-22,2,16
,-28,-14,2
,-28,46,-14
,-30,-90,2
,-30,2,-4
,-38,-58,-24
,-40,4,30
,-42,8,-4
,-52,36,12
,-8,44,-6
,10,34,18
,10,44,-6
,14,-2,18
,14,-22,-14
,18,-98,-6
,2,-32,-24
,20,-18,-10
,22,4,0
,26,54,-14
,28,-20,-2
,28,-48,-22
,30,-74,30
,46,12,-6
,54,2,36
,54,38,-2
8080199_2,-12,-18,8
,-2,-10,56
,-44,2,32
,-6,8,48
,-8,-58,4
,0,-58,-30
,12,-20,-10
,30,-48,-10
,44,-10,44
8080199_4,-30,-82,32
,-42,10,32
,-48,32,-10
,28,-62,-12
,30,34,-14
,54,4,28
8080218_4,-40,7,30
,-52,32,-8
8080223_2,-30,-88,-6
,-36,-54,58
,-38,-44,-26
,-40,14,28
,-44,0,56
,-48,-68,8
,26,-90,-14
,48,2,44
,48,8,26
,50,-70,-2
8080229_3,-28,-50,42
,-28,-68,36
,-32,-86,-12
,-4,42,58
,-42,0,38
,-50,-28,50
,-50,-64,-12
,-50,14,34
,16,-102,16
,42,54,-14
8100251_1,-38,-8,12
,-44,2,36
,-48,-6,16
,-52,26,4
,-60,-18,24
,46,-6,12
8110254_2,-23,-47,-20
,-27,-63,-31
,-39,29,16
,-41,-2,43
,-41,1,38
,-42,26,23
,-45,0,31
,-5,-50,-20
,-51,-15,20
,-54,-7,2
,1,15,24
,17,-56,54
,33,-24,57
,5,17,48
,50,-14,-6
,8,16,41
8110260_1,-24,-59,46
,-25,19,-41
,-3,20,43
,-31,3,52
,-37,20,-1
,-37,55,5
,-41,-36,44
,-41,-43,56
,-41,6,32
,-42,18,22
,-48,-49,14
,-52,14,-2
,-54,-1,32
,-54,14,24
,-7,35,22
,1,10,53
,10,13,59
,25,0,-16
,27,10,1
,34,-52,42
,37,46,-2
,39,26,-38
,39,34,-1
,43,-67,-15
,44,10,28
,48,-6,36
,48,42,-4
,50,30,2
,53,12,26
,54,14,-4
,55,18,12
,61,-19,37
8110260_2,-23,0,-22
,-24,-59,46
,-3,20,43
,-41,-43,56
,-41,6,32
,-42,18,22
,-44,20,-28
,-48,-49,14
,-48,40,7
,-7,35,22
,1,10,53
,10,23,52
,25,0,-16
,29,8,-34
,34,-52,42
,39,34,-1
,43,-67,-15
,48,42,-4
,50,30,2
,51,-44,12
,54,14,-4
,8,61,29
8110260_3,-25,19,-41
,-3,20,43
,-31,3,52
,-37,20,-1
,-37,55,5
,-41,6,32
,-42,18,22
,-48,-49,14
,-52,14,-2
,-54,-1,32
,-54,14,24
,-7,35,22
,1,10,53
,10,13,59
,25,0,-16
,27,10,1
,37,46,-2
,39,26,-38
,39,34,-1
,44,10,28
,48,-6,36
,48,42,-4
,50,30,2
,53,12,26
,54,14,-4
,55,18,12
,61,-19,37
8110271_3,-20,-18,2
,-25,-3,1
,-27,-20,-7
,-27,0,-13
,-35,45,-16
,-37,11,13
,-38,41,-7
,-39,2,41
,-42,5,-4
,-43,-28,30
,-50,12,4
,-7,33,47
,-9,7,45
,1,28,16
,1,6,31
,12,-2,32
,22,51,-18
,23,-9,54
,34,-29,47
,38,-48,40
,39,48,-4
,40,4,-5
,41,41,-17
,42,-23,38
,42,22,-15
,8,-25,20
,8,15,35
8110274_3,-31,-86,39
,-41,13,24
,15,-90,11
,3,60,21
,35,-83,8
8110278_1,-11,1,14
,-16,-8,-12
,-21,6,-1
,-32,-48,47
,-34,22,2
,-37,-80,-11
,-38,-49,-20
,-40,7,32
,-51,-46,9
,15,1,15
,19,-7,-14
,2,-10,11
,2,20,46
,2,63,-8
,24,6,0
,35,-49,45
,39,21,2
,40,-79,-12
,41,-51,-20
,45,6,31
,51,-41,6
8110281_1,-14,-5,12
,-15,-1,-12
,-17,-17,4
,-21,21,60
,-30,22,51
,-34,2,25
,-36,-62,-35
,-37,27,43
,-4,51,22
,-41,10,52
,-43,30,-16
,-43,31,1
,-45,-80,-14
,-5,59,-26
,-50,-47,38
,-56,-68,29
,-61,-28,-1
,-7,-11,5
,-7,14,38
,10,-69,24
,10,61,13
,15,23,58
,15,6,2
,19,13,10
,25,-5,-5
,26,-7,-22
,3,-51,26
,30,-30,7
,31,-69,24
,37,-61,-32
,49,29,20
,50,-23,-19
,57,-12,-19
,62,-46,-13
,65,-3,5
8110293_1,-10,-80,-12
,-21,-29,21
,-33,-48,54
,-37,-49,42
,-41,-48,47
,-41,0,38
,-41,4,31
,-52,-25,15
,31,-67,-19
,47,13,4
,47,5,-13
,51,-33,3
,6,-26,52
,6,19,41
8110293_2,-10,-80,-12
,-41,-48,47
,-41,4,31
,31,-67,-19
8110293_3,-41,-48,47
,-41,4,31
,31,-67,-19
8110309_2,-12,-12,2
,-2,20,52
,-27,-61,36
,-31,-4,34
,-34,-51,45
,-34,20,6
,-41,-43,-19
,-47,33,18
,-50,11,27
,-69,-19,3
,11,5,53
,17,-15,8
,21,-64,32
,27,-86,-9
,30,4,43
,40,33,11
,43,-47,4
,46,0,37
,49,15,15
,56,-18,1
8110310_2,-22,-25,51
,-35,1,37
,-7,8,71
,36,-3,-6
,53,11,17
9010014_5,-11,4,16
,-17,-72,9
,-19,15,5
,-44,9,25
,-5,51,32
,-9,28,54
,1,55,24
,23,-76,18
9010022_1,-24,-2,-30
,-34,0,36
,-36,22,8
,-44,52,8
,20,-4,-16
,36,-70,56
,36,10,4
,36,28,-2
,4,26,26
,44,36,22
,46,16,18
,50,26,14
9020036_1,-15,6,6
,-33,30,3
,-39,9,30
,-42,-36,42
,-48,12,33
,-48,6,48
,-51,-42,9
,-9,33,27
,12,6,9
,18,3,12
,3,-51,-18
,36,33,0
,39,-45,42
,45,57,6
,45,9,36
,51,21,27
,54,-39,6
,6,-18,-9
,9,-3,6
,9,27,48
9020036_2,-12,36,24
,-12,9,6
,-18,-9,15
,-21,3,9
,-30,33,3
,-36,3,57
,-39,45,12
,-42,-36,42
,-42,27,27
,-42,9,33
,0,-48,-18
,15,9,15
,21,3,9
,36,-51,48
,36,33,0
,39,-72,-9
,45,12,33
,51,-24,-3
,6,-21,-9
,9,-12,12
,9,33,45
9020040_2,-18,-99,-12
,-21,-3,-15
,-24,36,-12
,-27,24,-9
,-3,48,-12
,-30,33,-6
,-39,36,12
,-39,6,24
,-54,9,33
,-60,-33,30
,-9,57,0
,18,-3,-12
,24,-72,54
,27,-54,54
,27,0,-27
,3,54,27
,39,-72,-12
,42,6,33
,48,21,21
,51,33,-6
,63,-30,36
9020041_1,-10,50,10
,-24,-60,2
,-36,-2,42
,-4,32,10
,-44,26,-10
,-48,10,32
,-6,-12,38
,-6,20,30
,-60,-52,32
,0,-22,-22
,20,-46,0
,20,4,2
,40,34,16
,42,-46,22
,42,12,38
,46,38,-4
,50,2,18
,62,-42,36
,8,12,26
9020043_1,-14,-9,-1
,-16,-37,-1
,-29,51,-17
,-37,-57,19
,-41,6,34
,-7,-7,50
,-8,67,-5
,0,-16,44
,12,30,40
,14,-68,33
,14,13,37
,2,-14,48
,3,25,34
,30,-84,47
,46,16,-6
,51,11,39
9030057_1,-14,-16,4
,-16,-10,0
,-16,-36,0
,-16,62,-6
,-22,46,-10
,-38,-56,16
,-4,-38,48
,-4,40,22
,-40,-10,46
,-42,10,30
,-42,2,36
,-8,62,4
,0,-18,46
,10,-18,0
,12,-68,28
,12,8,38
,2,10,32
,2,20,36
,24,-62,54
,26,-84,40
,30,40,-10
,32,0,-20
,40,-18,20
,40,-54,16
9090086_3,-16,-4,16
,-28,-60,40
,-36,-56,-36
,-36,52,12
,-4,-24,-16
,-40,16,-4
,-44,-40,40
,-44,8,24
,-48,-56,-16
,0,12,52
,20,4,16
,24,-64,-28
,32,-56,44
,32,24,-4
,36,44,28
,48,-40,40
9090092_1,-20,-86,-13
,-28,-56,51
,-28,6,44
,-32,-83,-16
,-32,23,-1
,-36,-75,-16
,-40,36,17
,-40,39,9
,-44,-55,-11
,-44,6,44
,-44,9,25
,-8,-79,-20
,-8,3,62
,0,21,43
,24,-52,43
,28,-92,4
,28,24,0
,28,7,55
,4,-79,-16
,4,11,62
,40,-67,-17
,40,40,20
,44,-55,-14
,48,-59,-7
9090098_3,-24,-54,40
,-24,4,0
,-30,-56,47
,-30,4,4
,-32,16,-1
,-36,24,13
,-38,-49,-14
,-38,3,29
,-38,30,2
,-4,5,58
,-40,-60,-14
,-40,16,18
,-44,-38,46
,-44,22,21
,-48,23,3
,-48,5,33
,-50,-37,35
,-52,-40,20
,-6,10,51
,-62,-46,13
,32,22,6
,34,19,-4
,34,38,16
,36,23,-11
,38,17,-4
,4,14,54
,40,34,13
,42,32,10
,44,29,6
,46,17,-1
,6,9,59
9090101_2,-1,25,56
,-35,54,-6
,-37,14,-5
,-44,7,25
,-46,-4,37
,-46,26,19
,-46,6,29
,-52,-10,-5
,-52,-43,13
,-52,11,11
,-52,5,-8
,-57,-22,3
,-67,-32,11
,-67,-40,16
,39,53,2
,4,4,54
,44,-2,56
,44,41,14
,48,48,-6
,48,9,15
,5,-24,5
,50,41,8
,52,18,14
,53,-3,51
,55,4,33
,57,12,-12
,6,15,41
,65,-19,1
,65,-32,5
9090116_6,-18,-36,-26
,-20,26,4
,-28,-36,-22
,-30,28,-12
,-32,24,8
,-36,-32,-18
,-38,14,30
,30,26,10
,32,28,-6
9090128_1,-18,-31,-3
,-37,11,26
,-47,-10,-8
,-47,-4,-15
,-52,-43,27
,-54,-33,65
,-57,4,-15
,-59,-35,4
,-62,-15,-2
,-64,-17,12
,-7,-63,38
,-9,-71,45
,21,-50,61
,40,-95,15
,44,15,4
,49,24,8
,67,-30,42
,7,-89,40
9090132_1,-18,-16,-20
,-18,-4,-20
,-2,-82,-30
,-26,32,8
,-32,-30,-8
,-40,2,32
,-40,56,14
,-42,-54,-28
,-44,30,8
,-46,26,-6
,-50,-50,52
,0,20,48
,34,-46,-4
,54,6,46
9090133_12,-30,52,30
,-42,-6,54
,-44,4,30
,-46,0,50
,-8,-60,48
,12,-10,62
,16,-78,46
,24,-22,28
,24,0,52
,28,58,16
,34,50,24
,40,-4,54
,42,-4,34
9090133_16,-10,12,52
,-28,34,34
,-38,22,30
,-40,-46,10
,-40,0,36
,-52,44,4
,-8,8,60
,24,-78,34
,32,-16,18
,38,6,34
,4,6,60
,56,4,40
,62,-56,18
9090151_4,-26,62,16
,-28,-14,-24
,-28,-22,24
,-28,0,-26
,-30,-16,-34
,-30,-60,54
,-32,22,-16
,-32,4,32
,-36,0,46
,-38,-84,-10
,-4,26,60
,-40,-60,-18
,-48,-54,-16
,-54,-4,-18
,-54,-70,-8
,-54,-70,8
,-64,-36,-2
,10,-54,26
,48,-40,36
,48,-8,-22
,52,0,-20
,54,32,20
,56,22,20
,62,-14,-22
9090161_1,-21,-30,-12
,-27,-66,51
,-33,-9,48
,-33,24,-9
,-36,24,0
,-36,33,-9
,-39,-81,-9
