"age_in_years","sex","mu","sigma","nu","tau","C2.5","C5","C25","C50","C75","C95","C97.5","growth_rate"
5,"male",2.58469846031123,0.0463493209628621,0.00480785768823541,1.03533727271897,2.49614224607707,2.51011806425983,2.55383732514551,2.58492130205127,2.616090825907,2.66010574722063,2.67419396728888,-0.0265085276403188
5.1,"male",2.58204734911452,0.0464030729165655,0.00480785768823541,1.03533727271897,2.49338843500411,2.50738046113806,2.5511504238601,2.58227044928724,2.61347612087433,2.65754208690585,2.67164664527932,-0.0265058966806131
5.2,"male",2.57939676511881,0.0464566149969395,0.00480785768823541,1.03533727271897,2.49063555212155,2.5046437229231,2.5484641895173,2.57962012271515,2.61086180089558,2.654978612342,2.66909944522814,-0.0265006302663328
5.3,"male",2.5767467092247,0.0465099468607909,0.00480785768823541,1.03533727271897,2.48788359898574,2.50190785106782,2.54577862324624,2.57697032323398,2.60824786663893,2.65241532387135,2.66655236737328,-0.026495354862186
5.4,"male",2.57409718233282,0.0465630681700386,0.00480785768823541,1.03533727271897,2.48513257714325,2.49917284701684,2.54309372617265,2.57432105174271,2.605634318776,2.64985222184448,2.66400541196258,-0.0264900704679283
5.5,"male",2.57144818534381,0.0466159785917132,0.00480785768823541,1.03533727271897,2.48238248813089,2.49643871220656,2.54040949941886,2.57167230914039,2.60302115798192,2.64728930662031,2.66145857925372,-0.02648477708332
5.6,"male",2.56879971915827,0.0466686777979556,0.00480785768823541,1.03533727271897,2.47963333347568,2.49370544806517,2.53772594410379,2.56902409632605,2.60040838493524,2.64472657856604,2.65891186951428,-0.0264794747081098
5.7,"male",2.56615178467684,0.0467211654660169,0.00480785768823541,1.03533727271897,2.47688511469492,2.49097305601261,2.53504306134297,2.56637641419877,2.59779600031799,2.64216403805722,2.65636528302169,-0.026474163342054
5.8,"male",2.56350438280015,0.0467734412782565,0.00480785768823541,1.03533727271897,2.47413783329611,2.48824153746064,2.53236085224852,2.56372926365764,2.59518400481566,2.63960168547769,2.65381882006323,-0.026468842984908
5.9,"male",2.5608575144288,0.0468255049221418,0.00480785768823541,1.03533727271897,2.47139149077701,2.48551089381276,2.52967931792916,2.56108264560179,2.59257239911719,2.6370395212196,2.65127248093606,-0.0264635136364255
6,"male",2.55821118046344,0.0468773560902457,0.00480785768823541,1.03533727271897,2.46864608862563,2.48278112646428,2.52699845949021,2.55843656093035,2.58996118391499,2.63447754568341,2.64872626594721,-0.0264581752963601
