"age_in_years","sex","mu","sigma","nu","tau","C2.5","C5","C25","C50","C75","C95","C97.5","growth_rate"
5,"female",2.63058631825983,0.0462611959303106,0.00480785768823541,1.03533727271897,2.5421984779975,2.55614772363493,2.59978386008192,2.63080873630574,2.66191899682713,2.70585023155608,2.7199116653667,-0.0265085325539661
5.1,"female",2.62793520706312,0.0463148456841851,0.00480785768823541,1.03533727271897,2.53944486219018,2.55341028496225,2.59709702684503,2.62815788305034,2.65930422257458,2.70328640496892,2.71736414602037,-0.0265059015846636
5.2,"female",2.62528462306741,0.0463682859637672,0.00480785768823541,1.03533727271897,2.53669217381085,2.5506737105543,2.59441086028506,2.62550755598881,2.65668983364622,2.7007227647819,2.71481674940291,-0.0265006351511765
5.3,"female",2.6226345671733,0.0464215164265162,0.00480785768823541,1.03533727271897,2.53394041441462,2.54793800186288,2.59172536153069,2.62285775602011,2.65407583071066,2.69815931133834,2.71226947575353,-0.0264953597277983
5.4,"female",2.61998504028142,0.046474536734994,0.00480785768823541,1.03533727271897,2.53118958554682,2.54520316033159,2.58904053170725,2.62020848404325,2.65146221443998,2.69559604498989,2.70972232532131,-0.0264900753142805
5.5,"female",2.61733604329241,0.046527346556864,0.00480785768823541,1.03533727271897,2.52843968874305,2.54246918739581,2.58635637193662,2.61755974095725,2.64884898550971,2.69303296609647,2.70717529836515,-0.0264847819103809
5.6,"female",2.61468757710687,0.0465799455648905,0.00480785768823541,1.03533727271897,2.52569072552915,2.53973608448273,2.58367288333732,2.61491152766117,2.64623614459885,2.69047007502632,2.70462839515383,-0.0264794795158485
5.7,"female",2.61203964262544,0.0466323334369384,0.00480785768823541,1.03533727271897,2.52294269742124,2.5370038530113,2.58099006702447,2.61226384505408,2.64362369238982,2.68790737215597,2.70208161596597,-0.0264741681304392
5.8,"female",2.60939224074875,0.046684509855971,0.00480785768823541,1.03533727271897,2.52019560592567,2.5342724943923,2.57830792410979,2.60961669403508,2.64101162956854,2.68534485787025,2.69953496109002,-0.026468847753911
5.9,"female",2.6067453723774,0.0467364745100498,0.00480785768823541,1.03533727271897,2.51744945253906,2.53154201002829,2.57562645570159,2.6069700755033,2.63839995682433,2.68278253256228,2.69698843082428,-0.0264635183860195
6,"female",2.60409903841204,0.0467882270923323,0.00480785768823541,1.03533727271897,2.51470423874831,2.52881240131363,2.57294566290482,2.60432399035788,2.63578867485002,2.68022039663346,2.69444202547691,-0.0264581800265163
6.1,"female",2.60145323975328,0.0468397673010709,0.00480785768823541,1.03533727271897,2.51195996603055,2.52608366963448,2.57026554682101,2.60167843949799,2.63317778434184,2.67765845049351,2.69189574536589,-0.0264528326751567
6.2,"female",2.59880797730174,0.0468910948396104,0.00480785768823541,1.03533727271897,2.50921663585322,2.52335581636881,2.5675861085483,2.59903342382285,2.6305672859995,2.67509669456039,2.68934959081902,-0.0264474763317013
6.3,"female",2.59616325195805,0.0469422094163869,0.00480785768823541,1.03533727271897,2.50647424967401,2.52062884288641,2.56490734918146,2.59638894423165,2.62795718052614,2.6725351292604,2.68680356217396,-0.026442110995899
6.4,"female",2.59351906462284,0.0469931107449247,0.00480785768823541,1.03533727271897,2.50373280894088,2.51790275054886,2.56222926981186,2.59374500162367,2.62534746862835,2.66997375502806,2.68425765977818,-0.0264367366675055
6.5,"female",2.59087541619673,0.0470437985438345,0.00480785768823541,1.03533727271897,2.50099231509209,2.51517754070957,2.55955187152747,2.59110159689815,2.62273815101619,2.66741257230621,2.68171188398896,-0.0264313533462813
6.6,"female",2.58823230758034,0.0470942725368107,0.00480785768823541,1.03533727271897,2.49825276955618,2.51245321471376,2.55687515541291,2.58845873095441,2.62012922840313,2.66485158154593,2.67916623517342,-0.0264259610319817
6.7,"female",2.5855897396743,0.0471445324526284,0.00480785768823541,1.03533727271897,2.49551417375199,2.50972977389848,2.55419912254938,2.58581640469176,2.61752070150608,2.66229078320659,2.67662071370847,-0.0264205597243538
6.8,"female",2.58294771337922,0.0471945780251411,0.00480785768823541,1.03533727271897,2.49277652908865,2.50700721959262,2.55152377401472,2.58317461900954,2.61491257104543,2.65973017775581,2.67407531998085,-0.0264151494231601
6.9,"female",2.58030622959574,0.0472444089932769,0.00480785768823541,1.03533727271897,2.49003983696559,2.50428555311688,2.54884911088339,2.58053337480712,2.61230483774496,2.65716976566946,2.67153005438706,-0.0264097301281607
7,"female",2.57766528922448,0.0472940251010358,0.00480785768823541,1.03533727271897,2.48730409877255,2.50156477578382,2.54617513422646,2.57789267298391,2.60969750233192,2.65460954743167,2.66898491733343,-0.0264043018391048
7.1,"female",2.57502489316607,0.0473434260974858,0.00480785768823541,1.03533727271897,2.4845693158896,2.49884488889783,2.54350184511163,2.5752525144393,2.60709056553696,2.65204952353482,2.66643990923606,-0.02639886455575
7.2,"female",2.57238504232112,0.0473926117367596,0.00480785768823541,1.03533727271897,2.48183548968712,2.49612589375517,2.54082924460325,2.57261290007276,2.60448402809419,2.64948969447952,2.66389503052082,-0.0263934182778569
7.3,"female",2.56974573759025,0.0474415817780509,0.00480785768823541,1.03533727271897,2.47910262152582,2.49340779164393,2.53815733376227,2.56997383078373,2.60187789074114,2.64693006077462,2.66135028162338,-0.0263879630051788
7.4,"female",2.56710697987411,0.0474903359856099,0.00480785768823541,1.03533727271897,2.47637071275676,2.49069058384409,2.53548611364629,2.56733530747172,2.59927215421875,2.64437062293719,2.65880566298915,-0.0263824987374739
7.5,"female",2.5644687700733,0.0475388741287397,0.00480785768823541,1.03533727271897,2.47363976472135,2.48797427162747,2.53281558530953,2.56469733103624,2.5966668192714,2.64181138149253,2.6562611750733,-0.0263770254744978
7.6,"female",2.56183110908846,0.0475871959817917,0.00480785768823541,1.03533727271897,2.47090977875132,2.4852588562578,2.53014574980287,2.56205990237682,2.59406188664688,2.63925233697415,2.65371681834076,-0.0263715432160061
7.7,"female",2.5591939978202,0.0476353013241612,0.00480785768823541,1.03533727271897,2.46818075616881,2.48254433899068,2.52747660817382,2.55942302239304,2.5914573570964,2.63669348992376,2.65117259326618,-0.0263660519617659
7.8,"female",2.55655743716916,0.0476831899402827,0.00480785768823541,1.03533727271897,2.46545269828629,2.47983072107358,2.52480816146653,2.55678669198447,2.58885323137458,2.63413484089128,2.64862850033395,-0.0263605517115239
7.9,"female",2.55392142803594,0.0477308616196251,0.00480785768823541,1.03533727271897,2.46272560640664,2.4771180037459,2.52214041072181,2.55415091205073,2.58624951023946,2.63157639043481,2.64608454003819,-0.0263550424650427
8,"female",2.55128597132119,0.0477783161566868,0.00480785768823541,1.03533727271897,2.45999948182312,2.47440618823894,2.51947335697711,2.55151568349146,2.58364619445246,2.62901813912063,2.64354071288272,-0.0263495242220825
8.1,"female",2.54865106792552,0.0478255533509904,0.00480785768823541,1.03533727271897,2.4572743258194,2.4716952757759,2.51680700126654,2.54888100720632,2.58104328477843,2.62646008752321,2.64099701938106,-0.0263439969823987
8.2,"female",2.54601671874956,0.0478725730070773,0.00480785768823541,1.03533727271897,2.45455013966954,2.46898526757193,2.51414134462087,2.54624688409498,2.57844078198562,2.62390223622518,2.63845346005642,-0.0263384607457538
8.3,"female",2.54338292469393,0.0479193749345024,0.00480785768823541,1.03533727271897,2.45182692463803,2.46627616483408,2.51147638806753,2.54361331505716,2.57583868684565,2.6213445858173,2.63591003544171,-0.0263329155119062
8.4,"female",2.54074968665925,0.0479659589478283,0.00480785768823541,1.03533727271897,2.44910468197981,2.46356796876137,2.50881213263062,2.5409803009926,2.57323700013356,2.61878713689853,2.63336674607949,-0.0263273612806093
8.5,"female",2.53811700554616,0.0480123248666195,0.00480785768823541,1.03533727271897,2.44638341294023,2.46086068054476,2.50614857933089,2.53834784280104,2.57063572262776,2.61622989007591,2.63082359252197,-0.0263217980516251
8.6,"female",2.53548488225526,0.0480584725154365,0.00480785768823541,1.03533727271897,2.44366311875514,2.45815430136718,2.50348572918579,2.53571594138227,2.56803485511004,2.61367284596465,2.62828057533104,-0.0263162258247208
8.7,"female",2.5328533176872,0.0481044017238295,0.00480785768823541,1.03533727271897,2.4409438006508,2.45544883240351,2.50082358320943,2.5330845976361,2.5654343983656,2.61111600518806,2.62573769507818,-0.0263106445996518
8.8,"female",2.53022231274258,0.048150112326332,0.00480785768823541,1.03533727271897,2.438225459844,2.45274427482063,2.49816214241262,2.53045381246234,2.56283435318297,2.60855936837757,2.62319495234454,-0.0263050543761766
8.9,"female",2.52759186832204,0.0481956041624548,0.00480785768823541,1.03533727271897,2.43550809754199,2.45004062977742,2.49550140780283,2.52782358676086,2.56023472035409,2.60600293617268,2.62065234772084,-0.0262994551540531
9,"female",2.5249619853262,0.0482408770766786,0.00480785768823541,1.03533727271897,2.43279171494254,2.44733789842472,2.49284138038424,2.52519392143153,2.55763550067424,2.60344670922101,2.61810988180742,-0.0262938469330521
9.1,"female",2.52233266465568,0.0482859309184479,0.00480785768823541,1.03533727271897,2.43007631323392,2.44463608190544,2.49018206115772,2.52256481737425,2.55503669494209,2.60089068817823,2.6155675552142,-0.0262882297129297
9.2,"female",2.51970390721111,0.0483307655421637,0.00480785768823541,1.03533727271897,2.42736189359494,2.44193518135448,2.48752345112084,2.51993627548895,2.55243830395963,2.5983348737081,2.61302536856066,-0.0262826034934503
9.3,"female",2.51707571389311,0.0483753808071763,0.00480785768823541,1.03533727271897,2.42464845719496,2.43923519789877,2.48486555126787,2.51730829667556,2.54984032853223,2.59577926648239,2.61048332247585,-0.0262769682743701
9.4,"female",2.5144480856023,0.0484197765777784,0.00480785768823541,1.03533727271897,2.42193600519389,2.43653613265731,2.4822083625898,2.51468088183407,2.54724276946861,2.59322386718096,2.60794141759836,-0.0262713240554558
9.5,"female",2.51182102323932,0.0484639527231973,0.00480785768823541,1.03533727271897,2.4192245387422,2.43383798674115,2.47955188607431,2.51205403186447,2.54464562758081,2.59066867649167,2.6053996545763,-0.0262656708364762
9.6,"female",2.50919452770478,0.0485079091175874,0.00480785768823541,1.03533727271897,2.41651405898097,2.43114076125341,2.47689612270584,2.50942774766678,2.54204890368422,2.5881136951104,2.60285803406731,-0.0262600086171828
9.7,"female",2.5065685998993,0.0485516456400226,0.00480785768823541,1.03533727271897,2.41380456704187,2.42844445728929,2.47424107346552,2.50680203014103,2.53945259859756,2.58555892374103,2.60031655673851,-0.0262543373973421
9.8,"female",2.50394324072352,0.0485951621744883,0.00480785768823541,1.03533727271897,2.41109606404717,2.4257490759361,2.47158673933123,2.50417688018731,2.53685671314288,2.58300436309545,2.59777522326651,-0.0262486571767238
9.9,"female",2.50131845107805,0.0486384586098734,0.00480785768823541,1.03533727271897,2.4083885511098,2.42305461827324,2.46893312127756,2.50155229870569,2.53426124814555,2.58045001389349,2.5952340343374,-0.0262429679550925
10,"female",2.49869423186353,0.048681534839962,0.00480785768823541,1.03533727271897,2.40568202933332,2.42036108537227,2.46628022027586,2.49892828659629,2.53166620443425,2.57789587686299,2.59269299064671,-0.0262372697322101
10.1,"female",2.49607058398056,0.0487243907634254,0.00480785768823541,1.03533727271897,2.40297649981195,2.41766847829683,2.46362803729423,2.49630484475925,2.52907158284098,2.57534195273971,2.5901520928994,-0.0262315625078414
10.2,"female",2.49344750832978,0.0487670262838129,0.00480785768823541,1.03533727271897,2.4002719636306,2.41497679810277,2.46097657329752,2.49368197409472,2.52647738420103,2.57278824226736,2.58761134180987,-0.0262258462817509
10.3,"female",2.49082500581182,0.0488094413095439,0.00480785768823541,1.03533727271897,2.39756842186486,2.41228604583806,2.45832582924732,2.4910596755029,2.523883609353,2.57023474619756,2.58507073810191,-0.0262201210537037
10.4,"female",2.48820307732729,0.048851635753899,0.00480785768823541,1.03533727271897,2.39486587558106,2.40959622254287,2.45567580610199,2.48843794988398,2.52129025913879,2.56768146528986,2.58253028250869,-0.0262143868234733
10.5,"female",2.48558172377682,0.0488936095350105,0.00480785768823541,1.03533727271897,2.39216432583623,2.40690732924955,2.45302650481668,2.4858167981382,2.51869733440356,2.56512840031167,2.57998997577277,-0.0262086435908216
10.6,"female",2.48296094606103,0.0489353625758538,0.00480785768823541,1.03533727271897,2.38946377367817,2.40421936698267,2.4503779263433,2.48319622116582,2.51610483599577,2.56257555203832,2.57744981864603,-0.0262028913555136
10.7,"female",2.48034074508056,0.0489768948042383,0.00480785768823541,1.03533727271897,2.38676422014542,2.40153233675901,2.44773007163052,2.4805762198671,2.51351276476715,2.56002292125297,2.57490981188972,-0.0261971301173268
10.8,"female",2.47772112173601,0.0490182061527976,0.00480785768823541,1.03533727271897,2.38406566626732,2.3988462395876,2.44508294162385,2.47795679514235,2.51092112157269,2.55747050874666,2.57236995627437,-0.0261913598760198
10.9,"female",2.47510207692802,0.0490592965589803,0.00480785768823541,1.03533727271897,2.38136811306401,2.39616107646971,2.44243653726553,2.4753379478919,2.50832990727066,2.55491831531823,2.56983025257984,-0.0261855806313594
11,"female",2.47248361155721,0.0491001659650402,0.00480785768823541,1.03533727271897,2.37867156154645,2.39347684839888,2.43979085949466,2.47271967901608,2.50573912272257,2.55236634177437,2.56729070159524,-0.0261797923831232
11.1,"female",2.4698657265242,0.0491408143180265,0.00480785768823541,1.03533727271897,2.37597601271642,2.39079355636095,2.43714590924711,2.47010198941527,2.50314876879318,2.54981458892955,2.56475130411896,-0.0261739951310803
11.2,"female",2.46724842272962,0.0491812415697742,0.00480785768823541,1.03533727271897,2.37328146756658,2.38811120133403,2.43450168745558,2.46748487998986,2.50055884635048,2.54726305760602,2.56221206095862,-0.0261681888749953
11.3,"female",2.46463170107409,0.0492214476768933,0.00480785768823541,1.03533727271897,2.37058792708045,2.38542978428858,2.43185819504957,2.46486835164027,2.49796935626572,2.54471174863383,2.55967297293106,-0.0261623736146398
11.4,"female",2.46201556245824,0.0492614326007596,0.00480785768823541,1.03533727271897,2.36789539223245,2.38274930618736,2.42921543295544,2.46225240526694,2.49538029941336,2.54216066285076,2.55713404086233,-0.0261565493497918
11.5,"female",2.45940000778269,0.0493011963075034,0.00480785768823541,1.03533727271897,2.36520386398792,2.38006976798549,2.42657340209635,2.45963704177031,2.49279167667109,2.53960980110233,2.55459526558765,-0.0261507160802133
11.6,"female",2.45678503794806,0.0493407387679996,0.00480785768823541,1.03533727271897,2.36251334330314,2.37739117063047,2.42393210339233,2.45702226205089,2.49020348891979,2.53705916424177,2.55205664795141,-0.0261448738056825
11.7,"female",2.45417065385498,0.0493800599578569,0.00480785768823541,1.03533727271897,2.35982383112532,2.37471351506217,2.42129153776024,2.45440806700918,2.48761573704358,2.53450875313003,2.54951818880713,-0.0261390225259726
11.8,"female",2.45155685640408,0.0494191598574071,0.00480785768823541,1.03533727271897,2.35713532839267,2.37203680221286,2.41865170611379,2.4517944575457,2.48502842192976,2.53195856863574,2.54697988901747,-0.026133162240851
11.9,"female",2.44894364649596,0.0494580384516942,0.00480785768823541,1.03533727271897,2.35444783603439,2.36936103300723,2.41601260936358,2.44918143456101,2.48244154446882,2.52940861163518,2.54444174945417,-0.0261272929500978
12,"female",2.44633102503127,0.0494966957304634,0.00480785768823541,1.03533727271897,2.35176135497069,2.36668620836241,2.41337424841705,2.44656899895568,2.47985510555444,2.5268588830123,2.54190377099805,-0.0261214146534839
12.1,"female",2.44371899291063,0.0495351316881498,0.00480785768823541,1.03533727271897,2.34907588611284,2.36401232918797,2.41073662417853,2.44395715163031,2.47726910608348,2.52430938365866,2.53936595453899,-0.026115527350783
12.2,"female",2.44110755103465,0.0495733463238677,0.00480785768823541,1.03533727271897,2.34639143036315,2.36133939638596,2.40809973754924,2.44134589348552,2.47468354695596,2.52176011447346,2.5368283009759,-0.0261096310417751
12.3,"female",2.43849670030396,0.0496113396413983,0.00480785768823541,1.03533727271897,2.34370798861501,2.35866741085093,2.40546358942727,2.43873522542196,2.47209842907506,2.51921107636345,2.53429081121671,-0.0261037257262318
12.4,"female",2.43588644161919,0.049649111649179,0.00480785768823541,1.03533727271897,2.34102556175294,2.35599637346991,2.40282818070765,2.43612514834028,2.46951375334712,2.51666227024301,2.53175348617834,-0.0260978114039291
12.5,"female",2.43327677588096,0.0496866623602913,0.00480785768823541,1.03533727271897,2.33834415065256,2.35332628512249,2.40019351228228,2.43351566314117,2.46692952068163,2.51411369703403,2.52921632678667,-0.0260918880746509
12.6,"female",2.43066770398989,0.0497239917924492,0.00480785768823541,1.03533727271897,2.33566375618065,2.35065714668079,2.39755958503999,2.43090677072535,2.46434573199122,2.51156535766595,2.52667933397652,-0.0260859557381666
12.7,"female",2.42805922684662,0.0497610999679874,0.00480785768823541,1.03533727271897,2.33298437919516,2.34798895900948,2.39492639986654,2.42829847199354,2.46176238819162,2.50901725307574,2.52414250869164,-0.026080014394254
12.8,"female",2.42545134535175,0.0497979869138487,0.00480785768823541,1.03533727271897,2.33030602054524,2.34532172296585,2.3922939576446,2.4256907678465,2.45917949020171,2.50646938420785,2.5216058518847,-0.0260740640427003
12.9,"female",2.42284406040592,0.0498346526615728,0.00480785768823541,1.03533727271897,2.32762868107126,2.34265543939976,2.38966225925381,2.423083659185,2.45659703894349,2.50392175201423,2.51906936451719,-0.0260681046832812
13,"female",2.42023737290975,0.0498710972472833,0.00480785768823541,1.03533727271897,2.32495236160481,2.33999010915371,2.38703130557073,2.42047714690984,2.45401503534203,2.50137435745427,2.51653304755951,-0.0260621363157699
13.1,"female",2.41763128376387,0.0499073207116755,0.00480785768823541,1.03533727271897,2.32227706296876,2.33732573306285,2.38440109746889,2.41787123192184,2.45143348032553,2.49882720149479,2.51399690199086,-0.0260561589399512
13.2,"female",2.41502579386889,0.049943323100004,0.00480785768823541,1.03533727271897,2.31960278597729,2.33466231195498,2.38177163581878,2.41526591512185,2.44885237482526,2.49628028511006,2.51146092879923,-0.0260501725556093
13.3,"female",2.41242090412545,0.0499791044620702,0.00480785768823541,1.03533727271897,2.31692953143585,2.33199984665058,2.37914292148788,2.41266119741072,2.44627171977558,2.49373360928171,2.50892512898142,-0.0260441771625296
13.4,"female",2.40981661543416,0.0500146648522092,0.00480785768823541,1.03533727271897,2.31425730014127,2.32933833796286,2.37651495534062,2.41005707968934,2.4436915161139,2.49118717499878,2.50638950354297,-0.0260381727604809
13.5,"female",2.40721292869566,0.0500500043292773,0.00480785768823541,1.03533727271897,2.3115860928817,2.32667778669773,2.37388773823843,2.40745356285862,2.44111176478073,2.48864098325764,2.50385405349813,-0.0260321593492542
13.6,"female",2.40460984481056,0.0500851229566388,0.00480785768823541,1.03533727271897,2.30891591043671,2.32401819365385,2.37126127103976,2.40485064781949,2.43853246671959,2.486095035062,2.5013187798699,-0.0260261369286386
13.7,"female",2.40200736467948,0.050120020802153,0.00480785768823541,1.03533727271897,2.30624675357728,2.32135955962266,2.36863555460004,2.4022483354729,2.43595362287708,2.48354933142289,2.49878368368991,-0.0260201054984054
13.8,"female",2.39940548920306,0.0501546979381612,0.00480785768823541,1.03533727271897,2.3035786230658,2.31870188538838,2.36601058977173,2.39964662671981,2.43337523420281,2.48100387335863,2.49624876599849,-0.0260140650583505
13.9,"female",2.39680421928192,0.050189154441473,0.00480785768823541,1.03533727271897,2.30091151965614,2.31604517172804,2.36338637740431,2.39704552246123,2.43079730164944,2.47845866189481,2.49371402784455,-0.0260080156082544
14,"female",2.39420355581667,0.0502233903933532,0.00480785768823541,1.03533727271897,2.29824544409367,2.3133894194115,2.3607629183443,2.39444502359816,2.42821982617262,2.47591369806426,2.49117947028565,-0.0260019571479032
