ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,7Networks_LH_Vis,-10,-80,-3
2,7Networks_LH_SomMot,-42,-16,49
3,7Networks_LH_DorsAttn_Post,-27,-60,47
4,7Networks_LH_DorsAttn_FEF,-26,-4,55
5,7Networks_LH_DorsAttn_PrCv,-49,4,32
6,7Networks_LH_SalVentAttn_ParOper,-59,-33,27
7,7Networks_LH_SalVentAttn_TempOcc,-57,-56,12
8,7Networks_LH_SalVentAttn_FrOperIns,-41,5,3
9,7Networks_LH_SalVentAttn_PFCl,-29,41,31
10,7Networks_LH_SalVentAttn_Med,-5,4,40
11,7Networks_LH_Limbic_OFC,-11,33,-21
12,7Networks_LH_Limbic_TempPole,-34,-3,-37
13,7Networks_LH_Cont_Par,-44,-51,48
14,7Networks_LH_Cont_Temp,-59,-49,-17
15,7Networks_LH_Cont_PFCd,-22,13,60
16,7Networks_LH_Cont_PFCl,-41,35,19
17,7Networks_LH_Cont_OFC,-28,43,-13
18,7Networks_LH_Cont_PFCv,-30,22,-4
19,7Networks_LH_Cont_pCun,-4,-71,46
20,7Networks_LH_Cont_Cing,-5,-15,29
21,7Networks_LH_Cont_PFCmp,-5,26,45
22,7Networks_LH_Default_Par,-48,-62,33
23,7Networks_LH_Default_Temp,-58,-17,-14
24,7Networks_LH_Default_PFC,-11,57,25
25,7Networks_LH_Default_pCunPCC,-6,-53,30
26,7Networks_LH_Default_PHC,-22,-30,-20
27,7Networks_RH_Vis,19,-77,-7
28,7Networks_RH_SomMot,45,-13,44
29,7Networks_RH_DorsAttn_Post,29,-60,51
30,7Networks_RH_DorsAttn_FEF,28,-4,55
31,7Networks_RH_DorsAttn_PrCv,48,7,28
32,7Networks_RH_SalVentAttn_TempOccPar,61,-30,26
33,7Networks_RH_SalVentAttn_PrC,51,0,49
34,7Networks_RH_SalVentAttn_FrOperIns,42,9,2
35,7Networks_RH_SalVentAttn_PFCv,52,39,2
36,7Networks_RH_SalVentAttn_PFCl,30,45,30
37,7Networks_RH_SalVentAttn_Med,5,8,41
38,7Networks_RH_Limbic_OFC,12,35,-21
39,7Networks_RH_Limbic_TempPole,36,-3,-38
40,7Networks_RH_Cont_Par,50,-47,48
41,7Networks_RH_Cont_Temp,62,-37,-15
42,7Networks_RH_Cont_PFCv,32,23,-7
43,7Networks_RH_Cont_PFCl,41,35,24
44,7Networks_RH_Cont_pCun,7,-72,43
45,7Networks_RH_Cont_Cing,6,-15,29
46,7Networks_RH_Cont_PFCmp,6,30,41
47,7Networks_RH_Default_Par,52,-55,29
48,7Networks_RH_Default_Temp,57,-9,-17
49,7Networks_RH_Default_PFCv,46,29,-12
50,7Networks_RH_Default_PFCdPFCm,8,52,22
51,7Networks_RH_Default_pCunPCC,7,-53,28
