ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,17Networks_LH_VisCent_Striate,-9,-97,-7
2,17Networks_LH_VisCent_ExStr,-33,-89,-6
3,17Networks_LH_VisPeri_StriCal,-8,-77,6
4,17Networks_LH_VisPeri_ExStrInf,-14,-58,-4
5,17Networks_LH_VisPeri_ExStrSup,-8,-82,28
6,17Networks_LH_SomMotA,-21,-27,68
7,17Networks_LH_SomMotB_Cent,-53,-9,35
8,17Networks_LH_SomMotB_S2,-51,-15,15
9,17Networks_LH_SomMotB_Ins,-33,-22,9
10,17Networks_LH_SomMotB_Aud,-51,-21,7
11,17Networks_LH_DorsAttnA_TempOcc,-44,-59,-9
12,17Networks_LH_DorsAttnA_ParOcc,-43,-80,20
13,17Networks_LH_DorsAttnA_SPL,-21,-69,53
14,17Networks_LH_DorsAttnB_TempOcc,-55,-63,7
15,17Networks_LH_DorsAttnB_PostC,-39,-40,53
16,17Networks_LH_DorsAttnB_FEF,-26,-6,55
17,17Networks_LH_DorsAttnB_PrCv,-53,5,38
18,17Networks_LH_SalVentAttnA_ParOper,-59,-31,26
19,17Networks_LH_SalVentAttnA_FrOper,-52,5,6
20,17Networks_LH_SalVentAttnA_Ins,-39,-3,-3
21,17Networks_LH_SalVentAttnA_ParMed,-15,-32,42
22,17Networks_LH_SalVentAttnA_FrMed,-7,4,46
23,17Networks_LH_SalVentAttnB_IPL,-62,-42,36
24,17Networks_LH_SalVentAttnB_PFCd,-15,7,66
25,17Networks_LH_SalVentAttnB_PFCl,-32,44,28
26,17Networks_LH_SalVentAttnB_Ins,-33,21,0
27,17Networks_LH_SalVentAttnB_OFC,-28,40,-11
28,17Networks_LH_SalVentAttnB_PFCmp,-6,25,31
29,17Networks_LH_LimbicA_TempPole,-34,-3,-37
30,17Networks_LH_LimbicB_OFC,-11,37,-20
31,17Networks_LH_ContA_Temp,-56,-58,-14
32,17Networks_LH_ContA_IPS,-38,-49,44
33,17Networks_LH_ContA_PFCd,-22,8,54
34,17Networks_LH_ContA_PFCl,-42,12,27
35,17Networks_LH_ContA_PFClv,-44,38,12
36,17Networks_LH_ContA_Cingm,-5,3,29
37,17Networks_LH_ContB_Temp,-60,-39,-14
38,17Networks_LH_ContB_IPL,-49,-53,51
39,17Networks_LH_ContB_PFCd,-29,15,59
40,17Networks_LH_ContB_PFCl,-43,24,40
41,17Networks_LH_ContB_PFClv,-34,56,-2
42,17Networks_LH_ContB_PFCmp,-4,30,46
43,17Networks_LH_ContC_pCun,-6,-69,46
44,17Networks_LH_ContC_Cingp,-6,-26,28
45,17Networks_LH_DefaultA_IPL,-45,-68,38
46,17Networks_LH_DefaultA_PFCd,-22,27,46
47,17Networks_LH_DefaultA_pCunPCC,-6,-52,31
48,17Networks_LH_DefaultA_PFCm,-7,51,4
49,17Networks_LH_DefaultB_Temp,-57,-12,-19
50,17Networks_LH_DefaultB_IPL,-52,-56,28
51,17Networks_LH_DefaultB_PFCd,-8,50,40
52,17Networks_LH_DefaultB_PFCl,-41,13,51
53,17Networks_LH_DefaultB_PFCv,-48,27,-3
54,17Networks_LH_DefaultC_IPL,-42,-79,30
55,17Networks_LH_DefaultC_Rsp,-12,-57,14
56,17Networks_LH_DefaultC_PHC,-26,-32,-19
57,17Networks_LH_TempPar,-58,-41,9
58,17Networks_RH_VisCent_Striate,12,-97,-2
59,17Networks_RH_VisCent_ExStr,35,-86,-9
60,17Networks_RH_VisPeri_StriCal,11,-73,8
61,17Networks_RH_VisPeri_ExStrInf,15,-56,-5
62,17Networks_RH_VisPeri_ExStrSup,11,-79,29
63,17Networks_RH_SomMotA,23,-23,70
64,17Networks_RH_SomMotB_Cent,55,-7,33
65,17Networks_RH_SomMotB_S2,49,-10,15
66,17Networks_RH_SomMotB_Ins,35,-19,7
67,17Networks_RH_SomMotB_Aud,54,-15,6
