ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,7Networks_LH_Vis,-10,-80,0
2,7Networks_LH_SomMot,-40,-18,50
3,7Networks_LH_DorsAttn_Post,-26,-60,48
4,7Networks_LH_DorsAttn_FEF,-26,-4,54
5,7Networks_LH_DorsAttn_PrCv,-50,4,32
6,7Networks_LH_SalVentAttn_ParOper,-60,-32,28
7,7Networks_LH_SalVentAttn_TempOcc,-58,-56,12
8,7Networks_LH_SalVentAttn_FrOperIns,-42,6,4
9,7Networks_LH_SalVentAttn_PFCl,-30,42,30
10,7Networks_LH_SalVentAttn_Med,-4,4,40
11,7Networks_LH_Limbic_OFC,-12,34,-20
12,7Networks_LH_Limbic_TempPole,-34,-2,-38
13,7Networks_LH_Cont_Par,-44,-52,48
14,7Networks_LH_Cont_Temp,-60,-50,-16
15,7Networks_LH_Cont_PFCd,-22,14,60
16,7Networks_LH_Cont_PFCl,-40,36,18
17,7Networks_LH_Cont_OFC,-28,44,-14
18,7Networks_LH_Cont_PFCv,-30,22,-4
19,7Networks_LH_Cont_pCun,-4,-70,46
20,7Networks_LH_Cont_Cing,-6,-16,28
21,7Networks_LH_Cont_PFCmp,-4,26,46
22,7Networks_LH_Default_Par,-48,-62,32
23,7Networks_LH_Default_Temp,-58,-18,-14
24,7Networks_LH_Default_PFC,-12,58,24
25,7Networks_LH_Default_pCunPCC,-6,-54,30
26,7Networks_LH_Default_PHC,-22,-30,-20
27,7Networks_RH_Vis,20,-76,-8
28,7Networks_RH_SomMot,46,-12,42
29,7Networks_RH_DorsAttn_Post,30,-58,52
30,7Networks_RH_DorsAttn_FEF,28,-4,54
31,7Networks_RH_DorsAttn_PrCv,48,8,28
32,7Networks_RH_SalVentAttn_TempOccPar,62,-30,26
33,7Networks_RH_SalVentAttn_PrC,52,0,48
34,7Networks_RH_SalVentAttn_FrOperIns,42,8,2
35,7Networks_RH_SalVentAttn_PFCv,52,38,2
36,7Networks_RH_SalVentAttn_PFCl,30,46,30
37,7Networks_RH_SalVentAttn_Med,4,8,42
38,7Networks_RH_Limbic_OFC,12,36,-22
39,7Networks_RH_Limbic_TempPole,38,-2,-38
40,7Networks_RH_Cont_Par,50,-46,48
41,7Networks_RH_Cont_Temp,62,-36,-16
42,7Networks_RH_Cont_PFCv,32,24,-6
43,7Networks_RH_Cont_PFCl,40,34,24
44,7Networks_RH_Cont_pCun,6,-72,44
45,7Networks_RH_Cont_Cing,6,-14,30
46,7Networks_RH_Cont_PFCmp,6,30,40
47,7Networks_RH_Default_Par,52,-56,30
48,7Networks_RH_Default_Temp,58,-10,-18
49,7Networks_RH_Default_PFCv,46,30,-12
50,7Networks_RH_Default_PFCdPFCm,8,52,22
51,7Networks_RH_Default_pCunPCC,8,-54,28
