region_index,EI_ratio,S_E,S_I,r_E
0,0.049162957434887244,0.0012846161165643256,0.02612927415347689,0.019297684818513253
1,0.06835873730195781,0.0017915184510372158,0.026207501019665097,0.027787945056059013
2,0.04747141224916076,0.001240596240843499,0.026133374674656082,0.019564871765931437
3,0.030871746728095905,0.0008050784088761924,0.026077970539312444,0.013713205373519654
4,0.03663699668127992,0.0009558808095721472,0.026090147396575242,0.014230662939062147
5,0.06231448623146361,0.0016319133299918555,0.026187902919792075,0.02511647550392505
6,0.05657328725735081,0.001480523933261236,0.02616951798922992,0.0235022905158645
7,0.03436610709921952,0.0008965972915229743,0.026089133557121256,0.013889378499402033
8,0.038111396067627416,0.0009941180467937,0.026084322687347786,0.015544635290661685
9,0.03721768804062809,0.0009712440280033678,0.026096147542011627,0.014303757605689192
10,0.04832049008765021,0.0012622995571793868,0.02612346548544475,0.02008519047673597
11,0.03826481252723931,0.0009984142069082958,0.026091956344187067,0.01546151862862305
12,0.151138059659492,0.0040249728288461505,0.0266308533192897,0.06283608765699915
13,0.004830637905070445,0.00012563872336580692,0.02600746344411782,0.002157098808914624
14,0.04302189344961165,0.0011237803617601837,0.026120830570087045,0.016607419502338613
15,0.015112236630843436,0.000393323132877342,0.02602654210267009,0.005804821940059341
16,0.03036237160127281,0.0007917324661094793,0.02607600149667075,0.013045696845357313
17,0.18063249303665385,0.004834236510584563,0.026762483927374858,0.07589715244493483
18,0.015809233114698482,0.00041153137855445116,0.02603095676482071,0.0061930154069254305
19,0.023151353194801407,0.0006030270626220811,0.026046736527002956,0.009606496729628692
20,0.038548753566468676,0.001006045580005341,0.0260979981734815,0.015806981076948782
21,0.016338708830452645,0.00042535598669105973,0.026032752398595843,0.006647270103423
22,0.05845785133361026,0.0015302090919995237,0.026176077582269492,0.025075214051462916
23,0.017953503170369086,0.0004674868877702642,0.02603873086684864,0.007527410934130982
24,0.0779943653008404,0.0020459891295472187,0.026232436935880326,0.03135368277323474
25,0.011447379558774595,0.0002979030089664628,0.026023337123269517,0.004726793244951333
26,0.009573992816900828,0.0002490849428017563,0.026016693752556972,0.004152134407959846
27,0.03223652032850335,0.0008406726531807597,0.026078176434541415,0.012839231042856038
28,0.0088382354070687,0.00022991408582338847,0.02601362511358944,0.003772736608164023
29,0.0983534848232338,0.0025907457777598953,0.02634074227247681,0.04080055938949361
30,0.010210557784399717,0.0002656351571499715,0.026015051734548694,0.003981451537476977
31,0.01563170837190252,0.0004069362340785502,0.026032388386838485,0.006853320876654082
32,0.04953096647567229,0.0012945297771093935,0.02613553456972849,0.020503677639414287
33,0.022901100242555105,0.0005965475337211013,0.02604826760072032,0.01002795416377832
34,0.010227402310987399,0.0002660694322438189,0.02601367478340615,0.004549017219788573
35,0.12048261010528037,0.0031869352759845734,0.026451270027499262,0.049439714182762995
36,0.01624856625518027,0.000423019554138366,0.02603405997277461,0.006464186158853886
37,0.02967984824280508,0.000773795621343994,0.026071245791215517,0.012825161933804436
38,0.03588540905723498,0.000936040968813852,0.026084090119816467,0.01372768972917429
39,0.03747218759881041,0.0009781072508110837,0.026102184623994856,0.014611816980642497
40,0.040598599486010335,0.0010599725509282051,0.02610859231064844,0.016324264348643317
41,0.0192736322773898,0.0005018649874916243,0.026038927083335276,0.008082803323011546
42,0.02467803915387563,0.0006429848665670826,0.02605489249388784,0.010310523244150119
43,0.03705197564547241,0.0009666189723423335,0.02608752131859357,0.014610594271985829
44,0.0560199123880027,0.0014659356266503336,0.02616768058076378,0.022539420149768688
45,0.01610104542116392,0.00041910698961335576,0.026029466943384028,0.006177389227211985
46,0.12640113702124767,0.0033475208945967414,0.026483069197148743,0.051979552773495946
47,0.016687642740236323,0.0004344844141121462,0.026036022312740187,0.0072153755143618825
48,0.03711662446230393,0.0009686308724253679,0.026096911909471682,0.014977654735789
49,0.014729368368603434,0.00038334088809038733,0.026025218047537917,0.0064735706791758585
50,0.015000011317308833,0.0003904123737379574,0.026027321683555676,0.0061687903136440625
51,0.007061423504465821,0.0001837021762713918,0.026015199090725263,0.003095797284863075
52,0.01849367015439965,0.0004815273261358295,0.026036829875094883,0.007845924451692307
53,0.04231627581696367,0.0011044542111772514,0.02609991312756571,0.016710788158025416
54,0.028248285181913215,0.0007361148121523643,0.02605874052981154,0.01074585940328227
55,0.041762988703175415,0.0010906365155145122,0.026114633538619928,0.0173244278099116
56,0.014789719865524785,0.00038496177472731574,0.026028691809104915,0.005582453797331223
57,0.021132495184708666,0.0005502745157007477,0.026038974343980472,0.008419549216087377
58,0.018081825927360167,0.0004708817657244101,0.02604141230209664,0.007298745218541717
59,0.051207724763490746,0.00133922305101972,0.026152535789340667,0.02065308808774444
60,0.037453822136133276,0.0009774675533609325,0.026097527250425443,0.01609072680566473
61,0.02893691126677637,0.0007543965926215804,0.02606967797819516,0.013063203318044522
62,0.010430060150784138,0.0002713910365217164,0.026019937102983292,0.00452443694797158
63,0.011534619702223506,0.00030016132388967643,0.02602235293667487,0.0045336612118302
64,0.008032117161109171,0.0002089443639457883,0.02601343160303851,0.004633643206357855
65,0.08184104706820504,0.0021500752695915123,0.02627128444512027,0.03374237820754201
66,0.047718228223283456,0.0012469113602363857,0.02613054545872526,0.019982438259893976
67,0.011435983697859272,0.00029755896426056865,0.02601952274976931,0.0042350574325615556
