region_index,wEE,wEI,sigma,G
0,9.198054404391884,1.3641912247345405,0.005174832403563094,1.0308004007723726
1,9.188647846678764,1.5682489661913552,0.005435648194856115,1.0308004007723726
2,9.338584202852257,1.4312139360340874,0.005158534757434685,1.0308004007723726
3,9.535004193266884,1.305692051875401,0.004862758984868163,1.0308004007723726
4,9.405091617339645,1.2771698420298527,0.004919468235615595,1.0308004007723726
5,9.297204105535878,1.5562499106716636,0.005343634855599634,1.0308004007723726
6,9.27740241432304,1.5016339017998384,0.005289673184433392,1.0308004007723726
7,9.512973364454966,1.3068942437976714,0.004879896997337132,1.0308004007723726
8,8.791691163622625,1.1343186658664164,0.005177041929966709,1.0308004007723726
9,9.555754352157319,1.3383512709381669,0.004888701864789507,1.0308004007723726
10,8.944487391255187,1.3095559208806842,0.005286808303109215,1.0308004007723726
11,9.029759298717169,1.2139910556383158,0.005107251142584545,1.0308004007723726
12,9.41073555381333,2.116899134992462,0.005961277050534473,1.0308004007723726
13,9.736851516175552,0.6733580624715084,0.003931936105655206,1.0308004007723726
14,9.783265612446082,1.4814090637214972,0.004905347380504826,1.0308004007723726
15,9.458939167680148,0.9488684943845425,0.004472366096279297,1.0308004007723726
16,9.443805258858033,1.2769762655085912,0.00489174241650969,1.0308004007723726
17,9.109570335101443,2.139611434137618,0.006203375536081787,1.0308004007723726
18,9.33274478640484,0.940873487082869,0.004552000606442072,1.0308004007723726
19,9.19328362188521,1.0461112380412259,0.004782076215458607,1.0308004007723726
20,9.178436378915098,1.2801016598593744,0.005084033380423315,1.0308004007723726
21,9.339418502976642,0.9772446713817127,0.0045925600072656775,1.0308004007723726
22,9.309491343986018,1.5494900286777653,0.0053264926425603595,1.0308004007723726
23,9.514727321560922,1.0453387095272069,0.004552905261044668,1.0308004007723726
24,8.975421840927371,1.5394094164594376,0.005551110561838545,1.0308004007723726
25,9.292274083190714,0.8287604519824259,0.004441104941297612,1.0308004007723726
26,9.054468523985214,0.7188935491617272,0.004473104460090083,1.0308004007723726
27,9.254281916088779,1.1961178204384295,0.004925591710022682,1.0308004007723726
28,9.327658858037008,0.7435604770337241,0.004309873774057716,1.0308004007723726
29,9.207486143816668,1.7768827234123037,0.005682110624160128,1.0308004007723726
30,9.299387029607644,0.7617392993564049,0.004352585618259652,1.0308004007723726
31,9.247499385030782,0.9328650527829705,0.0046025466817011425,1.0308004007723726
32,9.239105856500263,1.409314521622439,0.0052018854009488755,1.0308004007723726
33,9.21893776820605,1.086093306424065,0.004813657534981213,1.0308004007723726
34,9.230476792076162,0.778919412370565,0.004422904872862172,1.0308004007723726
35,9.315971060399866,1.9263943804454775,0.005791296619303873,1.0308004007723726
36,9.29764092519492,0.9348768255548824,0.004569454216612797,1.0308004007723726
37,9.28500725920307,1.20082993106384,0.004909646821611364,1.0308004007723726
38,9.211467978276522,1.210946776936174,0.004974455729057573,1.0308004007723726
39,9.748835983985343,1.406924066800787,0.004837025571065715,1.0308004007723726
40,9.47704350779052,1.3788328399512486,0.004994999157730387,1.0308004007723726
41,9.223298024117113,1.0065807764842454,0.004711535471350331,1.0308004007723726
42,9.369616266377598,1.1419313444350805,0.004776225206634995,1.0308004007723726
43,9.119632069685446,1.2230647563756332,0.005054746572262908,1.0308004007723726
44,9.308659442918522,1.5054538433038964,0.00527223970077678,1.0308004007723726
45,9.21591653274663,0.8962884993318239,0.004579415741401942,1.0308004007723726
46,9.21003163418882,1.9399150490724928,0.005883347186744056,1.0308004007723726
47,9.395630034590063,0.9950781841009575,0.00457486286673809,1.0308004007723726
48,9.246903509684156,1.2696100788998264,0.005022358741442054,1.0308004007723726
49,9.208702254364903,0.900422176179331,0.00458968567974649,1.0308004007723726
50,9.153613302983796,0.8659670575160852,0.004585884963017713,1.0308004007723726
51,9.950124141645857,0.8491845460305119,0.003999501120299842,1.0308004007723726
52,9.153312110848692,0.9732156724435284,0.004719668373128515,1.0308004007723726
53,8.880565921463962,1.2084213682540597,0.005206234323295059,1.0308004007723726
54,8.94810590156753,1.0104925625753252,0.004911779830669182,1.0308004007723726
55,9.566557746436677,1.4376613758647887,0.005004714798232518,1.0308004007723726
56,9.601420920577494,0.94713876661074,0.0043690569924887575,1.0308004007723726
57,9.153853301873315,0.998205899345967,0.004750407485221999,1.0308004007723726
58,9.612913364334597,1.0724943615999372,0.004517018311905037,1.0308004007723726
59,9.581021431197271,1.5321000105420355,0.005112062082964812,1.0308004007723726
60,9.329728144949454,1.326611481311763,0.0050345481145543484,1.0308004007723726
61,9.294833822628437,1.2305060565543113,0.004939629699320117,1.0308004007723726
62,9.308986817153825,0.7915219777387668,0.0043828621985286965,1.0308004007723726
63,9.479006119565225,0.8533356197671332,0.00433914101084418,1.0308004007723726
64,9.365783566838665,0.8310306800406093,0.004391744299056586,1.0308004007723726
65,9.29064310104749,1.6914898396146834,0.005516723361716644,1.0308004007723726
66,9.352529686641708,1.4254432127024397,0.005141447191812641,1.0308004007723726
67,9.737381858409504,0.8948839235452659,0.004207452345601231,1.0308004007723726
