asrs_adhd_symptoms
hopkins_depression
hopkins_obscomp
hopkins_anxiety
hopkins_somatization
hopkins_intsensitivity
barratt_attention
barratt_motor
barratt_nonplanning
dickman_functional_impulsivity
dickman_dysfunctional_impulsivity
mpq_control
eysenck_impulsiveness
eysenck_venturesomeness
eysenck_empathy
bipolar_ii_mood_lability
bipolar_ii_energy_activity
bipolar_ii_daydreaming
bipolar_ii_social_anxiety
golden_schizoid
eckblad_hypomanic
chapman_infrequency
chapman_perceptual_aberrations
chapman_social_anhedonia
chapman_physical_anhedonia
tci_persistence
tci_harm_avoidance
tci_reward_dependence
tci_novelty_seeking
cvlt_sd_free_recall
cvlt_sd_cued_recall
cvlt_ld_free_recall
cvlt_ld_cued_recall
cvlt_ld_recognition
wms_vr_immediate_recall
wms_vr_delayed_recall
wms_vr_recognition
wms_symbol_span
wms_digit_span_fwd
wms_digit_span_bwd
wms_digit_span_seq
wais_letter_number_sequ
wais_vocabulary
wais_matrix_reasoning
color_trail_interference
dkefs_verbal_fluency_english
taskswitch_accuracy
taskswitch_interference
taskswitch_switch_cost
taskswitch_residual_switch_cost
ant_rt_conflict
cpt_hit_rate
cpt_false_alarm_rate
cpt_hits_rt
