Name parcel,Strength of involvement across LCs 1-3,"MNI coordinates(x,y,z)",,
17Networks_RH_DorsAttnB_PostC_4,20.06,46,-28,42
17Networks_LH_DorsAttnB_PostC_8,19.85,-20,-56,66
17Networks_RH_DefaultA_PFCm_4,19.63,8,54,12
17Networks_RH_DefaultA_pCunPCC_4,19.55,4,-20,36
17Networks_LH_DefaultA_PFCm_4,19.36,-6,44,6
17Networks_RH_DorsAttnB_PostC_1,19.20,62,-14,30
Caudate_Left,18.77,,,
Hippocampus_Right,18.25,,,
17Networks_LH_DefaultA_PFCm_6,18.04,-6,34,20
17Networks_RH_DefaultA_PFCd_1,17.89,26,34,38
17Networks_LH_DorsAttnB_PostC_5,17.83,-38,-38,50
17Networks_LH_DefaultA_pCunPCC_5,17.71,-2,-16,38
BrainStem,17.59,,,
17Networks_RH_DefaultA_pCunPCC_5,17.31,10,-52,36
17Networks_RH_DefaultA_IPL_2,17.19,48,-64,42
17Networks_RH_DefaultA_pCunPCC_3,17.18,6,-38,34
Pallidum_Right,17.01,,,
17Networks_RH_DefaultA_IPL_1,16.96,54,-54,26
17Networks_LH_DefaultA_PFCm_3,16.68,-6,60,6
17Networks_LH_DorsAttnB_PostC_4,16.66,-46,-30,44
17Networks_LH_DefaultA_pCunPCC_3,16.18,-8,-44,32
17Networks_LH_DorsAttnB_PostC_2,15.75,-54,-20,40
17Networks_RH_VisCent_ExStr_3,15.43,24,-74,-10
17Networks_LH_DefaultA_pCunPCC_6,15.32,-2,-68,42
17Networks_RH_DefaultA_PFCd_2,15.26,24,26,50
17Networks_RH_DefaultA_PFCm_5,15.21,18,64,16
17Networks_LH_DefaultA_PFCd_3,15.13,-22,20,52
17Networks_RH_VisCent_ExStr_11,14.84,28,-88,20
17Networks_RH_DorsAttnB_FEF_3,14.22,24,-2,64
17Networks_RH_VisCent_ExStr_1,14.20,36,-54,-18
17Networks_LH_DefaultA_PFCd_1,14.19,-24,28,44
17Networks_RH_VisCent_ExStr_2,14.02,38,-74,-16
17Networks_RH_DefaultA_Temp_1,13.37,60,-8,-24
17Networks_RH_VisCent_ExStr_10,13.30,12,-94,18
17Networks_LH_DefaultA_IPL_2,13.29,-42,-72,44
