ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultC_IPL,-41,-79,27
2,17networks_LH_DefaultC_PHC,-26,-31,-19
3,17networks_LH_DefaultB_IPL_1,-58,-49,36
4,17networks_LH_DefaultB_IPL_2,-47,-62,27
5,17networks_LH_DefaultB_PFCd_1,-10,18,62
6,17networks_LH_DefaultB_PFCd_2,-7,49,41
7,17networks_LH_DefaultB_PFCl,-41,13,47
8,17networks_LH_DefaultB_PFCm,-6,55,15
9,17networks_LH_DefaultB_PFCv_1,-50,20,8
10,17networks_LH_DefaultB_PFCv_2,-35,21,-11
11,17networks_LH_DefaultB_Temp,-60,-35,-3
12,17networks_LH_DefaultB_TempPole,-47,10,-29
13,17networks_LH_DefaultA_IPL_1,-40,-72,43
14,17networks_LH_DefaultA_PCC,-5,-53,27
15,17networks_LH_DefaultA_PFCd_1,-20,40,43
16,17networks_LH_DefaultA_PFCd_2,-26,19,51
17,17networks_LH_DefaultA_PFCd_3,-18,64,16
18,17networks_LH_DefaultA_PFCm_1,-6,56,-6
19,17networks_LH_DefaultA_PFCm_2,-6,33,-10
20,17networks_LH_DefaultA_RSC,-10,-56,13
21,17networks_LH_DefaultA_TempPole,-28,2,-37
22,17networks_LH_DefaultA_Temp_1,-60,-15,-21
23,17networks_LH_DefaultA_Temp_2,-43,-17,-32
24,17networks_LH_DefaultA_pCun,-7,-52,40
25,17networks_LH_ContC_PCC,-4,-27,33
26,17networks_LH_ContC_PFCl,-26,50,24
27,17networks_LH_ContC_PFCm,-6,39,12
28,17networks_LH_ContC_pCun,-11,-69,31
29,17networks_LH_ContB_FPole_1,-29,56,6
30,17networks_LH_ContB_FPole_2,-16,61,-12
31,17networks_LH_ContB_FrMed,-5,27,41
32,17networks_LH_ContB_IPL_1,-47,-57,48
33,17networks_LH_ContB_OFC_1,-7,32,-22
34,17networks_LH_ContB_OFC_2,-23,26,-20
35,17networks_LH_ContB_PFCv,-38,47,-11
36,17networks_LH_ContB_Temp,-60,-46,-12
37,17networks_LH_ContA_IPS_1,-33,-57,43
38,17networks_LH_ContA_IPS_2,-27,-71,36
39,17networks_LH_ContA_IPS_3,-48,-42,49
40,17networks_LH_ContA_PFCl_1,-45,22,26
41,17networks_LH_ContA_PFCl_2,-42,42,13
42,17networks_LH_ContA_PrCv,-46,4,33
43,17networks_LH_ContA_TempOcc,-49,-44,-22
44,17networks_LH_ContA_pCun,-7,-73,47
45,17networks_LH_Language_PFCv,-48,32,-4
46,17networks_LH_Language_Temp_1,-54,-51,18
47,17networks_LH_Language_Temp_2,-58,-36,5
48,17networks_LH_Language_Temp_3,-55,-11,-7
49,17networks_LH_SalVenAttnB_FrMed,-4,13,29
50,17networks_LH_SalVenAttnB_Ins,-33,14,6
51,17networks_LH_SalVenAttnB_PFCl,-35,36,35
52,17networks_LH_SalVenAttnB_PrCv,-51,9,17
53,17networks_LH_SalVenAttnB_Temp,-55,-56,10
54,17networks_LH_SalVenAttnA_FrMed_1,-6,-3,64
55,17networks_LH_SalVenAttnA_FrMed_2,-7,7,42
56,17networks_LH_SalVenAttnA_IPL,-60,-29,29
57,17networks_LH_SalVenAttnA_Ins,-40,4,-12
58,17networks_LH_SalVenAttnA_Oper,-54,-5,10
59,17networks_LH_SalVenAttnA_PrCd,-37,-4,52
60,17networks_LH_SalVenAttnA_SPL,-12,-35,45
61,17networks_LH_SalVenAttnA_ST,-56,-41,21
62,17networks_LH_DorsAttnB_PostC_1,-38,-36,44
63,17networks_LH_DorsAttnB_PostC_2,-52,-26,40
64,17networks_LH_DorsAttnB_PrCd,-26,-11,58
65,17networks_LH_DorsAttnB_SPL,-19,-51,69
66,17networks_LH_DorsAttnA_PFCd,-23,3,61
67,17networks_LH_DorsAttnA_SPL_1,-6,-55,59
68,17networks_LH_DorsAttnA_SPL_2,-19,-72,52
69,17networks_LH_DorsAttnA_TempOcc,-54,-63,-1
70,17networks_LH_Aud_Ins,-46,-10,-1
71,17networks_LH_Aud_ST,-53,-24,9
72,17networks_LH_SomMotB_1,-40,-15,47
73,17networks_LH_SomMotB_2,-52,-6,42
74,17networks_LH_SomMotB_3,-54,-13,38
75,17networks_LH_SomMotB_4,-60,-6,24
76,17networks_LH_SomMotB_Ins,-38,-9,13
77,17networks_LH_SomMotA_1,-16,-10,70
78,17networks_LH_SomMotA_2,-17,-24,71
79,17networks_LH_SomMotA_3,-4,-32,63
80,17networks_LH_SomMotA_4,-19,-32,71
81,17networks_LH_SomMotA_5,-8,-14,45
82,17networks_LH_SomMotA_6,-36,-20,64
83,17networks_LH_SomMotA_7,-39,-29,63
84,17networks_LH_SomMotA_8,-32,-41,62
85,17networks_LH_SomMotA_9,-51,-22,53
86,17networks_LH_SomMotA_Ins,-42,-28,19
87,17networks_LH_VisualC_ExStr,-22,-98,-4
88,17networks_LH_VisualB_ExStr,-13,-91,25
89,17networks_LH_VisualB_ExStrInf_1,-15,-52,1
90,17networks_LH_VisualB_ExStrInf_2,-14,-63,-6
91,17networks_LH_VisualB_ExStrSup,-8,-77,26
92,17networks_LH_VisualB_Striate_1,-10,-73,8
93,17networks_LH_VisualB_Striate_2,-5,-91,-3
94,17networks_LH_VisualA_ExStr_1,-34,-86,15
95,17networks_LH_VisualA_ExStr_2,-23,-80,-14
96,17networks_LH_VisualA_ExStr_3,-43,-81,-7
97,17networks_LH_VisualA_ExStr_4,-31,-51,-16
98,17networks_LH_VisualA_SPL,-32,-56,57
99,17networks_LH_VisualA_TempOcc_1,-47,-72,11
100,17networks_LH_VisualA_TempOcc_2,-45,-62,-13
101,17networks_RH_DefaultC_IPL,47,-69,26
102,17networks_RH_DefaultC_PHC,27,-28,-20
103,17networks_RH_ContC_IPL,59,-40,38
104,17networks_RH_DefaultA_IPL_1,53,-52,26
105,17networks_RH_DefaultB_PFCd_1,13,22,61
106,17networks_RH_DefaultB_PFCd_2,8,50,39
107,17networks_RH_ContB_PFCl,42,15,47
108,17networks_RH_DefaultA_PFCm_3,7,54,13
109,17networks_RH_ContC_PFCv_1,53,20,9
110,17networks_RH_ContC_PFCv_2,36,23,-11
111,17networks_RH_DefaultB_Temp,59,-29,-4
112,17networks_RH_DefaultB_TempPole,47,13,-29
113,17networks_RH_ContB_IPL_2,45,-66,43
114,17networks_RH_DefaultA_PCC,6,-53,27
115,17networks_RH_DefaultA_PFCd_1,22,41,42
116,17networks_RH_ContB_PFCd,27,23,49
117,17networks_RH_DefaultB_PFCd_3,18,64,16
118,17networks_RH_DefaultA_PFCm_1,6,55,-7
119,17networks_RH_DefaultA_PFCm_2,4,33,-12
120,17networks_RH_DefaultC_RSC,12,-54,14
121,17networks_RH_DefaultA_TempPole,29,5,-38
122,17networks_RH_DefaultA_Temp_1,60,-10,-22
123,17networks_RH_DefaultC_Temp,44,-14,-34
124,17networks_RH_DefaultA_pCun,8,-52,41
125,17networks_RH_ContC_PCC,5,-28,33
126,17networks_RH_ContC_PFCl,29,50,25
127,17networks_RH_ContC_PFCm,7,38,12
128,17networks_RH_ContC_pCun,15,-66,32
129,17networks_RH_ContB_FPole_1,30,57,5
130,17networks_RH_ContC_FPole,17,62,-11
131,17networks_RH_ContC_FrMed,6,27,41
132,17networks_RH_ContB_IPL_1,51,-52,47
133,17networks_RH_ContB_OFC_1,8,33,-22
134,17networks_RH_ContA_OFC,23,25,-20
135,17networks_RH_ContB_PFCv,39,48,-11
136,17networks_RH_ContB_Temp,63,-40,-13
137,17networks_RH_ContA_IPS_1,36,-51,44
138,17networks_RH_ContA_IPS_2,32,-69,41
139,17networks_RH_ContA_IPS_3,49,-37,48
140,17networks_RH_ContA_PFCl_1,47,26,25
141,17networks_RH_ContA_PFCl_2,43,44,11
