ROI Label,ROI Name,R,A,S
1,7networks_LH_Default_FPole_1,-18,68,6
2,7networks_LH_Default_FPole_2,-6,64,2
3,7networks_LH_Default_FPole_3,-24,60,6
4,7networks_LH_Default_FPole_4,-18,64,-4
5,7networks_LH_Default_FPole_5,-30,58,-2
6,7networks_LH_Default_FrMed_1,-4,40,32
7,7networks_LH_Default_FrMed_2,-4,26,58
8,7networks_LH_Default_IPL_1,-40,-72,42
9,7networks_LH_Default_IPL_10,-48,-60,14
10,7networks_LH_Default_IPL_11,-60,-54,30
11,7networks_LH_Default_IPL_12,-54,-50,20
12,7networks_LH_Default_IPL_2,-46,-64,46
13,7networks_LH_Default_IPL_3,-38,-82,32
14,7networks_LH_Default_IPL_4,-48,-58,34
15,7networks_LH_Default_IPL_5,-48,-66,28
16,7networks_LH_Default_IPL_6,-44,-72,26
17,7networks_LH_Default_IPL_7,-50,-54,26
18,7networks_LH_Default_IPL_8,-46,-60,20
19,7networks_LH_Default_IPL_9,-44,-52,18
20,7networks_LH_Default_PCC_1,-8,-40,38
21,7networks_LH_Default_PCC_2,-2,-14,38
22,7networks_LH_Default_PCC_3,-2,-30,38
23,7networks_LH_Default_PCC_4,-10,-52,34
24,7networks_LH_Default_PCC_5,-4,-42,32
25,7networks_LH_Default_PCC_6,-6,-54,26
26,7networks_LH_Default_PCC_7,-4,-64,22
27,7networks_LH_Default_PCC_8,-4,-54,16
28,7networks_LH_Default_PFCd_1,-8,20,64
29,7networks_LH_Default_PFCd_10,-10,52,42
30,7networks_LH_Default_PFCd_11,-22,38,38
31,7networks_LH_Default_PFCd_12,-16,50,40
32,7networks_LH_Default_PFCd_13,-4,50,32
33,7networks_LH_Default_PFCd_14,-8,60,30
34,7networks_LH_Default_PFCd_15,-16,58,26
35,7networks_LH_Default_PFCd_16,-6,56,14
36,7networks_LH_Default_PFCd_17,-18,64,16
37,7networks_LH_Default_PFCd_18,-6,8,68
38,7networks_LH_Default_PFCd_19,-14,12,64
39,7networks_LH_Default_PFCd_2,-18,20,62
40,7networks_LH_Default_PFCd_20,-4,12,58
41,7networks_LH_Default_PFCd_21,-22,48,34
42,7networks_LH_Default_PFCd_22,-24,56,22
43,7networks_LH_Default_PFCd_3,-12,32,56
