ROI Label,ROI Name,R,A,S
1,7networks_LH_Default_ExStrSup,-16,-64,22
2,7networks_LH_Default_FPole_1,-18,64,14
3,7networks_LH_Default_FPole_2,-6,66,0
4,7networks_LH_Default_FPole_3,-20,64,0
5,7networks_LH_Default_FPole_4,-28,58,-2
6,7networks_LH_Default_FrMed,-4,34,50
7,7networks_LH_Default_IPL_1,-42,-72,40
8,7networks_LH_Default_IPL_10,-58,-52,20
9,7networks_LH_Default_IPL_2,-48,-58,36
10,7networks_LH_Default_IPL_3,-48,-64,26
11,7networks_LH_Default_IPL_4,-44,-74,24
12,7networks_LH_Default_IPL_5,-46,-54,24
13,7networks_LH_Default_IPL_6,-40,-64,18
14,7networks_LH_Default_IPL_7,-48,-60,18
15,7networks_LH_Default_IPL_8,-46,-64,46
16,7networks_LH_Default_IPL_9,-58,-56,28
17,7networks_LH_Default_OFC,-34,54,-12
18,7networks_LH_Default_PCC_1,-2,-16,38
19,7networks_LH_Default_PCC_2,-2,-30,38
20,7networks_LH_Default_PCC_3,-6,-40,34
21,7networks_LH_Default_PCC_4,-8,-54,34
22,7networks_LH_Default_PCC_5,-6,-50,26
23,7networks_LH_Default_PCC_6,-4,-54,16
24,7networks_LH_Default_PFCd_1,-12,22,62
25,7networks_LH_Default_PFCd_10,-6,56,8
26,7networks_LH_Default_PFCd_11,-28,12,56
27,7networks_LH_Default_PFCd_12,-22,54,26
28,7networks_LH_Default_PFCd_2,-22,24,54
29,7networks_LH_Default_PFCd_3,-12,40,50
30,7networks_LH_Default_PFCd_4,-26,26,44
31,7networks_LH_Default_PFCd_5,-20,38,40
32,7networks_LH_Default_PFCd_6,-4,46,38
33,7networks_LH_Default_PFCd_7,-16,50,38
34,7networks_LH_Default_PFCd_8,-8,60,28
35,7networks_LH_Default_PFCd_9,-6,52,20
36,7networks_LH_Default_PFCl_1,-38,16,54
37,7networks_LH_Default_PFCl_2,-42,4,48
38,7networks_LH_Default_PFCl_3,-46,16,42
39,7networks_LH_Default_PFCl_4,-50,40,-2
40,7networks_LH_Default_PFCm_1,-6,42,22
41,7networks_LH_Default_PFCm_2,-2,32,16
42,7networks_LH_Default_PFCm_3,-6,44,6
43,7networks_LH_Default_PFCm_4,-6,40,-6
44,7networks_LH_Default_PFCm_5,-6,54,-10
45,7networks_LH_Default_PFCm_6,-6,34,-14
46,7networks_LH_Default_PFCv_1,-54,26,14
47,7networks_LH_Default_PFCv_10,-46,20,8
48,7networks_LH_Default_PFCv_11,-30,22,-12
49,7networks_LH_Default_PFCv_2,-50,26,0
50,7networks_LH_Default_PFCv_3,-46,38,-14
51,7networks_LH_Default_PFCv_4,-36,34,-12
52,7networks_LH_Default_PFCv_5,-44,32,-6
53,7networks_LH_Default_PFCv_6,-40,24,-10
54,7networks_LH_Default_PFCv_7,-34,24,-20
55,7networks_LH_Default_PFCv_8,-28,18,-16
56,7networks_LH_Default_PFCv_9,-54,18,10
57,7networks_LH_Default_PHC_1,-20,-26,-20
58,7networks_LH_Default_PHC_2,-32,-30,-20
59,7networks_LH_Default_RSC_1,-6,-46,14
60,7networks_LH_Default_RSC_2,-10,-58,16
61,7networks_LH_Default_RSC_3,-10,-50,6
62,7networks_LH_Default_SPL_1,-4,-46,50
63,7networks_LH_Default_SPL_2,-6,-38,44
64,7networks_LH_Default_ST_1,-62,-28,2
65,7networks_LH_Default_ST_2,-58,-10,-4
66,7networks_LH_Default_TempPole,-52,10,-18
67,7networks_LH_Default_Temp_1,-56,-50,6
68,7networks_LH_Default_Temp_10,-60,-28,-24
69,7networks_LH_Default_Temp_11,-50,-2,-20
70,7networks_LH_Default_Temp_12,-60,-12,-14
71,7networks_LH_Default_Temp_13,-60,-16,-22
72,7networks_LH_Default_Temp_14,-54,2,-28
73,7networks_LH_Default_Temp_15,-48,-50,14
74,7networks_LH_Default_Temp_16,-58,-18,-4
75,7networks_LH_Default_Temp_2,-50,-38,2
76,7networks_LH_Default_Temp_3,-62,-40,-2
77,7networks_LH_Default_Temp_4,-50,-28,-4
78,7networks_LH_Default_Temp_5,-50,-18,-10
79,7networks_LH_Default_Temp_6,-62,-26,-8
80,7networks_LH_Default_Temp_7,-56,-2,-8
81,7networks_LH_Default_Temp_8,-62,-34,-14
82,7networks_LH_Default_Temp_9,-50,-8,-12
83,7networks_LH_Default_pCun_1,-8,-50,42
84,7networks_LH_Default_pCun_2,-4,-64,40
85,7networks_LH_Default_pCun_3,-4,-64,26
86,7networks_LH_Default_pCun_4,-10,-68,30
87,7networks_LH_Cont_Cingm,-4,2,30
88,7networks_LH_Cont_FPole_1,-28,54,8
89,7networks_LH_Cont_FrMed_1,-4,20,48
90,7networks_LH_Cont_FrMed_2,-4,32,36
91,7networks_LH_Cont_IPL_1,-50,-54,50
92,7networks_LH_Cont_IPL_2,-54,-52,38
93,7networks_LH_Cont_IPL_3,-62,-46,34
94,7networks_LH_Cont_IPS_1,-34,-68,50
95,7networks_LH_Cont_IPS_2,-44,-42,48
96,7networks_LH_Cont_IPS_3,-38,-54,44
97,7networks_LH_Cont_IPS_4,-58,-42,46
98,7networks_LH_Cont_Ins,-34,20,-6
99,7networks_LH_Cont_OFC_1,-26,42,-14
100,7networks_LH_Cont_PCC_1,-4,-20,30
101,7networks_LH_Cont_PCC_2,-6,-38,26
102,7networks_LH_Cont_PFCd_1,-20,10,50
103,7networks_LH_Cont_PFCl_1,-28,34,40
104,7networks_LH_Cont_PFCl_10,-38,28,22
105,7networks_LH_Cont_PFCl_11,-40,40,16
106,7networks_LH_Cont_PFCl_12,-38,52,10
107,7networks_LH_Cont_PFCl_13,-50,18,24
108,7networks_LH_Cont_PFCl_14,-46,32,16
109,7networks_LH_Cont_PFCl_15,-44,44,6
