ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultC_ExStr,-28,-38,-18
2,17networks_LH_DefaultC_IPL_1,-38,-82,32
3,17networks_LH_DefaultC_PHC_1,-16,-38,-10
4,17networks_LH_DefaultC_PHC_2,-24,-36,-14
5,17networks_LH_DefaultC_PHC_3,-32,-38,-12
6,17networks_LH_DefaultC_PHC_4,-32,-24,-24
7,17networks_LH_DefaultC_RSC_1,-14,-62,22
8,17networks_LH_DefaultC_pCun_1,-8,-52,46
9,17networks_LH_DefaultC_pCun_2,-4,-58,48
10,17networks_LH_DefaultB_FPole,-14,66,-6
11,17networks_LH_DefaultB_IPL_1,-44,-56,20
12,17networks_LH_DefaultB_IPL_2,-62,-48,30
13,17networks_LH_DefaultB_IPL_3,-48,-56,30
14,17networks_LH_DefaultB_IPL_4,-58,-54,30
15,17networks_LH_DefaultB_IPL_5,-62,-52,22
16,17networks_LH_DefaultB_IPL_6,-50,-52,22
17,17networks_LH_DefaultB_OFC_1,-10,58,-20
18,17networks_LH_DefaultB_OFC_2,-26,14,-24
19,17networks_LH_DefaultB_PCC_1,-2,-16,38
20,17networks_LH_DefaultB_PCC_2,-2,-4,38
21,17networks_LH_DefaultB_PFCd_1,-10,28,58
22,17networks_LH_DefaultB_PFCd_2,-16,50,38
23,17networks_LH_DefaultB_PFCd_3,-6,58,34
24,17networks_LH_DefaultB_PFCd_4,-6,52,20
25,17networks_LH_DefaultB_PFCd_5,-14,62,22
26,17networks_LH_DefaultB_PFCd_6,-16,14,64
27,17networks_LH_DefaultB_PFCd_7,-4,40,50
28,17networks_LH_DefaultB_PFCd_8,-4,46,34
29,17networks_LH_DefaultB_PFCd_9,-22,54,26
30,17networks_LH_DefaultB_PFCl_1,-42,6,48
31,17networks_LH_DefaultB_PFCl_2,-40,18,48
32,17networks_LH_DefaultB_PFCm,-6,42,22
33,17networks_LH_DefaultB_PFCv_1,-46,34,-16
34,17networks_LH_DefaultB_PFCv_2,-46,32,-6
35,17networks_LH_DefaultB_PFCv_3,-40,24,-10
36,17networks_LH_DefaultB_PFCv_4,-34,24,-20
37,17networks_LH_DefaultB_PFCv_5,-28,18,-16
38,17networks_LH_DefaultB_PFCv_6,-54,20,12
39,17networks_LH_DefaultB_PFCv_7,-48,42,-6
40,17networks_LH_DefaultB_TempPole_1,-30,16,-34
41,17networks_LH_DefaultB_TempPole_2,-36,8,-40
42,17networks_LH_DefaultB_TempPole_3,-48,6,-36
43,17networks_LH_DefaultB_TempPole_4,-44,18,-28
44,17networks_LH_DefaultB_Temp_1,-58,-46,4
