ROI Label,ROI Name,R,A,S
117,7networks_LH_SomMot_6,-8,-42,64
118,7networks_LH_SomMot_7,-6,-14,50
119,7networks_LH_SomMot_8,-16,-42,74
120,7networks_LH_SomMot_9,-24,-30,64
121,7networks_LH_SomMot_IPL,-54,-28,20
122,7networks_LH_SomMot_Ins_1,-40,-18,18
123,7networks_LH_SomMot_Ins_2,-34,-26,14
124,7networks_LH_SomMot_Ins_3,-38,-8,10
125,7networks_LH_SomMot_Ins_4,-40,-18,2
126,7networks_LH_SomMot_ST_1,-44,-36,14
127,7networks_LH_SomMot_ST_2,-58,-20,8
128,7networks_LH_SomMot_ST_3,-52,-2,-2
129,7networks_LH_SomMot_Temp,-60,-42,10
130,7networks_LH_Vis_ExStrInf_1,-16,-52,0
131,7networks_LH_Vis_ExStrInf_2,-10,-68,-4
132,7networks_LH_Vis_ExStrInf_3,-16,-40,-10
133,7networks_LH_Vis_ExStrInf_4,-26,-52,-8
134,7networks_LH_Vis_ExStrSup_1,-10,-76,28
135,7networks_LH_Vis_ExStrSup_2,-4,-88,24
136,7networks_LH_Vis_ExStr_1,-22,-86,28
137,7networks_LH_Vis_ExStr_10,-38,-76,-16
138,7networks_LH_Vis_ExStr_11,-32,-50,-18
139,7networks_LH_Vis_ExStr_2,-12,-98,14
140,7networks_LH_Vis_ExStr_3,-38,-84,14
141,7networks_LH_Vis_ExStr_4,-28,-94,6
142,7networks_LH_Vis_ExStr_5,-22,-98,-12
143,7networks_LH_Vis_ExStr_6,-16,-84,-14
144,7networks_LH_Vis_ExStr_7,-42,-84,-6
145,7networks_LH_Vis_ExStr_8,-46,-74,6
146,7networks_LH_Vis_ExStr_9,-24,-70,-10
147,7networks_LH_Vis_PHC,-28,-34,-16
148,7networks_LH_Vis_Striate_1,-16,-66,8
149,7networks_LH_Vis_Striate_2,-6,-78,8
150,7networks_LH_Vis_Striate_3,-4,-92,-4
151,7networks_RH_Default_FPole_1,14,66,4
152,7networks_RH_Default_FPole_2,6,60,-12
153,7networks_RH_Default_IPL_1,46,-64,42
154,7networks_RH_Default_IPL_2,56,-54,34
155,7networks_RH_Default_IPL_3,50,-64,22
156,7networks_RH_Default_IPL_4,50,-52,20
