ROI Label,ROI Name,R,A,S
1,17networks_LH_TempPar_Temp,-56,-36,4
2,17networks_LH_DefaultC_PHC,-28,-30,-22
3,17networks_LH_DefaultC_RSC,-10,-56,14
4,17networks_LH_DefaultB_IPL,-52,-56,24
5,17networks_LH_DefaultB_PFCd_1,-10,52,38
6,17networks_LH_DefaultB_PFCd_2,-10,12,62
7,17networks_LH_DefaultB_PFCv_1,-48,32,6
8,17networks_LH_DefaultB_PFCv_2,-32,24,-16
9,17networks_LH_DefaultB_Temp_1,-56,-4,-18
10,17networks_LH_DefaultB_Temp_2,-60,-44,-10
11,17networks_LH_DefaultA_IPL,-42,-72,38
12,17networks_LH_DefaultA_PCC,-6,-52,32
13,17networks_LH_DefaultA_PFCd,-32,20,48
14,17networks_LH_DefaultA_PFCm,-6,48,2
15,17networks_LH_ContC_PCC,-4,-24,34
16,17networks_LH_ContC_pCun,-8,-70,46
17,17networks_LH_ContB_FPole,-26,58,-6
18,17networks_LH_ContA_IPS_1,-50,-48,46
19,17networks_LH_ContA_IPS_2,-34,-52,52
20,17networks_LH_ContA_PrCv,-46,12,26
21,17networks_LH_LimbicA_Temp,-48,-34,-24
22,17networks_LH_LimbicA_TempPole,-32,4,-38
23,17networks_LH_LimbicB_OFC,-8,32,-20
24,17networks_LH_SalVentAttnB_FrMed,-6,22,30
25,17networks_LH_SalVentAttnB_PFCl,-34,44,24
26,17networks_LH_SalVentAttnA_Ins_1,-38,8,8
27,17networks_LH_SalVentAttnA_Ins_2,-42,2,-8
28,17networks_LH_SalVentAttnA_SPL,-10,-42,48
29,17networks_LH_DorsAttnB_PostC_1,-44,-32,48
30,17networks_LH_DorsAttnB_PostC_2,-60,-28,34
31,17networks_LH_DorsAttnB_PrC,-44,0,48
32,17networks_LH_DorsAttnB_PrCd,-24,-8,62
33,17networks_LH_DorsAttnB_SPL,-16,-54,66
34,17networks_LH_DorsAttnA_SPL,-24,-70,46
35,17networks_LH_DorsAttnA_TempOcc,-48,-68,10
36,17networks_LH_SomMotB_1,-56,-8,32
37,17networks_LH_SomMotB_2,-52,-10,12
38,17networks_LH_SomMotB_Ins,-48,-20,6
39,17networks_LH_SomMotB_ParOper,-54,-38,20
40,17networks_LH_SomMotA_1,-6,-26,68
41,17networks_LH_SomMotA_2,-24,-32,68
42,17networks_LH_SomMotA_3,-40,-20,56
43,17networks_LH_SomMotA_4,-8,-10,46
44,17networks_LH_VisPeri_1,-10,-84,28
45,17networks_LH_VisPeri_2,-8,-76,6
46,17networks_LH_VisPeri_3,-14,-54,-2
47,17networks_LH_VisCent_1,-30,-88,16
48,17networks_LH_VisCent_2,-16,-96,-8
49,17networks_LH_VisCent_3,-24,-68,-12
50,17networks_LH_VisCent_4,-44,-74,-10
51,17networks_RH_TempPar_Temp,56,-32,4
52,17networks_RH_DefaultC_PHC,28,-26,-22
53,17networks_RH_DefaultC_RSC,14,-54,14
54,17networks_RH_TempPar_IPL,56,-46,24
55,17networks_RH_DefaultB_PFCd_1,12,54,34
56,17networks_RH_SalVentAttnB_PFCd,10,14,60
57,17networks_RH_SalVentAttnB_PFCv,50,30,6
58,17networks_RH_LimbicB_PFCv,32,26,-16
59,17networks_RH_DefaultB_Temp_1,56,-2,-18
60,17networks_RH_ContB_Temp,62,-38,-10
61,17networks_RH_ContB_IPL,48,-64,38
62,17networks_RH_DefaultA_PCC,8,-52,32
63,17networks_RH_ContB_PFCd,32,24,48
64,17networks_RH_DefaultA_PFCm,6,48,2
65,17networks_RH_ContC_PCC,6,-26,34
66,17networks_RH_ContC_pCun,10,-68,46
67,17networks_RH_ContB_FPole,28,58,-6
68,17networks_RH_ContA_IPS_1,52,-42,46
69,17networks_RH_DorsAttnA_IPS,34,-48,54
70,17networks_RH_ContA_PrCv,48,14,26
71,17networks_RH_LimbicA_Temp,48,-28,-26
72,17networks_RH_LimbicA_TempPole,34,6,-38
73,17networks_RH_LimbicB_OFC,8,32,-20
74,17networks_RH_SalVentAttnB_FrMed,6,22,30
75,17networks_RH_SalVentAttnB_PFCl,36,44,24
76,17networks_RH_SalVentAttnA_Ins_1,38,10,8
77,17networks_RH_SalVentAttnA_Ins_2,42,4,-8
78,17networks_RH_SalVentAttnA_SPL,10,-40,50
79,17networks_RH_DorsAttnB_PostC_1,44,-28,50
80,17networks_RH_DorsAttnB_PostC_2,60,-22,38
81,17networks_RH_DorsAttnB_PrC,44,2,48
82,17networks_RH_DorsAttnB_PrCd,26,-8,64
83,17networks_RH_DorsAttnB_SPL,16,-52,68
84,17networks_RH_DorsAttnA_SPL,28,-68,48
85,17networks_RH_DorsAttnA_TempOcc,52,-62,10
86,17networks_RH_SomMotB_1,58,-4,30
87,17networks_RH_SomMotB_2,54,-8,14
88,17networks_RH_SomMotB_Ins,52,-16,6
89,17networks_RH_SalVentAttnA_ParOper,58,-30,22
90,17networks_RH_SomMotA_1,6,-26,68
91,17networks_RH_SomMotA_2,24,-32,68
92,17networks_RH_SomMotA_3,42,-18,56
93,17networks_RH_SalVentAttnA,8,-10,46
94,17networks_RH_VisPeri_1,12,-84,30
95,17networks_RH_VisPeri_2,10,-74,8
96,17networks_RH_VisPeri_3,16,-52,-4
97,17networks_RH_VisCent_1,36,-84,18
98,17networks_RH_VisCent_2,20,-96,-6
99,17networks_RH_VisCent_3,24,-66,-10
100,17networks_RH_VisCent_4,46,-68,-12
