ROI Label,ROI Name,R,A,S
1,7networks_LH_Default_FPole_1,-21,64,11
2,7networks_LH_Default_FPole_2,-14,66,-2
3,7networks_LH_Default_FPole_3,-29,59,-4
4,7networks_LH_Default_IPL_1,-41,-73,40
5,7networks_LH_Default_IPL_2,-48,-64,31
6,7networks_LH_Default_IPL_3,-49,-56,28
7,7networks_LH_Default_IPL_4,-44,-67,23
8,7networks_LH_Default_IPL_5,-46,-60,20
9,7networks_LH_Default_IPL_6,-47,-51,17
10,7networks_LH_Default_IPL_7,-45,-63,47
11,7networks_LH_Default_IPL_8,-58,-53,31
12,7networks_LH_Default_IPL_9,-64,-47,28
13,7networks_LH_Default_PCC_1,-3,-31,38
14,7networks_LH_Default_PCC_2,-7,-42,33
15,7networks_LH_Default_PCC_3,-6,-40,24
16,7networks_LH_Default_PCC_4,-4,-52,21
17,7networks_LH_Default_PCC_5,-3,-14,38
18,7networks_LH_Default_PFCd_1,-17,19,62
19,7networks_LH_Default_PFCd_10,-21,56,25
20,7networks_LH_Default_PFCd_11,-6,62,15
21,7networks_LH_Default_PFCd_12,-5,12,64
22,7networks_LH_Default_PFCd_13,-28,16,54
23,7networks_LH_Default_PFCd_2,-21,19,50
24,7networks_LH_Default_PFCd_3,-7,35,55
25,7networks_LH_Default_PFCd_4,-19,34,50
26,7networks_LH_Default_PFCd_5,-26,28,44
27,7networks_LH_Default_PFCd_6,-22,41,38
28,7networks_LH_Default_PFCd_7,-4,49,35
29,7networks_LH_Default_PFCd_8,-14,51,39
30,7networks_LH_Default_PFCd_9,-7,47,20
31,7networks_LH_Default_PFCl_1,-37,9,57
32,7networks_LH_Default_PFCl_2,-43,5,47
33,7networks_LH_Default_PFCl_3,-40,22,45
34,7networks_LH_Default_PFCl_4,-43,10,38
35,7networks_LH_Default_PFCm_1,-3,28,20
36,7networks_LH_Default_PFCm_2,-5,42,6
37,7networks_LH_Default_PFCm_3,-8,51,3
38,7networks_LH_Default_PFCm_4,-5,57,-9
39,7networks_LH_Default_PFCm_5,-6,34,-10
40,7networks_LH_Default_PFCv_1,-48,24,4
41,7networks_LH_Default_PFCv_2,-47,32,-7
42,7networks_LH_Default_PFCv_3,-38,28,-14
43,7networks_LH_Default_PFCv_4,-29,18,-19
44,7networks_LH_Default_PFCv_5,-55,19,15
45,7networks_LH_Default_PFCv_6,-41,48,-11
46,7networks_LH_Default_PHC_1,-21,-36,-14
47,7networks_LH_Default_PHC_2,-20,-26,-21
48,7networks_LH_Default_PHC_3,-31,-32,-17
49,7networks_LH_Default_RSC_1,-12,-60,18
50,7networks_LH_Default_RSC_2,-9,-51,8
