ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultC_ExStr,-28,-40,-17
2,17networks_LH_DefaultC_ExStrInf,-28,-45,-7
3,17networks_LH_DefaultC_IPL_1,-38,-83,31
4,17networks_LH_DefaultC_PHC_1,-21,-36,-14
5,17networks_LH_DefaultC_PHC_2,-31,-32,-17
6,17networks_LH_DefaultC_PHC_3,-31,-22,-26
7,17networks_LH_DefaultC_RSC_1,-12,-60,18
8,17networks_LH_DefaultC_pCun_1,-6,-56,44
9,17networks_LH_DefaultC_pCun_2,-16,-68,27
10,17networks_LH_DefaultB_FPole,-16,60,-15
11,17networks_LH_DefaultB_IPL_1,-58,-53,31
12,17networks_LH_DefaultB_IPL_2,-64,-47,28
13,17networks_LH_DefaultB_IPL_3,-49,-56,28
14,17networks_LH_DefaultB_IPL_4,-46,-60,20
15,17networks_LH_DefaultB_IPL_5,-47,-51,17
16,17networks_LH_DefaultB_PCC,-3,-14,38
17,17networks_LH_DefaultB_PFCd_1,-7,35,55
18,17networks_LH_DefaultB_PFCd_2,-4,49,35
19,17networks_LH_DefaultB_PFCd_3,-14,51,39
20,17networks_LH_DefaultB_PFCd_4,-7,47,20
21,17networks_LH_DefaultB_PFCd_5,-17,19,62
22,17networks_LH_DefaultB_PFCd_6,-21,56,25
23,17networks_LH_DefaultB_PFCl_1,-37,9,57
24,17networks_LH_DefaultB_PFCl_2,-40,22,45
25,17networks_LH_DefaultB_PFCv_1,-47,32,-7
26,17networks_LH_DefaultB_PFCv_2,-29,18,-19
27,17networks_LH_DefaultB_PFCv_3,-55,19,15
28,17networks_LH_DefaultB_PFCv_4,-38,28,-14
29,17networks_LH_DefaultB_TempPole_1,-30,12,-39
30,17networks_LH_DefaultB_TempPole_2,-30,10,-29
31,17networks_LH_DefaultB_TempPole_3,-40,18,-32
32,17networks_LH_DefaultB_TempPole_4,-41,2,-41
33,17networks_LH_DefaultB_Temp_1,-63,-39,-2
34,17networks_LH_DefaultB_Temp_2,-48,-11,-38
35,17networks_LH_DefaultB_Temp_3,-52,4,-31
36,17networks_LH_DefaultB_Temp_4,-49,-33,-2
37,17networks_LH_DefaultB_Temp_5,-50,-23,-7
38,17networks_LH_DefaultB_Temp_6,-63,-26,-7
39,17networks_LH_DefaultB_Temp_7,-49,-11,-12
40,17networks_LH_DefaultB_pCun,-8,-46,41
41,17networks_LH_DefaultA_FPole_1,-21,64,11
42,17networks_LH_DefaultA_FPole_2,-14,66,-2
43,17networks_LH_DefaultA_IPL_1,-44,-67,23
44,17networks_LH_DefaultA_IPL_2,-41,-73,40
45,17networks_LH_DefaultA_IPL_3,-48,-64,31
46,17networks_LH_DefaultA_PCC_1,-7,-42,33
47,17networks_LH_DefaultA_PCC_2,-4,-52,21
48,17networks_LH_DefaultA_PFCd_1,-21,19,50
49,17networks_LH_DefaultA_PFCd_2,-19,34,50
50,17networks_LH_DefaultA_PFCd_3,-22,41,38
51,17networks_LH_DefaultA_PFCd_4,-6,62,15
52,17networks_LH_DefaultA_PFCd_5,-26,28,44
53,17networks_LH_DefaultA_PFCm_1,-5,42,6
54,17networks_LH_DefaultA_PFCm_2,-8,51,3
55,17networks_LH_DefaultA_PFCm_3,-5,57,-9
56,17networks_LH_DefaultA_PFCm_4,-6,34,-10
57,17networks_LH_DefaultA_PFCm_5,-5,22,-20
58,17networks_LH_DefaultA_PHC_1,-20,-26,-21
59,17networks_LH_DefaultA_PHC_2,-21,-17,-28
60,17networks_LH_DefaultA_RSC,-9,-51,8
61,17networks_LH_DefaultA_TempPole_1,-19,-7,-32
62,17networks_LH_DefaultA_Temp_1,-60,-10,-14
63,17networks_LH_DefaultA_Temp_2,-38,-20,-27
64,17networks_LH_DefaultA_Temp_3,-39,-13,-33
65,17networks_LH_DefaultA_Temp_4,-63,-22,-18
66,17networks_LH_DefaultA_pCun,-5,-59,31
67,17networks_LH_ContC_Ins,-33,20,-5
68,17networks_LH_ContC_PCC_1,-4,-21,29
69,17networks_LH_ContC_PCC_2,-6,-40,24
70,17networks_LH_ContC_PFCl_1,-26,38,34
71,17networks_LH_ContC_PFCm,-8,31,27
72,17networks_LH_ContC_pCun_1,-8,-74,41
73,17networks_LH_ContC_pCun_2,-8,-68,31
74,17networks_LH_ContB_Cingm,-3,4,30
75,17networks_LH_ContB_FPole_1,-29,55,10
76,17networks_LH_ContB_FPole_2,-29,59,-4
77,17networks_LH_ContB_FrMed,-4,26,45
78,17networks_LH_ContB_IPL_1,-45,-63,47
79,17networks_LH_ContB_IPL_2,-51,-54,45
80,17networks_LH_ContB_IPS_1,-36,-63,49
81,17networks_LH_ContB_IPS_2,-40,-53,46
82,17networks_LH_ContB_OFC_1,-7,43,-23
83,17networks_LH_ContB_OFC_2,-17,21,-20
84,17networks_LH_ContB_PCC,-3,-31,38
85,17networks_LH_ContB_PFCd,-28,16,54
86,17networks_LH_ContB_PFCl_1,-43,10,38
87,17networks_LH_ContB_PFCl_2,-46,20,33
88,17networks_LH_ContB_PFCl_3,-44,18,25
89,17networks_LH_ContB_PFCv,-41,48,-11
90,17networks_LH_ContB_Temp_1,-62,-44,-10
91,17networks_LH_ContB_Temp_2,-61,-36,-14
92,17networks_LH_ContB_Temp_3,-59,-34,-22
93,17networks_LH_ContB_Temp_4,-58,-15,-26
94,17networks_LH_ContB_pCun,-2,-67,40
