ROI Label,ROI Name,R,A,S
1,17networks_LH_TempPar_IPL_1,-58,-45,23
2,17networks_LH_TempPar_ST_1,-58,-46,13
3,17networks_LH_TempPar_ST_2,-63,-37,8
4,17networks_LH_TempPar_ST_3,-61,-27,3
5,17networks_LH_TempPar_ST_4,-58,-10,-5
6,17networks_LH_TempPar_Temp_1,-48,-50,15
7,17networks_LH_TempPar_Temp_2,-55,-57,11
8,17networks_LH_TempPar_Temp_3,-56,-49,6
9,17networks_LH_TempPar_Temp_4,-50,-38,2
10,17networks_LH_TempPar_Temp_5,-58,-19,-3
11,17networks_LH_TempPar_Temp_6,-56,-1,-9
12,17networks_LH_DefaultC_ExStr,-34,-32,-25
13,17networks_LH_DefaultC_IPL_1,-35,-83,34
14,17networks_LH_DefaultC_IPL_2,-44,-75,24
15,17networks_LH_DefaultC_PHC_1,-17,-37,-12
16,17networks_LH_DefaultC_PHC_2,-27,-37,-13
17,17networks_LH_DefaultC_PHC_3,-19,-26,-21
18,17networks_LH_DefaultC_PHC_4,-31,-29,-20
19,17networks_LH_DefaultC_PHC_5,-17,-15,-25
20,17networks_LH_DefaultC_PHC_6,-23,-21,-28
21,17networks_LH_DefaultC_RSC_1,-10,-59,17
22,17networks_LH_DefaultC_RSC_2,-16,-58,10
23,17networks_LH_DefaultC_RSC_3,-10,-50,6
24,17networks_LH_DefaultC_pCun,-16,-64,22
25,17networks_LH_DefaultB_FrMed_1,-4,9,60
26,17networks_LH_DefaultB_FrMed_2,-3,34,49
27,17networks_LH_DefaultB_IPL_1,-49,-58,36
28,17networks_LH_DefaultB_IPL_2,-58,-55,29
29,17networks_LH_DefaultB_IPL_3,-47,-54,24
30,17networks_LH_DefaultB_IPL_4,-59,-53,20
31,17networks_LH_DefaultB_IPL_5,-47,-59,17
32,17networks_LH_DefaultB_PFCd_1,-11,22,62
33,17networks_LH_DefaultB_PFCd_2,-13,40,50
34,17networks_LH_DefaultB_PFCd_3,-4,47,37
35,17networks_LH_DefaultB_PFCd_4,-17,50,39
36,17networks_LH_DefaultB_PFCd_5,-8,60,28
37,17networks_LH_DefaultB_PFCd_6,-6,52,20
38,17networks_LH_DefaultB_PFCd_7,-22,54,26
39,17networks_LH_DefaultB_PFCl_1,-38,15,53
40,17networks_LH_DefaultB_PFCl_2,-43,5,48
41,17networks_LH_DefaultB_PFCl_3,-39,7,40
42,17networks_LH_DefaultB_PFCl_4,-49,40,-3
43,17networks_LH_DefaultB_PFCv_1,-54,26,14
44,17networks_LH_DefaultB_PFCv_10,-36,35,-12
45,17networks_LH_DefaultB_PFCv_11,-31,22,-12
46,17networks_LH_DefaultB_PFCv_2,-46,37,-14
47,17networks_LH_DefaultB_PFCv_3,-44,32,-5
48,17networks_LH_DefaultB_PFCv_4,-41,24,-9
49,17networks_LH_DefaultB_PFCv_5,-35,25,-19
50,17networks_LH_DefaultB_PFCv_6,-27,17,-16
51,17networks_LH_DefaultB_PFCv_7,-55,18,10
52,17networks_LH_DefaultB_PFCv_8,-50,26,0
53,17networks_LH_DefaultB_PFCv_9,-46,20,9
54,17networks_LH_DefaultB_TempPole_1,-41,18,-30
55,17networks_LH_DefaultB_TempPole_2,-52,10,-18
56,17networks_LH_DefaultB_Temp_1,-63,-39,-2
57,17networks_LH_DefaultB_Temp_10,-61,-12,-14
58,17networks_LH_DefaultB_Temp_11,-61,-15,-22
59,17networks_LH_DefaultB_Temp_2,-62,-27,-7
60,17networks_LH_DefaultB_Temp_3,-49,-9,-12
61,17networks_LH_DefaultB_Temp_4,-50,-1,-19
62,17networks_LH_DefaultB_Temp_5,-55,2,-29
63,17networks_LH_DefaultB_Temp_6,-49,-28,-5
64,17networks_LH_DefaultB_Temp_7,-50,-19,-9
65,17networks_LH_DefaultB_Temp_8,-62,-33,-14
66,17networks_LH_DefaultB_Temp_9,-59,-29,-24
67,17networks_LH_DefaultA_FPole_1,-18,65,14
68,17networks_LH_DefaultA_FPole_2,-7,67,1
69,17networks_LH_DefaultA_FPole_3,-19,64,0
70,17networks_LH_DefaultA_IPL_1,-42,-73,40
71,17networks_LH_DefaultA_IPL_2,-47,-64,27
72,17networks_LH_DefaultA_IPL_3,-40,-65,17
73,17networks_LH_DefaultA_IPL_4,-45,-63,46
74,17networks_LH_DefaultA_PCC_1,-2,-16,38
75,17networks_LH_DefaultA_PCC_2,-3,-29,37
76,17networks_LH_DefaultA_PCC_3,-7,-40,34
77,17networks_LH_DefaultA_PCC_4,-9,-53,34
78,17networks_LH_DefaultA_PCC_5,-5,-51,26
79,17networks_LH_DefaultA_PCC_6,-4,-53,17
80,17networks_LH_DefaultA_PFCd_1,-21,24,53
81,17networks_LH_DefaultA_PFCd_2,-26,26,45
82,17networks_LH_DefaultA_PFCd_3,-21,38,39
83,17networks_LH_DefaultA_PFCd_4,-6,56,8
84,17networks_LH_DefaultA_PFCm_1,-7,41,22
85,17networks_LH_DefaultA_PFCm_2,-3,31,16
86,17networks_LH_DefaultA_PFCm_3,-6,43,6
87,17networks_LH_DefaultA_PFCm_4,-6,39,-6
88,17networks_LH_DefaultA_PFCm_5,-6,54,-9
89,17networks_LH_DefaultA_RSC,-6,-46,15
90,17networks_LH_DefaultA_pCun_1,-3,-64,27
91,17networks_LH_DefaultA_pCun_2,-8,-49,42
92,17networks_LH_DefaultA_pCun_3,-3,-65,39
93,17networks_LH_ContC_PCC_1,-4,-20,29
94,17networks_LH_ContC_PCC_2,-6,-38,26
95,17networks_LH_ContC_SPL_1,-4,-46,50
96,17networks_LH_ContC_SPL_2,-5,-38,44
97,17networks_LH_ContC_SPL_3,-6,-71,53
98,17networks_LH_ContC_SPL_4,-4,-53,56
99,17networks_LH_ContC_pCun_1,-5,-59,48
