ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultC_ExStrSup,-16,-64,22
2,17networks_LH_DefaultC_IPL_1,-40,-82,28
3,17networks_LH_DefaultC_IPL_2,-44,-74,24
4,17networks_LH_DefaultC_PHC_1,-18,-36,-12
5,17networks_LH_DefaultC_PHC_2,-28,-36,-14
6,17networks_LH_DefaultC_PHC_3,-32,-26,-24
7,17networks_LH_DefaultC_RSC_1,-10,-58,16
8,17networks_LH_DefaultC_SPL,-4,-50,48
9,17networks_LH_DefaultC_pCun_1,-8,-50,42
10,17networks_LH_DefaultC_pCun_2,-4,-58,48
11,17networks_LH_DefaultC_pCun_3,-4,-64,50
12,17networks_LH_DefaultB_FPole_1,-8,64,-12
13,17networks_LH_DefaultB_FPole_2,-20,62,-10
14,17networks_LH_DefaultB_FrMed,-2,36,50
15,17networks_LH_DefaultB_IPL_1,-44,-56,24
16,17networks_LH_DefaultB_IPL_2,-48,-60,40
17,17networks_LH_DefaultB_IPL_3,-58,-56,28
18,17networks_LH_DefaultB_IPL_4,-50,-56,28
19,17networks_LH_DefaultB_IPL_5,-64,-50,26
20,17networks_LH_DefaultB_IPL_6,-46,-62,20
21,17networks_LH_DefaultB_IPL_7,-48,-50,20
22,17networks_LH_DefaultB_Ins_1,-26,20,-10
23,17networks_LH_DefaultB_OFC_1,-4,54,-20
24,17networks_LH_DefaultB_OFC_2,-26,12,-24
25,17networks_LH_DefaultB_PCC_1,-2,-12,38
26,17networks_LH_DefaultB_PCC_2,-12,-50,30
27,17networks_LH_DefaultB_PFCd_1,-10,24,60
28,17networks_LH_DefaultB_PFCd_10,-8,52,8
29,17networks_LH_DefaultB_PFCd_2,-12,42,50
30,17networks_LH_DefaultB_PFCd_3,-4,46,38
31,17networks_LH_DefaultB_PFCd_4,-10,54,40
32,17networks_LH_DefaultB_PFCd_5,-20,46,40
33,17networks_LH_DefaultB_PFCd_6,-6,60,32
34,17networks_LH_DefaultB_PFCd_7,-4,52,24
35,17networks_LH_DefaultB_PFCd_8,-16,60,26
36,17networks_LH_DefaultB_PFCd_9,-8,44,18
37,17networks_LH_DefaultB_PFCl_1,-38,10,56
38,17networks_LH_DefaultB_PFCl_2,-44,6,46
39,17networks_LH_DefaultB_PFCl_3,-42,18,44
40,17networks_LH_DefaultB_PFCl_4,-22,52,26
41,17networks_LH_DefaultB_PFCl_5,-52,30,14
42,17networks_LH_DefaultB_PFCm,-4,30,-26
43,17networks_LH_DefaultB_PFCv_1,-52,22,12
44,17networks_LH_DefaultB_PFCv_2,-46,30,-12
45,17networks_LH_DefaultB_PFCv_3,-40,24,-16
46,17networks_LH_DefaultB_PFCv_4,-30,18,-18
47,17networks_LH_DefaultB_PFCv_5,-48,40,-8
48,17networks_LH_DefaultB_TempPole_1,-30,14,-32
49,17networks_LH_DefaultB_TempPole_2,-32,12,-40
50,17networks_LH_DefaultB_TempPole_3,-40,4,-40
51,17networks_LH_DefaultB_TempPole_4,-50,6,-34
52,17networks_LH_DefaultB_TempPole_5,-42,18,-30
53,17networks_LH_DefaultB_Temp_1,-48,-56,16
54,17networks_LH_DefaultB_Temp_10,-50,-24,-6
55,17networks_LH_DefaultB_Temp_11,-62,-26,-6
56,17networks_LH_DefaultB_Temp_12,-48,-4,-18
57,17networks_LH_DefaultB_Temp_2,-60,-48,4
58,17networks_LH_DefaultB_Temp_3,-62,-38,-2
59,17networks_LH_DefaultB_Temp_4,-50,-14,-10
60,17networks_LH_DefaultB_Temp_5,-50,-16,-34
61,17networks_LH_DefaultB_Temp_6,-46,-6,-40
62,17networks_LH_DefaultB_Temp_7,-54,2,-22
63,17networks_LH_DefaultB_Temp_8,-54,-8,-28
64,17networks_LH_DefaultB_Temp_9,-48,-34,-2
65,17networks_LH_DefaultA_ExStrInf,-10,-44,2
66,17networks_LH_DefaultA_FPole_1,-18,66,10
67,17networks_LH_DefaultA_FPole_2,-6,66,0
68,17networks_LH_DefaultA_IPL_1,-46,-70,30
69,17networks_LH_DefaultA_IPL_2,-40,-66,22
70,17networks_LH_DefaultA_IPL_3,-34,-80,42
71,17networks_LH_DefaultA_IPL_4,-44,-68,44
72,17networks_LH_DefaultA_IPL_5,-48,-64,30
73,17networks_LH_DefaultA_OFC,-2,40,-22
74,17networks_LH_DefaultA_PCC_1,-8,-40,38
75,17networks_LH_DefaultA_PCC_2,-4,-42,32
76,17networks_LH_DefaultA_PCC_3,-4,-54,22
77,17networks_LH_DefaultA_PFCd_1,-22,18,46
78,17networks_LH_DefaultA_PFCd_2,-20,32,46
79,17networks_LH_DefaultA_PFCd_3,-6,62,14
80,17networks_LH_DefaultA_PFCd_4,-24,26,42
81,17networks_LH_DefaultA_PFCd_5,-30,24,52
82,17networks_LH_DefaultA_PFCm_1,-4,46,0
83,17networks_LH_DefaultA_PFCm_10,-4,18,-10
84,17networks_LH_DefaultA_PFCm_11,-4,18,-16
85,17networks_LH_DefaultA_PFCm_12,-8,46,-4
86,17networks_LH_DefaultA_PFCm_2,-4,38,2
87,17networks_LH_DefaultA_PFCm_3,-8,50,2
88,17networks_LH_DefaultA_PFCm_4,-10,54,2
89,17networks_LH_DefaultA_PFCm_5,-4,38,-8
90,17networks_LH_DefaultA_PFCm_6,-12,44,-6
91,17networks_LH_DefaultA_PFCm_7,-4,26,-6
92,17networks_LH_DefaultA_PFCm_8,-6,54,-10
93,17networks_LH_DefaultA_PFCm_9,-6,34,-14
94,17networks_LH_DefaultA_PFCv_1,-40,36,-14
95,17networks_LH_DefaultA_PFCv_2,-32,32,-16
96,17networks_LH_DefaultA_PHC_1,-20,-24,-22
97,17networks_LH_DefaultA_PHC_2,-16,-10,-28
98,17networks_LH_DefaultA_PHC_3,-24,-18,-30
99,17networks_LH_DefaultA_RSC_1,-4,-46,14
100,17networks_LH_DefaultA_RSC_2,-14,-52,6
101,17networks_LH_DefaultA_RSC_3,-8,-52,8
102,17networks_LH_DefaultA_TempPole_1,-30,4,-24
103,17networks_LH_DefaultA_TempPole_2,-22,8,-40
104,17networks_LH_DefaultA_TempPole_3,-32,-12,-38
105,17networks_LH_DefaultA_Temp_1,-32,-20,-30
106,17networks_LH_DefaultA_Temp_2,-60,-12,-14
107,17networks_LH_DefaultA_Temp_3,-62,-18,-22
108,17networks_LH_DefaultA_Temp_4,-60,-4,-24
109,17networks_LH_DefaultA_Temp_5,-40,-26,-24
110,17networks_LH_DefaultA_Temp_6,-38,-14,-30
111,17networks_LH_DefaultA_pCun_1,-8,-54,36
112,17networks_LH_DefaultA_pCun_2,-4,-64,28
113,17networks_LH_DefaultA_pCun_3,-4,-64,40
114,17networks_LH_ContC_FPole_1,-32,56,18
