region_index,EI_ratio,S_E,S_I,r_E
0,2.812020882999233,0.1405160682834605,0.04996976876079753,2.549742989297993
1,2.6197416436138807,0.14068476243286707,0.05370175788732249,2.5539666694205843
2,2.7244744129736698,0.13828650369019155,0.05075710064639085,2.5039490679945513
3,2.8265505283109,0.13629714463540504,0.048220302335943266,2.463276210951278
4,2.8837397484579284,0.13890602373445873,0.04816865107553808,2.515944913289968
5,2.6147150875557426,0.13883722985046662,0.0530983545535579,2.5148782254557815
6,2.6692053571898895,0.13945570959804643,0.052246118476473334,2.528706013793384
7,2.830924393453925,0.13683743801608875,0.04833663924704993,2.4731843374019116
8,3.099799108471339,0.1435436634234359,0.04630736625147103,2.6148495212398557
9,2.7972356783572994,0.13664819706653245,0.04885108706704617,2.4683114526904313
10,2.883641607766949,0.14186134253166607,0.04919520510196799,2.579570639213656
11,2.9774040507417108,0.14099110796068898,0.047353654422148374,2.56055918804938
12,2.2275762657513027,0.14700616473061456,0.06599371729022654,2.68851657038671
13,3.546060529680465,0.13289076979860584,0.037475586854909905,2.3911865787236395
14,2.649692895069542,0.13554209718020568,0.051153853094079105,2.445103980559679
15,3.189009457430149,0.13336662340736058,0.04182068143869317,2.400515937740353
16,2.840622332607738,0.13477786493968122,0.04744658784465897,2.43101326920021
17,2.2172852490666455,0.1476787564216059,0.06660334895624727,2.703334731652969
18,3.217110914837722,0.1345703670865085,0.04182955498022948,2.425673531517194
19,3.155514975679275,0.13960357335626847,0.04424110083802202,2.5316183687126426
20,2.869891210620666,0.1376478625153046,0.047962743561542474,2.4904183998794394
21,3.159993379846956,0.13367577390537302,0.04230250769968843,2.407331210055153
22,2.624639859943058,0.13933302154706037,0.05308650288310294,2.5270709363569783
23,3.090588270772365,0.13468601266911936,0.043579397009120724,2.4286942438706016
24,2.6750438175677242,0.1441303147659918,0.05387959231213677,2.626640922263655
25,3.38407081575085,0.1359704699227586,0.0401795569337458,2.4552053287752744
26,3.595031591759994,0.13907570634024058,0.03868549544183071,2.5205704444633654
27,2.963217617151684,0.1380802722727723,0.04659806084590312,2.499035929189153
28,3.535720189851927,0.1379405155899868,0.039013393829231545,2.4966279336614634
29,2.4631086131765514,0.1436201734708111,0.058308426267266705,2.6168141692325637
30,3.5056076138193446,0.13769238238337222,0.03927774965245302,2.4909893150976363
31,3.2731558575871857,0.1377871213098405,0.04209609471419563,2.493742942735196
32,2.7643493219258253,0.14025461659738273,0.05073690477817248,2.5454610363008645
33,3.076400817321024,0.1370758435214927,0.044557130924170664,2.479083237127576
34,3.5010275848559953,0.1388944186697176,0.039672457105698826,2.516901756058456
35,2.356723023086703,0.14543198472390467,0.061709383635265076,2.654593708795007
36,3.245565923007239,0.1360400642034927,0.04191565629944922,2.45638413158156
37,2.9653644626927584,0.13877067916090446,0.04679717340203754,2.5147073631835952
38,2.9579577934424592,0.13903030999188473,0.04700209973751144,2.518356993694588
39,2.7077700952432386,0.1344051748769726,0.04963684799525204,2.4217699357071076
40,2.761986250431454,0.13703442668079982,0.04961444581674629,2.4771485847776007
41,3.161198452685103,0.13630956992925544,0.043119583188804565,2.462531867966526
42,2.990713208775962,0.1353495567930408,0.045256599342487325,2.442505248765062
43,2.939181281460575,0.13842277748879975,0.04709568419468287,2.5059957696506
44,2.6554509471620165,0.138273589915357,0.05207156293580146,2.5030063192347587
45,3.3163212024439175,0.1374196002748139,0.041437352017458594,2.4850400979078775
46,2.3421134009728264,0.1445216183994331,0.06170562074617292,2.635143212878027
47,3.175633320876301,0.13650115443342714,0.04298390667938157,2.466716220310752
48,2.883660423550479,0.13800161462441077,0.04785640155155546,2.497509211521526
49,3.3271941220309937,0.13854849285277362,0.041641204475047905,2.5097083850514035
50,3.389456215818696,0.13959589106284984,0.04118533090184598,2.5313168934063355
51,3.1874944979353947,0.12563258373546074,0.03941418324146428,2.2419772261394892
52,3.2184472372815205,0.13745516443545966,0.04270847504695263,2.4865890573055043
53,2.9833899451109005,0.14081794070666218,0.04720064017826877,2.556456999197596
54,3.2558700289093303,0.14384680449007195,0.04418075517990217,2.6204338617741616
55,2.698812920919506,0.13633903265892042,0.05051813293740764,2.463226732713873
56,3.1997459765581286,0.13410978818627364,0.04191254539625621,2.4158977753237774
57,3.192489574008686,0.13783386876252454,0.04317437473422318,2.4939615859721966
58,3.0275638630383175,0.1322767387353239,0.04369078892551729,2.3782468639466994
59,2.6225037359864474,0.13747123954646398,0.05241979309286506,2.486261138844101
60,2.817561869118434,0.1373091901576909,0.04873320927094867,2.484091806601709
61,2.9065440799408795,0.13630740816031994,0.0468966645597626,2.463636081849732
62,3.4904121659638325,0.13947491844262502,0.039959363751419244,2.5289500556019697
63,3.318873148394456,0.13400340218992066,0.040376167652795364,2.4139398056135946
64,3.3890388172583563,0.1365370554699826,0.040287822645373735,2.4686052870628648
65,2.5287012727113165,0.14297742883261608,0.05654184226873365,2.602948689776979
66,2.749968725654515,0.14051399479245727,0.051096576061647116,2.5511838688884185
67,3.2172053787417045,0.13096155444960045,0.04070661916956931,2.3506170561300963
