region_index,wEE,wEI,sigma,G
0,3.9373714204668766,2.0216143043230628,0.005121282285193885,1.108741935958103
1,4.350428232230448,2.299703949566774,0.005365644024273662,1.108741935958103
2,4.122035820976411,2.1148074812309767,0.005096338598068598,1.108741935958103
3,3.93298752735968,1.9462082597794932,0.004806381295323467,1.108741935958103
4,3.830483985134151,1.9056435508484284,0.004868352419609585,1.108741935958103
5,4.362985015140644,2.2847464078235635,0.0052721604224011615,1.108741935958103
6,4.244816165532264,2.2100275434324654,0.00522310645703281,1.108741935958103
7,3.9279240733304865,1.947562814164552,0.004823918388957402,1.108741935958103
8,3.329813303208282,1.7029596215444998,0.005151438851996491,1.108741935958103
9,4.00668937946617,1.9910036149163586,0.004829188377217059,1.108741935958103
10,3.739413766470413,1.9438502786442955,0.005243443911906177,1.108741935958103
11,3.573557681220161,1.8146589094604144,0.005069767272448818,1.108741935958103
12,5.545408139592088,3.0505984051849264,0.005841449130077301,1.108741935958103
13,2.711923681748583,1.0866944901811875,0.003922648153930653,1.108741935958103
14,4.376134781694223,2.1889858557793507,0.004829014396426073,1.108741935958103
15,3.1791385942941655,1.4587348180083015,0.00444684880064477,1.108741935958103
16,3.8432963260754276,1.905879579259735,0.004839768583962505,1.108741935958103
17,5.488996868330051,3.077674960405238,0.006088490358942893,1.108741935958103
18,3.119777814962629,1.4462047929427815,0.004529984704014877,1.108741935958103
19,3.2868792634198476,1.5878843152847155,0.004754612896552349,1.108741935958103
20,3.7591408958097734,1.9067137392727873,0.005037794068672845,1.108741935958103
21,3.1962496567295227,1.495879235869237,0.004567422859946383,1.108741935958103
22,4.3533870633054805,2.2756887024424306,0.0052552929792846325,1.108741935958103
23,3.394964424284914,1.5909821911269786,0.004518249555973057,1.108741935958103
24,4.218854814537635,2.257630668373749,0.005488274696639361,1.108741935958103
25,2.8772671206086233,1.2928279014632262,0.004429159333722129,1.108741935958103
26,2.5720172776157515,1.1399649833508114,0.004475499848390476,1.108741935958103
27,3.6136936043582013,1.7931901399114083,0.004884499809289935,1.108741935958103
28,2.715535724681043,1.177123718205026,0.0043040881671972345,1.108741935958103
29,4.782455629971791,2.5843972629042544,0.0055946411261169025,1.108741935958103
30,2.742974477389379,1.201543513894641,0.004345953398903227,1.108741935958103
31,3.074359460632455,1.4341852783347822,0.004583108987215796,1.108741935958103
32,4.043425084691516,2.083665281402758,0.005143723251998926,1.108741935958103
33,3.3771923042610394,1.642726930308543,0.004782349635287376,1.108741935958103
34,2.7545120579064735,1.2240768691756605,0.004416424882229608,1.108741935958103
35,5.1244604954007364,2.7896415533284915,0.00568916711572711,1.108741935958103
36,3.09556923271668,1.4375756473087518,0.004548720438774045,1.108741935958103
37,3.6337880387645125,1.8000113920604863,0.004867476541649367,1.108741935958103
38,3.629337760663441,1.812854950904441,0.004933119053347054,1.108741935958103
39,4.2124440107711605,2.0869888244375527,0.004767553263378087,1.108741935958103
40,4.0624170754023865,2.0451794725332872,0.004933955972279675,1.108741935958103
41,3.216478895717648,1.5343763241854287,0.0046866233229597605,1.108741935958103
42,3.5425028709227253,1.7208020502918029,0.004736955699890659,1.108741935958103
43,3.622727752006708,1.8281905600842285,0.005014493041874531,1.108741935958103
44,4.263272012456664,2.2156392836676564,0.005204655460905904,1.108741935958103
45,2.988970883072984,1.383909158751779,0.004563678303071849,1.108741935958103
46,5.115900451345903,2.8067074472936175,0.0057825046023885045,1.108741935958103
47,3.2518056423628763,1.5209192599375039,0.004547000389697493,1.108741935958103
48,3.761096363422297,1.8932937668718093,0.004975430918135552,1.108741935958103
49,2.994942178883571,1.3894518239234288,0.0045737734616749315,1.108741935958103
50,2.905862058046705,1.3417644973312197,0.00457403030243587,1.108741935958103
51,3.143357764515119,1.329169492601868,0.003971038684239378,1.108741935958103
52,3.1245402167471887,1.4879827371489491,0.004699061003021854,1.108741935958103
53,3.511298265633784,1.8051385413298062,0.00517257288184459,1.108741935958103
54,3.1305764424758267,1.536155788317929,0.004892759700499942,1.108741935958103
55,4.21296179024484,2.126541942060417,0.004936846329539265,1.108741935958103
56,3.2242179470052488,1.4582165323554825,0.004340464938114302,1.108741935958103
57,3.1757034484026376,1.522061254167438,0.004727746828108769,1.108741935958103
58,3.4838567068234925,1.6292740255403253,0.004477928463613874,1.108741935958103
59,4.41054540064467,2.2554858045171136,0.005036153891024573,1.108741935958103
60,3.9056316628701158,1.9720787435498,0.004981095233458419,1.108741935958103
61,3.6976779507224933,1.84059854726012,0.004894813827337755,1.108741935958103
62,2.807004386040637,1.242273014086329,0.004373580803149946,1.108741935958103
63,2.991102984716911,1.3287450052759147,0.004320973400309452,1.108741935958103
64,2.906976140704918,1.2968724213984246,0.004377954048161946,1.108741935958103
65,4.63662827387666,2.4690470007133016,0.005434351328014808,1.108741935958103
66,4.1150214083079835,2.107119803585418,0.005079407583878979,1.108741935958103
67,3.164004427955274,1.3887283922657516,0.004180059345469657,1.108741935958103
