ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,17Networks_LH_VisCent_ExStr_1,-34,-52,-18
2,17Networks_LH_VisCent_ExStr_2,-28,-64,-12
3,17Networks_LH_VisCent_ExStr_3,-34,-68,-16
4,17Networks_LH_VisCent_ExStr_4,-36,-80,-14
5,17Networks_LH_VisCent_ExStr_5,-26,-80,-14
6,17Networks_LH_VisCent_ExStr_6,-22,-74,-8
7,17Networks_LH_VisCent_ExStr_7,-44,-72,-10
8,17Networks_LH_VisCent_ExStr_8,-20,-88,-16
9,17Networks_LH_VisCent_ExStr_9,-42,-84,-14
10,17Networks_LH_VisCent_ExStr_10,-12,-84,-14
11,17Networks_LH_VisCent_ExStr_11,-30,-92,-18
12,17Networks_LH_VisCent_ExStr_12,-34,-92,-10
13,17Networks_LH_VisCent_ExStr_13,-4,-90,-12
14,17Networks_LH_VisCent_ExStr_14,-20,-100,-12
15,17Networks_LH_VisCent_ExStr_15,-46,-82,-2
16,17Networks_LH_VisCent_ExStr_16,-10,-98,-12
17,17Networks_LH_VisCent_ExStr_17,-30,-96,-2
18,17Networks_LH_VisCent_ExStr_18,-36,-90,0
19,17Networks_LH_VisCent_ExStr_19,-44,-70,6
20,17Networks_LH_VisCent_ExStr_20,-8,-94,-2
21,17Networks_LH_VisCent_ExStr_21,-6,-104,-2
22,17Networks_LH_VisCent_ExStr_22,-48,-78,8
23,17Networks_LH_VisCent_ExStr_23,-18,-102,2
24,17Networks_LH_VisCent_ExStr_24,-44,-86,10
25,17Networks_LH_VisCent_ExStr_25,-24,-96,8
26,17Networks_LH_VisCent_ExStr_26,-32,-88,10
27,17Networks_LH_VisCent_ExStr_27,-8,-100,10
28,17Networks_LH_VisCent_ExStr_28,-18,-98,18
29,17Networks_LH_VisCent_ExStr_29,-26,-90,20
30,17Networks_LH_VisCent_ExStr_30,-34,-90,20
31,17Networks_LH_VisCent_ExStr_31,-10,-96,26
32,17Networks_LH_VisCent_ExStr_32,-18,-90,24
33,17Networks_LH_VisCent_ExStr_33,-28,-82,20
34,17Networks_LH_VisCent_ExStr_34,-24,-82,30
35,17Networks_LH_VisPeri_ExStrSup_1,-24,-58,-8
36,17Networks_LH_VisPeri_ExStrSup_2,-22,-50,-6
37,17Networks_LH_VisPeri_ExStrSup_3,-14,-70,-10
38,17Networks_LH_VisPeri_ExStrSup_4,-14,-64,-6
39,17Networks_LH_VisPeri_ExStrSup_5,-14,-50,-8
40,17Networks_LH_VisPeri_ExStrSup_6,-6,-78,-8
41,17Networks_LH_VisPeri_ExStrSup_7,-10,-62,-2
42,17Networks_LH_VisPeri_ExStrSup_8,-6,-70,-2
43,17Networks_LH_VisPeri_ExStrSup_9,-14,-42,-4
44,17Networks_LH_VisPeri_ExStrSup_10,-8,-62,2
45,17Networks_LH_VisPeri_ExStrSup_11,-4,-80,2
46,17Networks_LH_VisPeri_ExStrSup_12,-4,-68,6
47,17Networks_LH_VisPeri_ExStrSup_13,-16,-56,0
48,17Networks_LH_VisPeri_ExStrSup_14,-6,-88,2
49,17Networks_LH_VisPeri_ExStrSup_15,-16,-68,4
50,17Networks_LH_VisPeri_ExStrSup_16,-12,-76,8
51,17Networks_LH_VisPeri_ExStrSup_17,-24,-58,6
52,17Networks_LH_VisPeri_ExStrSup_18,-6,-82,10
53,17Networks_LH_VisPeri_ExStrSup_19,-2,-94,4
54,17Networks_LH_VisPeri_ExStrSup_20,-18,-64,10
55,17Networks_LH_VisPeri_ExStrSup_21,-8,-70,12
56,17Networks_LH_VisPeri_ExStrSup_22,0,-80,12
57,17Networks_LH_VisPeri_ExStrSup_23,-4,-92,16
58,17Networks_LH_VisPeri_ExStrSup_24,-8,-68,16
59,17Networks_LH_VisPeri_ExStrSup_25,-2,-82,22
60,17Networks_LH_VisPeri_ExStrSup_26,-16,-66,16
61,17Networks_LH_VisPeri_ExStrSup_27,-4,-76,26
62,17Networks_LH_VisPeri_ExStrSup_28,-6,-88,32
63,17Networks_LH_VisPeri_ExStrSup_29,-14,-74,24
64,17Networks_LH_VisPeri_ExStrSup_30,-18,-90,34
65,17Networks_LH_VisPeri_ExStrSup_31,-12,-80,34
66,17Networks_LH_VisPeri_ExStrSup_32,-14,-86,42
67,17Networks_LH_SomMotA_1,-8,-6,42
68,17Networks_LH_SomMotA_2,-56,-16,50
69,17Networks_LH_SomMotA_3,-8,-10,48
70,17Networks_LH_SomMotA_4,-50,-26,54
71,17Networks_LH_SomMotA_5,-44,-12,50
72,17Networks_LH_SomMotA_6,-48,-18,54
73,17Networks_LH_SomMotA_7,-8,-20,48
74,17Networks_LH_SomMotA_8,-36,-20,46
75,17Networks_LH_SomMotA_9,-6,-28,50
76,17Networks_LH_SomMotA_10,-4,-12,54
77,17Networks_LH_SomMotA_11,-40,-16,58
78,17Networks_LH_SomMotA_12,-44,-32,64
79,17Networks_LH_SomMotA_13,-40,-26,54
80,17Networks_LH_SomMotA_14,-4,-22,58
81,17Networks_LH_SomMotA_15,-34,-38,62
82,17Networks_LH_SomMotA_16,-8,-40,58
83,17Networks_LH_SomMotA_17,-36,-16,68
84,17Networks_LH_SomMotA_18,-4,-12,62
85,17Networks_LH_SomMotA_19,-32,-30,64
86,17Networks_LH_SomMotA_20,-30,-24,60
87,17Networks_LH_SomMotA_21,-2,-32,60
88,17Networks_LH_SomMotA_22,-26,-40,62
89,17Networks_LH_SomMotA_23,-24,-48,64
90,17Networks_LH_SomMotA_24,-24,-12,72
91,17Networks_LH_SomMotA_25,-28,-32,72
92,17Networks_LH_SomMotA_26,-4,-22,64
93,17Networks_LH_SomMotA_27,-22,-28,56
94,17Networks_LH_SomMotA_28,-16,-10,66
95,17Networks_LH_SomMotA_29,-12,-46,70
96,17Networks_LH_SomMotA_30,-24,-20,72
97,17Networks_LH_SomMotA_31,-4,-42,66
98,17Networks_LH_SomMotA_32,-18,-26,64
99,17Networks_LH_SomMotA_33,-22,-38,72
100,17Networks_LH_SomMotA_34,-12,-8,72
101,17Networks_LH_SomMotA_35,-20,-30,68
102,17Networks_LH_SomMotA_36,-16,-14,74
103,17Networks_LH_SomMotA_37,-8,-16,74
104,17Networks_LH_SomMotA_38,-2,-30,70
105,17Networks_LH_SomMotA_39,-8,-40,76
106,17Networks_LH_SomMotA_40,-18,-40,74
107,17Networks_LH_SomMotA_41,-12,-26,74
108,17Networks_LH_SomMotA_42,-10,-34,72
109,17Networks_LH_SomMotB_Aud_1,-50,6,-8
110,17Networks_LH_SomMotB_Aud_2,-56,-4,0
111,17Networks_LH_SomMotB_Aud_3,-46,-12,-4
112,17Networks_LH_SomMotB_Aud_4,-62,-12,4
113,17Networks_LH_SomMotB_Aud_5,-66,-18,6
114,17Networks_LH_SomMotB_Aud_6,-52,-14,6
115,17Networks_LH_SomMotB_Aud_7,-42,-20,2
116,17Networks_LH_SomMotB_Aud_8,-52,-20,6
117,17Networks_LH_SomMotB_Aud_9,-60,-26,10
118,17Networks_LH_SomMotB_Aud_10,-40,-24,12
119,17Networks_LH_SomMotB_Aud_11,-34,-24,10
120,17Networks_LH_SomMotB_Aud_12,-36,-14,14
121,17Networks_LH_SomMotB_Aud_13,-42,-30,8
122,17Networks_LH_SomMotB_Aud_14,-34,-30,16
123,17Networks_LH_SomMotB_Aud_15,-34,-22,18
124,17Networks_LH_SomMotB_Aud_16,-40,-14,18
125,17Networks_LH_SomMotB_Aud_17,-48,-34,12
