ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultA_FPole_1,-18,66,8
2,17networks_LH_DefaultA_IPL_1,-40,-72,44
3,17networks_LH_DefaultA_IPL_2,-48,-66,32
4,17networks_LH_DefaultA_PCC_1,-4,-54,20
5,17networks_LH_DefaultA_PFCd_1,-20,40,42
6,17networks_LH_DefaultA_PFCm_1,-6,60,6
7,17networks_LH_DefaultA_PFCm_2,-4,56,-10
8,17networks_LH_DefaultA_PFCm_3,-6,36,-8
9,17networks_LH_DefaultA_PFCm_4,-4,22,-20
10,17networks_LH_DefaultA_PHC_1,-20,-14,-30
11,17networks_LH_DefaultA_PHC_2,-20,-24,-22
12,17networks_LH_DefaultA_Temp_1,-58,-12,-12
13,17networks_LH_DefaultA_Temp_2,-54,-4,-10
14,17networks_LH_DefaultA_Temp_3,-40,-16,-30
15,17networks_LH_DefaultA_TempPole_1,-26,10,-34
16,17networks_LH_DefaultA_pCun_1,-6,-60,30
17,17networks_LH_DefaultB_FPole_1,-16,64,-8
18,17networks_LH_DefaultB_IPL_1,-58,-54,30
19,17networks_LH_DefaultB_IPL_2,-48,-56,24
20,17networks_LH_DefaultB_PCC_1,-2,-16,36
21,17networks_LH_DefaultB_PCC_2,-6,-44,32
22,17networks_LH_DefaultB_PFCd_1,-12,26,60
23,17networks_LH_DefaultB_PFCd_2,-14,40,50
24,17networks_LH_DefaultB_PFCd_3,-14,56,32
25,17networks_LH_DefaultB_PFCd_4,-6,46,18
26,17networks_LH_DefaultB_PFCd_5,-4,60,22
27,17networks_LH_DefaultB_PFCd_6,-4,46,40
28,17networks_LH_DefaultB_PFCl_1,-40,18,50
29,17networks_LH_DefaultB_PFCv_1,-46,36,-16
30,17networks_LH_DefaultB_PFCv_2,-42,28,-4
31,17networks_LH_DefaultB_PFCv_3,-30,18,-16
32,17networks_LH_DefaultB_PFCv_4,-38,24,-14
33,17networks_LH_DefaultB_Temp_1,-64,-34,-4
34,17networks_LH_DefaultB_Temp_2,-52,-24,-30
35,17networks_LH_DefaultB_TempPole_1,-54,0,-28
