ROI Index,Label Name,R,A,S
0,NONE,NA,NA,NA
1,17Networks_LH_VisCent_ExStr_1,-37,-60,-18
2,17Networks_LH_VisCent_ExStr_2,-29,-60,-14
3,17Networks_LH_VisCent_ExStr_3,-39,-72,-17
4,17Networks_LH_VisCent_ExStr_4,-29,-75,-14
5,17Networks_LH_VisCent_ExStr_5,-25,-58,-9
6,17Networks_LH_VisCent_ExStr_6,-24,-71,-8
7,17Networks_LH_VisCent_ExStr_7,-28,-85,-16
8,17Networks_LH_VisCent_ExStr_8,-46,-72,-10
9,17Networks_LH_VisCent_ExStr_9,-40,-82,-16
10,17Networks_LH_VisCent_ExStr_10,-17,-81,-13
11,17Networks_LH_VisCent_ExStr_11,-16,-72,-9
12,17Networks_LH_VisCent_ExStr_12,-15,-89,-15
13,17Networks_LH_VisCent_ExStr_13,-32,-92,-14
14,17Networks_LH_VisCent_ExStr_14,-17,-97,-16
15,17Networks_LH_VisCent_ExStr_15,-5,-87,-13
16,17Networks_LH_VisCent_ExStr_16,-44,-85,-4
17,17Networks_LH_VisCent_ExStr_17,-8,-96,-13
18,17Networks_LH_VisCent_ExStr_18,-24,-100,-8
19,17Networks_LH_VisCent_ExStr_19,-33,-92,-2
20,17Networks_LH_VisCent_ExStr_20,-45,-76,5
21,17Networks_LH_VisCent_ExStr_21,-41,-88,6
22,17Networks_LH_VisCent_ExStr_22,-7,-103,-1
23,17Networks_LH_VisCent_ExStr_23,-7,-95,0
24,17Networks_LH_VisCent_ExStr_24,-22,-99,4
25,17Networks_LH_VisCent_ExStr_25,-29,-90,7
26,17Networks_LH_VisCent_ExStr_26,-41,-80,14
27,17Networks_LH_VisCent_ExStr_27,-12,-100,12
28,17Networks_LH_VisCent_ExStr_28,-24,-95,14
29,17Networks_LH_VisCent_ExStr_29,-32,-90,16
30,17Networks_LH_VisCent_ExStr_30,-18,-91,22
31,17Networks_LH_VisCent_ExStr_31,-27,-84,19
32,17Networks_LH_VisCent_ExStr_32,-24,-82,28
33,17Networks_LH_VisPeri_ExStrSup_1,-28,-49,-5
34,17Networks_LH_VisPeri_ExStrSup_2,-19,-58,-5
35,17Networks_LH_VisPeri_ExStrSup_3,-21,-48,-7
36,17Networks_LH_VisPeri_ExStrSup_4,-11,-64,-4
37,17Networks_LH_VisPeri_ExStrSup_5,-13,-50,-7
38,17Networks_LH_VisPeri_ExStrSup_6,-7,-75,-5
39,17Networks_LH_VisPeri_ExStrSup_7,-13,-41,-5
40,17Networks_LH_VisPeri_ExStrSup_8,-8,-61,3
41,17Networks_LH_VisPeri_ExStrSup_9,-3,-68,5
42,17Networks_LH_VisPeri_ExStrSup_10,-17,-54,0
43,17Networks_LH_VisPeri_ExStrSup_11,-6,-86,1
44,17Networks_LH_VisPeri_ExStrSup_12,-11,-44,2
45,17Networks_LH_VisPeri_ExStrSup_13,-14,-68,4
46,17Networks_LH_VisPeri_ExStrSup_14,-9,-77,7
47,17Networks_LH_VisPeri_ExStrSup_15,-22,-59,6
48,17Networks_LH_VisPeri_ExStrSup_16,-17,-71,7
49,17Networks_LH_VisPeri_ExStrSup_17,-2,-85,9
50,17Networks_LH_VisPeri_ExStrSup_18,-19,-61,9
51,17Networks_LH_VisPeri_ExStrSup_19,-6,-74,13
52,17Networks_LH_VisPeri_ExStrSup_20,-3,-96,13
53,17Networks_LH_VisPeri_ExStrSup_21,-16,-64,13
