ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultA_FPole_1,-12,69,5
2,17networks_LH_DefaultA_FPole_2,-22,63,11
3,17networks_LH_DefaultA_IPL_1,-39,-74,44
4,17networks_LH_DefaultA_IPL_2,-48,-68,34
5,17networks_LH_DefaultA_IPL_3,-49,-59,38
6,17networks_LH_DefaultA_PCC_1,-4,-53,19
7,17networks_LH_DefaultA_PFCd_1,-20,40,42
8,17networks_LH_DefaultA_PFCm_1,-5,55,-10
9,17networks_LH_DefaultA_PFCm_2,-5,25,-11
10,17networks_LH_DefaultA_PFCm_3,-6,39,-7
11,17networks_LH_DefaultA_PFCm_4,-4,22,-20
12,17networks_LH_DefaultA_PHC_1,-21,-19,-27
13,17networks_LH_DefaultA_Temp_1,-61,-10,-15
14,17networks_LH_DefaultA_Temp_2,-53,-4,-11
15,17networks_LH_DefaultA_Temp_3,-39,-16,-31
16,17networks_LH_DefaultA_TempPole_1,-25,8,-32
17,17networks_LH_DefaultA_TempPole_2,-36,8,-25
18,17networks_LH_DefaultA_pCun_1,-4,-66,24
19,17networks_LH_DefaultA_pCun_2,-7,-56,27
20,17networks_LH_DefaultA_pCun_3,-5,-62,33
21,17networks_LH_DefaultB_FPole_1,-10,64,-15
22,17networks_LH_DefaultB_FPole_2,-20,63,-7
23,17networks_LH_DefaultB_IPL_1,-49,-54,26
24,17networks_LH_DefaultB_IPL_2,-61,-53,28
25,17networks_LH_DefaultB_IPL_3,-45,-63,24
26,17networks_LH_DefaultB_IPL_4,-45,-56,19
27,17networks_LH_DefaultB_PCC_1,-2,-15,37
28,17networks_LH_DefaultB_PCC_2,-4,-43,30
29,17networks_LH_DefaultB_PCC_3,-12,-49,35
30,17networks_LH_DefaultB_PFCd_1,-14,23,61
31,17networks_LH_DefaultB_PFCd_2,-6,37,54
32,17networks_LH_DefaultB_PFCd_3,-14,62,24
33,17networks_LH_DefaultB_PFCd_4,-13,47,44
34,17networks_LH_DefaultB_PFCd_5,-6,57,15
35,17networks_LH_DefaultB_PFCd_6,-4,47,35
36,17networks_LH_DefaultB_PFCl_1,-39,19,50
37,17networks_LH_DefaultB_PFCv_1,-47,32,-10
38,17networks_LH_DefaultB_PFCv_2,-28,17,-16
39,17networks_LH_DefaultB_PFCv_3,-37,24,-15
40,17networks_LH_DefaultB_Temp_1,-63,-33,-4
41,17networks_LH_DefaultB_Temp_2,-51,-34,0
42,17networks_LH_DefaultB_Temp_3,-49,-11,-38
43,17networks_LH_DefaultB_Temp_4,-54,-31,-27
44,17networks_LH_DefaultB_TempPole_1,-55,0,-29
45,17networks_LH_DefaultB_TempPole_2,-45,5,-39
46,17networks_LH_DefaultB_TempPole_3,-39,17,-32
47,17networks_LH_DefaultC_IPL_1,-43,-72,24
48,17networks_LH_DefaultC_IPL_2,-39,-81,33
49,17networks_LH_DefaultC_PFCd_1,-22,24,52
50,17networks_LH_DefaultC_PFCd_2,-25,27,44
51,17networks_LH_DefaultC_PHC_1,-21,-35,-15
52,17networks_LH_DefaultC_PHC_2,-15,-37,-11
53,17networks_LH_DefaultC_PHC_3,-31,-28,-22
54,17networks_LH_DefaultC_PHC_4,-31,-41,-10
55,17networks_LH_DefaultC_RSC_1,-12,-59,17
56,17networks_LH_DefaultC_RSC_2,-15,-65,24
57,17networks_LH_DefaultC_RSC_3,-6,-47,15
58,17networks_LH_DefaultC_RSC_4,-10,-53,8
59,17networks_LH_DefaultC_RSC_5,-12,-46,3
60,17networks_LH_DefaultC_pCun_1,-5,-71,54
61,17networks_LH_DefaultC_pCun_2,-6,-62,51
62,17networks_LH_DefaultC_pCun_3,-3,-68,42
63,17networks_LH_DefaultC_pCun_4,-5,-57,43
64,17networks_LH_DefaultC_pCun_5,-7,-48,43
65,17networks_LH_Language_IFG_1,-53,19,10
66,17networks_LH_Language_IFG_2,-48,27,1
67,17networks_LH_Language_IPL_1,-58,-44,27
68,17networks_LH_Language_PFCd_1,-14,9,67
69,17networks_LH_Language_PFCd_2,-5,13,64
70,17networks_LH_Language_PFCd_3,-22,54,27
71,17networks_LH_Language_PFCl_1,-42,7,49
72,17networks_LH_Language_Temp_1,-52,-44,6
73,17networks_LH_Language_Temp_2,-51,-22,-8
74,17networks_LH_Language_Temp_3,-52,8,-19
75,17networks_LH_ContA_Cingm_1,-4,15,25
76,17networks_LH_ContA_Cingm_2,-4,1,30
77,17networks_LH_ContA_IPS_1,-45,-42,47
78,17networks_LH_ContA_IPS_2,-43,-53,49
79,17networks_LH_ContA_IPS_3,-29,-75,44
80,17networks_LH_ContA_Ins_1,-32,22,-1
81,17networks_LH_ContA_Ins_2,-34,30,0
82,17networks_LH_ContA_OFC_1,-36,37,-13
83,17networks_LH_ContA_PFCd_1,-25,-6,53
84,17networks_LH_ContA_PFCd_2,-30,3,59
85,17networks_LH_ContA_PFCl_1,-37,9,32
86,17networks_LH_ContA_PFCl_2,-45,12,40
87,17networks_LH_ContA_PFCl_3,-48,18,24
88,17networks_LH_ContA_PFCl_4,-44,25,27
89,17networks_LH_ContA_PFCl_5,-45,20,36
90,17networks_LH_ContA_PFCl_6,-46,35,13
91,17networks_LH_ContA_PFCl_7,-39,49,7
92,17networks_LH_ContA_Temp_1,-61,-48,-11
93,17networks_LH_ContB_FPole_1,-29,58,-1
94,17networks_LH_ContB_IPL_1,-56,-51,38
95,17networks_LH_ContB_IPL_2,-51,-53,49
96,17networks_LH_ContB_IPL_3,-53,-46,53
97,17networks_LH_ContB_IPL_4,-45,-64,49
98,17networks_LH_ContB_IPS_1,-31,-60,46
