ROI Index,Label Name,R,A,S
106,17Networks_LH_DorsAttnA_SPL_7,-16,-76,50
107,17Networks_LH_DorsAttnA_SPL_8,-28,-58,54
108,17Networks_LH_DorsAttnA_SPL_9,-26,-64,56
109,17Networks_LH_DorsAttnA_SPL_10,-36,-52,54
110,17Networks_LH_DorsAttnA_SPL_11,-18,-70,60
111,17Networks_LH_DorsAttnA_SPL_12,-30,-60,64
112,17Networks_LH_DorsAttnB_PostC_1,-64,-26,36
113,17Networks_LH_DorsAttnB_PostC_2,-54,-24,40
114,17Networks_LH_DorsAttnB_PostC_3,-54,-32,46
115,17Networks_LH_DorsAttnB_PostC_4,-48,-28,44
116,17Networks_LH_DorsAttnB_PostC_5,-42,-34,46
117,17Networks_LH_DorsAttnB_PostC_6,-38,-40,54
118,17Networks_LH_DorsAttnB_PostC_7,-36,-46,62
119,17Networks_LH_DorsAttnB_PostC_8,-6,-58,62
120,17Networks_LH_DorsAttnB_PostC_9,-20,-58,66
121,17Networks_LH_DorsAttnB_PostC_10,-8,-54,70
122,17Networks_LH_DorsAttnB_FEF_1,-38,-2,52
123,17Networks_LH_DorsAttnB_FEF_2,-24,-6,52
124,17Networks_LH_DorsAttnB_FEF_3,-20,-10,62
125,17Networks_LH_DorsAttnB_FEF_4,-18,-2,68
126,17Networks_LH_DorsAttnB_PrCv_1,-56,6,26
127,17Networks_LH_SalVentAttnA_ParOper_1,-46,-38,24
128,17Networks_LH_SalVentAttnA_ParOper_2,-58,-44,26
129,17Networks_LH_SalVentAttnA_ParOper_3,-58,-30,22
130,17Networks_LH_SalVentAttnA_ParOper_4,-58,-18,30
131,17Networks_LH_SalVentAttnA_ParOper_5,-62,-36,34
132,17Networks_LH_SalVentAttnA_Ins_1,-38,2,-10
133,17Networks_LH_SalVentAttnA_Ins_2,-40,-8,-8
134,17Networks_LH_SalVentAttnA_Ins_3,-38,2,0
135,17Networks_LH_SalVentAttnA_Ins_4,-40,-14,0
136,17Networks_LH_SalVentAttnA_Ins_5,-32,18,8
137,17Networks_LH_SalVentAttnA_Ins_6,-36,-4,8
138,17Networks_LH_SalVentAttnA_Ins_7,-38,4,12
139,17Networks_LH_SalVentAttnA_Ins_8,-44,-4,14
140,17Networks_LH_SalVentAttnA_Ins_9,-52,2,4
141,17Networks_LH_SalVentAttnA_Ins_10,-56,8,12
142,17Networks_LH_SalVentAttnA_ParMed_1,-8,-22,38
143,17Networks_LH_SalVentAttnA_ParMed_2,-12,-36,42
144,17Networks_LH_SalVentAttnA_ParMed_3,-12,-24,42
145,17Networks_LH_SalVentAttnA_ParMed_4,-12,-44,52
146,17Networks_LH_SalVentAttnA_ParMed_5,-12,-34,48
147,17Networks_LH_SalVentAttnA_ParMed_6,-8,-48,62
148,17Networks_LH_SalVentAttnA_FrMed_1,-6,16,36
149,17Networks_LH_SalVentAttnA_FrMed_2,-4,4,38
150,17Networks_LH_SalVentAttnA_FrMed_3,-6,4,48
151,17Networks_LH_SalVentAttnA_FrMed_4,-4,4,60
152,17Networks_LH_SalVentAttnA_FrMed_5,-8,-2,72
153,17Networks_LH_SalVentAttnB_PFCd_1,-14,8,66
154,17Networks_LH_SalVentAttnB_PFCl_1,-40,42,22
155,17Networks_LH_SalVentAttnB_PFCl_2,-30,46,28
156,17Networks_LH_SalVentAttnB_PFCl_3,-26,38,36
157,17Networks_LH_SalVentAttnB_PFCl_4,-36,32,38
158,17Networks_LH_SalVentAttnB_PFCv_1,-36,14,-8
159,17Networks_LH_SalVentAttnB_PFCv_2,-32,22,-2
160,17Networks_LH_SalVentAttnB_PFCv_3,-34,30,0
161,17Networks_LH_SalVentAttnB_PFCv_4,-44,12,2
162,17Networks_LH_SalVentAttnB_PFCmp_1,-4,16,24
163,17Networks_LH_SalVentAttnB_PFCmp_2,-6,26,28
164,17Networks_LH_SalVentAttnB_PFCmp_3,-4,14,52
165,17Networks_LH_Limbic_OFC_1,-24,14,-22
166,17Networks_LH_Limbic_OFC_2,-12,24,-20
167,17Networks_LH_Limbic_OFC_3,-22,30,-18
168,17Networks_LH_Limbic_OFC_4,-4,22,-20
169,17Networks_LH_Limbic_OFC_5,-10,50,-22
170,17Networks_LH_Limbic_OFC_6,-2,42,-22
171,17Networks_LH_Limbic_OFC_7,-24,48,-14
172,17Networks_LH_Limbic_OFC_8,-4,24,-10
173,17Networks_LH_Limbic_OFC_9,-10,64,-14
174,17Networks_LH_Limbic_OFC_10,-20,64,-8
175,17Networks_LH_Limbic_TempPole_1,-30,0,-44
176,17Networks_LH_Limbic_TempPole_2,-50,-10,-38
177,17Networks_LH_Limbic_TempPole_3,-26,-6,-34
178,17Networks_LH_Limbic_TempPole_4,-44,6,-38
179,17Networks_LH_Limbic_TempPole_5,-38,-16,-32
180,17Networks_LH_Limbic_TempPole_6,-24,8,-32
181,17Networks_LH_Limbic_TempPole_7,-30,-16,-30
182,17Networks_LH_Limbic_TempPole_8,-54,-32,-26
183,17Networks_LH_Limbic_TempPole_9,-40,18,-32
184,17Networks_LH_Limbic_TempPole_10,-38,-36,-22
185,17Networks_LH_Limbic_TempPole_11,-36,8,-24
186,17Networks_LH_Limbic_TempPole_12,-44,6,-16
187,17Networks_LH_ContA_Temp_1,-54,-56,-18
188,17Networks_LH_ContA_Temp_2,-58,-58,-2
189,17Networks_LH_ContA_IPS_1,-30,-74,44
190,17Networks_LH_ContA_IPS_2,-58,-42,46
191,17Networks_LH_ContA_IPS_3,-44,-42,46
192,17Networks_LH_ContA_IPS_4,-30,-60,46
193,17Networks_LH_ContA_IPS_5,-34,-50,40
194,17Networks_LH_ContA_IPS_6,-34,-42,42
195,17Networks_LH_ContA_PFCd_1,-30,2,60
196,17Networks_LH_ContA_PFCd_2,-22,8,60
197,17Networks_LH_ContA_PFCl_1,-38,48,6
198,17Networks_LH_ContA_PFCl_2,-46,34,12
199,17Networks_LH_ContA_PFCl_3,-50,10,14
200,17Networks_LH_ContA_PFCl_4,-48,18,24
201,17Networks_LH_ContA_PFCl_5,-44,6,26
202,17Networks_LH_ContA_PFCl_6,-44,24,28
203,17Networks_LH_ContA_PFCl_7,-38,10,32
204,17Networks_LH_ContA_PFCl_8,-46,2,36
205,17Networks_LH_ContA_Cinga_1,-4,2,30
206,17Networks_LH_ContB_Temp_1,-62,-36,-16
207,17Networks_LH_ContB_Temp_2,-60,-48,-10
208,17Networks_LH_ContB_IPL_1,-56,-50,38
209,17Networks_LH_ContB_IPL_2,-50,-54,48
210,17Networks_LH_ContB_IPL_3,-52,-46,52
211,17Networks_LH_ContB_IPL_4,-38,-62,50
