ROI Label,ROI Name,R,A,S
111,17networks_RH_DefaultB_PFCd_2,8,58,18
112,17networks_RH_DefaultB_Temp_1,63,-27,-6
113,17networks_RH_DefaultB_TempPole_1,47,13,-30
114,17networks_RH_DefaultC_IPL_1,47,-69,27
115,17networks_RH_DefaultC_PHC_1,28,-36,-14
116,17networks_RH_DefaultC_RSC_1,12,-55,15
117,17networks_RH_DefaultC_pCun_1,6,-58,44
118,17networks_RH_Language_IFG_1,51,28,0
119,17networks_RH_Language_PFCmp_1,7,25,55
120,17networks_RH_Language_Temp_1,52,-31,2
121,17networks_RH_Language_Temp_2,47,-12,-35
122,17networks_RH_ContA_Cingm_1,5,3,30
123,17networks_RH_ContA_IPS_1,53,-42,48
124,17networks_RH_ContA_IPS_2,46,-38,49
125,17networks_RH_ContA_IPS_3,37,-63,47
126,17networks_RH_ContA_PFCd_1,26,7,58
127,17networks_RH_ContA_PFCl_1,46,24,26
128,17networks_RH_ContA_Temp_1,63,-41,-12
129,17networks_RH_ContB_FPole_1,29,58,5
130,17networks_RH_ContB_IPL_1,51,-59,44
131,17networks_RH_ContB_OFC_1,36,46,-13
132,17networks_RH_ContB_PFCl_1,42,14,49
133,17networks_RH_ContB_Temp_1,61,-13,-21
134,17networks_RH_ContC_Cingp_1,5,-24,31
135,17networks_RH_ContC_Ins_1,34,21,-8
136,17networks_RH_ContC_OFC_1,12,39,-22
137,17networks_RH_ContC_PFCl_1,41,33,37
138,17networks_RH_ContC_PFCl_2,43,45,10
139,17networks_RH_ContC_PFCm_1,7,31,28
140,17networks_RH_ContC_PFCm_2,8,42,4
141,17networks_RH_ContC_PFCm_3,6,29,15
142,17networks_RH_ContC_pCun_1,14,-70,37
143,17networks_RH_SalVenAttnA_FrMed_1,8,3,66
144,17networks_RH_SalVenAttnA_FrMed_2,7,9,41
145,17networks_RH_SalVenAttnA_FrOper_1,59,0,10
146,17networks_RH_SalVenAttnA_IPL_1,60,-26,27
147,17networks_RH_SalVenAttnA_Ins_1,43,7,4
148,17networks_RH_SalVenAttnA_Ins_2,41,6,-15
149,17networks_RH_SalVenAttnA_SPL_1,10,-15,41
150,17networks_RH_SalVenAttnB_IPL_1,62,-37,37
151,17networks_RH_SalVenAttnB_Ins_1,36,24,5
152,17networks_RH_SalVenAttnB_PFCl_1,51,4,40
153,17networks_RH_SalVenAttnB_PFCl_2,52,11,21
154,17networks_RH_SalVenAttnB_PFCl_3,30,48,27
155,17networks_RH_SalVenAttnB_SPL_1,11,-36,47
156,17networks_RH_SalVenAttnB_Temp_1,57,-45,9
157,17networks_RH_SalVenAttnB_Temp_2,39,-35,-23
158,17networks_RH_DorsAttnA_ParOcc_1,52,-60,9
159,17networks_RH_DorsAttnA_SPL_1,8,-56,61
160,17networks_RH_DorsAttnA_SPL_2,15,-73,53
161,17networks_RH_DorsAttnA_TempOcc_1,50,-53,-15
162,17networks_RH_DorsAttnA_TempPole_1,25,-11,-32
163,17networks_RH_DorsAttnB_IPL_1,59,-16,34
164,17networks_RH_DorsAttnB_PostC_1,41,-31,46
165,17networks_RH_DorsAttnB_PrCd_1,22,-9,67
166,17networks_RH_DorsAttnB_SPL_1,32,-40,64
167,17networks_RH_DorsAttnB_SPL_2,21,-48,70
168,17networks_RH_Aud_Ins_1,46,-4,-4
169,17networks_RH_Aud_ParOper_1,44,-27,18
170,17networks_RH_Aud_ST_1,51,-15,5
171,17networks_RH_Aud_ST_2,60,-39,17
172,17networks_RH_Aud_ST_3,64,-23,8
173,17networks_RH_SomMotA_1,33,-21,65
174,17networks_RH_SomMotA_2,40,-24,57
175,17networks_RH_SomMotA_3,29,-34,65
176,17networks_RH_SomMotA_4,51,-22,52
177,17networks_RH_SomMotA_5,10,-39,69
178,17networks_RH_SomMotA_6,6,-23,69
179,17networks_RH_SomMotA_7,7,-11,51
180,17networks_RH_SomMotB_Ins_1,38,-13,15
181,17networks_RH_SomMotB_1,20,-29,70
182,17networks_RH_SomMotB_2,47,-11,48
183,17networks_RH_SomMotB_3,58,-5,31
184,17networks_RH_SomMotB_4,56,-11,14
185,17networks_RH_VisualA_ExStr_1,33,-75,32
186,17networks_RH_VisualA_ExStr_2,42,-80,10
187,17networks_RH_VisualA_ExStr_3,48,-71,-6
188,17networks_RH_VisualA_ExStr_4,29,-69,-12
189,17networks_RH_VisualA_PrC_1,34,-4,52
190,17networks_RH_VisualA_SPL_1,34,-48,51
