ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultA_PFCm_1,-6,47,0
2,17networks_LH_DefaultA_TempPole_1,-32,2,-37
3,17networks_LH_DefaultA_pCunPCC_1,-6,-53,33
4,17networks_LH_DefaultB_FPole_1,-24,61,-1
5,17networks_LH_DefaultB_IPL_1,-48,-63,35
6,17networks_LH_DefaultB_Ins_1,-35,21,-11
7,17networks_LH_DefaultB_PFCd_1,-9,48,41
8,17networks_LH_DefaultB_PFCl_1,-41,14,48
9,17networks_LH_DefaultB_Temp_1,-55,-4,-20
10,17networks_LH_DefaultC_PFCd_1,-25,20,51
11,17networks_LH_DefaultC_PHC_1,-26,-34,-17
12,17networks_LH_DefaultC_RSC_1,-11,-56,13
13,17networks_LH_Language_IFG_1,-47,33,-3
14,17networks_LH_Language_Temp_1,-58,-32,-1
15,17networks_LH_ContA_IPS_1,-37,-53,46
16,17networks_LH_ContA_PFCl_1,-43,33,21
17,17networks_LH_ContB_OFC_1,-14,32,-20
18,17networks_LH_ContB_Temp_1,-57,-33,-21
19,17networks_LH_ContC_Cingp_1,-4,-26,33
20,17networks_LH_ContC_pCun_1,-9,-73,38
21,17networks_LH_SalVenAttnA_FrMed_1,-6,4,62
22,17networks_LH_SalVenAttnA_Ins_1,-41,-1,-7
23,17networks_LH_SalVenAttnA_PFCmp_1,-5,20,34
24,17networks_LH_SalVenAttnA_SPL_1,-11,-34,45
25,17networks_LH_SalVenAttnB_IPL_1,-59,-38,29
26,17networks_LH_SalVenAttnB_Ins_1,-38,12,6
27,17networks_LH_SalVenAttnB_PFCl_1,-30,44,30
28,17networks_LH_DorsAttnA_IPL_1,-57,-25,39
29,17networks_LH_DorsAttnA_PrCv_1,-48,6,28
30,17networks_LH_DorsAttnA_SPL_1,-24,-68,49
31,17networks_LH_DorsAttnA_SPL_2,-6,-60,56
32,17networks_LH_DorsAttnA_TempOcc_1,-47,-58,-13
33,17networks_LH_DorsAttnB_PostC_1,-42,-34,48
34,17networks_LH_DorsAttnB_PrCd_1,-26,-3,59
35,17networks_LH_DorsAttnB_SPL_1,-22,-51,66
36,17networks_LH_Aud_ST_1,-53,-23,8
37,17networks_LH_Aud_Temp_1,-57,-50,12
38,17networks_LH_SomMotA_1,-39,-23,59
39,17networks_LH_SomMotA_2,-6,-29,70
40,17networks_LH_SomMotB_Ins_1,-37,-21,16
41,17networks_LH_SomMotB_1,-55,-8,34
42,17networks_LH_SomMotB_2,-54,-12,13
43,17networks_LH_VisualA_ExStr_1,-25,-88,20
44,17networks_LH_VisualA_ExStr_2,-47,-71,11
45,17networks_LH_VisualA_ExStr_3,-26,-77,-14
46,17networks_LH_VisualB_ExStrInf_1,-17,-60,-7
47,17networks_LH_VisualB_ExStrSup_1,-6,-82,26
48,17networks_LH_VisualB_Striate_1,-12,-67,7
49,17networks_LH_VisualC_ExStr_1,-27,-95,-4
50,17networks_LH_VisualC_Striate_1,-5,-92,-2
51,17networks_RH_DefaultA_IPL_1,55,-51,31
52,17networks_RH_DefaultA_PFCd_1,26,24,50
53,17networks_RH_DefaultA_PFCm_1,7,48,1
54,17networks_RH_DefaultA_TempPole_1,51,7,-18
55,17networks_RH_DefaultA_pCunPCC_1,7,-52,31
56,17networks_RH_DefaultB_PFCd_1,11,50,39
57,17networks_RH_DefaultB_TempPole_1,38,1,-38
58,17networks_RH_DefaultC_PHC_1,32,-31,-22
