ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultA_FPole_1,-9,68,2
2,17networks_LH_DefaultA_FPole_2,-20,65,9
3,17networks_LH_DefaultA_FPole_3,-9,67,15
4,17networks_LH_DefaultA_IPL_1,-38,-77,40
5,17networks_LH_DefaultA_IPL_2,-47,-69,39
6,17networks_LH_DefaultA_IPL_3,-37,-72,49
7,17networks_LH_DefaultA_IPL_4,-46,-71,30
8,17networks_LH_DefaultA_IPL_5,-48,-64,31
9,17networks_LH_DefaultA_IPL_6,-46,-57,34
10,17networks_LH_DefaultA_PCC_1,-5,-53,17
11,17networks_LH_DefaultA_PCC_2,-3,-48,24
12,17networks_LH_DefaultA_PFCd_1,-19,34,50
13,17networks_LH_DefaultA_PFCm_1,-6,59,8
14,17networks_LH_DefaultA_PFCm_2,-5,55,-10
15,17networks_LH_DefaultA_PFCm_3,-6,32,-11
16,17networks_LH_DefaultA_PFCm_4,-4,24,-5
17,17networks_LH_DefaultA_PFCm_5,-8,46,-4
18,17networks_LH_DefaultA_PFCm_6,-4,35,-3
19,17networks_LH_DefaultA_PFCm_7,-7,19,-22
20,17networks_LH_DefaultA_PFCm_8,-3,20,-17
21,17networks_LH_DefaultA_PFCm_9,-4,17,-10
22,17networks_LH_DefaultA_PHC_1,-20,-15,-29
23,17networks_LH_DefaultA_PHC_2,-20,-25,-22
24,17networks_LH_DefaultA_Temp_1,-59,-10,-14
25,17networks_LH_DefaultA_Temp_2,-53,-4,-11
26,17networks_LH_DefaultA_Temp_3,-39,-18,-29
27,17networks_LH_DefaultA_Temp_4,-44,-30,-22
28,17networks_LH_DefaultA_TempPole_1,-27,7,-29
29,17networks_LH_DefaultA_TempPole_2,-38,9,-25
30,17networks_LH_DefaultA_pCun_1,-3,-61,22
31,17networks_LH_DefaultA_pCun_2,-8,-53,26
32,17networks_LH_DefaultA_pCun_3,-6,-67,26
33,17networks_LH_DefaultA_pCun_4,-6,-57,30
34,17networks_LH_DefaultA_pCun_5,-3,-64,33
35,17networks_LH_DefaultA_pCun_6,-8,-55,35
36,17networks_LH_DefaultB_FPole_1,-10,63,-15
37,17networks_LH_DefaultB_FPole_2,-22,62,-11
38,17networks_LH_DefaultB_FPole_3,-17,65,-3
39,17networks_LH_DefaultB_IPL_1,-52,-55,25
