ROI Label,ROI Name,R,A,S
1,17networks_LH_DefaultA_IPL_1,-46,-66,41
2,17networks_LH_DefaultA_PCC_1,-5,-52,16
3,17networks_LH_DefaultA_PFCd_1,-18,63,19
4,17networks_LH_DefaultA_PFCm_1,-6,60,-1
5,17networks_LH_DefaultA_PFCm_2,-6,36,-10
6,17networks_LH_DefaultA_PHC_1,-21,-18,-27
7,17networks_LH_DefaultA_Temp_1,-57,-9,-6
8,17networks_LH_DefaultA_Temp_2,-39,-20,-28
9,17networks_LH_DefaultA_TempPole_1,-42,7,-19
10,17networks_LH_DefaultA_TempPole_2,-27,10,-34
11,17networks_LH_DefaultA_pCunPCC_1,-5,-56,28
12,17networks_LH_DefaultB_FPole_1,-19,63,-8
13,17networks_LH_DefaultB_IPL_1,-57,-54,28
14,17networks_LH_DefaultB_IPL_2,-45,-61,24
15,17networks_LH_DefaultB_PCC_1,-3,-17,37
16,17networks_LH_DefaultB_PFCd_1,-12,24,61
17,17networks_LH_DefaultB_PFCd_2,-14,46,45
18,17networks_LH_DefaultB_PFCd_3,-4,50,31
19,17networks_LH_DefaultB_PFCl_1,-39,19,50
20,17networks_LH_DefaultB_PFCv_1,-46,31,-10
21,17networks_LH_DefaultB_PFCv_2,-35,20,-13
22,17networks_LH_DefaultB_Temp_1,-61,-35,-3
23,17networks_LH_DefaultB_Temp_2,-58,-8,-21
24,17networks_LH_DefaultB_Temp_3,-52,-17,-34
25,17networks_LH_DefaultB_TempPole_1,-43,12,-35
26,17networks_LH_DefaultC_IPL_1,-38,-81,33
27,17networks_LH_DefaultC_PFCd_1,-25,19,53
28,17networks_LH_DefaultC_PFCd_2,-23,31,43
29,17networks_LH_DefaultC_PHC_1,-16,-38,-11
30,17networks_LH_DefaultC_PHC_2,-29,-34,-17
31,17networks_LH_DefaultC_RSC_1,-13,-61,19
32,17networks_LH_DefaultC_RSC_2,-11,-51,6
33,17networks_LH_DefaultC_pCun_1,-5,-65,52
34,17networks_LH_DefaultC_pCun_2,-6,-55,41
35,17networks_LH_Language_IFG_1,-54,19,12
36,17networks_LH_Language_IFG_2,-48,28,1
37,17networks_LH_Language_IPL_1,-58,-44,27
38,17networks_LH_Language_PFCd_1,-6,10,64
39,17networks_LH_Language_PFCl_1,-42,7,49
40,17networks_LH_Language_Temp_1,-52,-21,-8
41,17networks_LH_Language_Temp_2,-52,8,-12
42,17networks_LH_ContA_Cingm_1,-3,6,29
43,17networks_LH_ContA_IPS_1,-45,-41,46
44,17networks_LH_ContA_IPS_2,-42,-52,48
45,17networks_LH_ContA_IPS_3,-26,-68,39
46,17networks_LH_ContA_Ins_1,-33,24,-1
47,17networks_LH_ContA_PFCd_1,-27,5,56
48,17networks_LH_ContA_PFCl_1,-42,12,34
49,17networks_LH_ContA_PFCl_2,-45,21,25
50,17networks_LH_ContA_PFCl_3,-41,41,14
51,17networks_LH_ContA_Temp_1,-60,-52,-9
52,17networks_LH_ContB_IPL_1,-54,-50,45
53,17networks_LH_ContB_IPS_1,-33,-66,48
54,17networks_LH_ContB_OFC_1,-42,49,-6
55,17networks_LH_ContB_OFC_2,-11,48,-21
56,17networks_LH_ContB_OFC_3,-8,23,-20
57,17networks_LH_ContB_PCC_1,-5,-38,35
58,17networks_LH_ContB_PFCmp_1,-4,27,47
59,17networks_LH_ContB_Temp_1,-61,-35,-17
60,17networks_LH_ContC_Cingp_1,-5,-28,28
61,17networks_LH_ContC_FPole_1,-29,57,7
62,17networks_LH_ContC_PFCm_1,-6,30,25
63,17networks_LH_ContC_PFCm_2,-6,44,7
64,17networks_LH_ContC_pCun_1,-9,-76,44
