0,0,5.058,2.0245,0,3.7637,8.0588,6.0524,3.0766,4.4608,2.6918,1.9964,0.95964,8.7557,1.2182,0,6.127,0,3.4253,1.9004,4.0213,1.3512,6.0528,4.1196,0,3.9692,3.3264,5.2726,8.4288,7.8666,0,2.2572,3.6349,4.4984,0,0,0,0,0,0,0,0,2.4261,0,0,0,0,0,0,0,0,0,0,0,0,1.6827,0,3.4071,0,0,0,2.8368,0,0,0,0,0,0
0,0,4.3787,0,0,0,2.0524,1.2069,6.7028,0,4.8942,1.3052,6.5708,1.3811,3.2389,4.9676,5.5242,3.1366,4.5404,0,2.4366,7.4197,4.0117,7.1393,7.6136,6.1642,9.2496,3.4409,2.0449,1.9089,4.1567,1.9472,0,4.8592,0,5.5163,4.5025,0,0,0,0,0,1.7498,0,3.0924,0,5.2784,0,0,2.639,4.1864,1.6201,3.3151,0,1.008,3.5186,3.1547,2.2853,4.0794,5.63,7.2406,0.80994,0,0.8399,3.3479,0,0,2.3449
5.058,4.3787,0,0,0,5.0009,8.154,7.1065,2.7367,4.9016,3.0339,0,0,6.8642,0,3.5912,8.8797,3.8284,6.1629,0,7.2944,3.7837,9.6981,4.8928,1.1905,9.6197,9.8895,7.1827,4.658,6.9652,1.3061,0,2.423,5.7937,0,4.9945,7.2974,0,0,0,0,0,1.4999,0,0,0,0,0,0,3.5939,5.9924,0,3.6656,0,1.3548,4.0268,6.2125,1.4685,0.90786,6.1378,8.0835,0,0,0,0,0,0,2.6914
2.0245,0,0,0,4.067,5.608,4.8806,4.6448,7.1908,8.8338,0,8.5084,2.088,3.9066,5.9786,0,0,0,0,9.8971,0,0,0,8.1363,0,0,0,9.4142,4.7089,1.9197,0,1.0437,2.0307,4.0844,0,0,0,4.2095,0,2.5632,3.6611,0,5.4888,4.7146,0,5.2262,0,0,2.0594,0,0,0,0,5.2126,0,0,0,6.7549,0,0,0,4.8954,0,0,0,0,0,0
0,0,0,4.067,0,6.2862,2.4273,3.5391,4.7361,3.5431,2.385,4.9281,2.2783,1.3225,6.5556,0,0,0,0,3.6813,0,2.5198,0,5.3418,0,0,0,4.2795,2.8261,0,0,5.7265,0,6.0042,0,0,0,0,0,0,0,0,1.4595,0,0,1.7624,0,0,0,0,0,0,0,0,0,0,0,1.471,0,0,0,0,0,0,0,0,0,0
3.7637,0,5.0009,5.608,6.2862,0,8.0269,8.9057,5.9078,9.6516,4.0752,8.9955,3.9976,6.6966,7.3397,0,3.236,2.1185,0,6.1543,4.0437,1.6335,5.0369,5.9102,0,2.6935,2.2794,7.6308,5.9802,4.7589,0,6.0538,2.64,5.6651,0,0,0,0,0,2.6417,0,0,4.6125,0,0,4.3412,0,0,0,0,0,0,0,3.5676,0,0,0,5.6407,0,0,0,3.8621,0,0,0,0,0,0
8.0588,2.0524,8.154,4.8806,2.4273,8.0269,0,8.7652,5.8904,9.5593,2.1536,5.4585,3.322,9.3538,4.5895,2.6181,6.286,0,3.4446,4.3014,7.0387,3.0934,7.8259,6.9983,0,6.1134,6.1926,10.512,8.077,9.2668,0,2.7705,5.5684,6.6232,0,0,0,0,0,0,4.8803,0,5.2009,0,0,3.8328,0,0,0,2.486,0,0,0,4.3914,1.6519,3.1584,0,6.8352,0,0,0,5.6811,1.6429,2.7339,0,0,0,0
6.0524,1.2069,7.1065,4.6448,3.5391,8.9057,8.7652,0,5.6687,8.5806,4.6465,7.2209,3.9851,9.2128,4.7078,0,6.56,3.076,2.9507,5.7257,5.6605,2.4276,7.3374,6.3863,1.222,5.1686,3.8697,7.2687,6.4215,7.2767,1.405,5.9358,3.3469,5.5149,0,0,0,0,0,0,0,0,5.2116,0,0,4.3886,0,0,0,0,0,0,0,0,0,2.6201,0,6.0186,0,0,0,4.543,0,0,0,0,0,0
3.0766,6.7028,2.7367,7.1908,4.7361,5.9078,5.8904,5.6687,0,7.4174,3.1741,7.1773,5.1097,5.1098,6.5732,3.9211,3.3782,0,1.5687,6.8682,3.2101,7.9008,3.31,9.4376,6.4593,3.4823,7.7471,7.8799,5.5758,5.2776,1.7423,2.9511,3.4975,4.7003,2.1691,2.9126,1.4428,5.2259,1.3246,3.5668,4.9916,3.8196,5.9804,5.7426,0,4.7827,0,3.416,2.5428,4.2592,0,0,0,5.1944,3.4759,4.5384,3.1765,6.9375,2.2155,0,3.5356,6.7213,3.9344,4.1382,0,0,1.9298,3.1277
4.4608,0,4.9016,8.8338,3.5431,9.6516,9.5593,8.5806,7.4174,0,2.7125,9.2344,3.8232,7.9449,5.6052,0,2.8644,0,0,9.0847,3.4315,1.346,4.4495,6.504,0,2.7694,2.6261,9.5003,7.3656,3.9327,0,3.3403,3.3221,6.8099,0,0,0,4.2831,0,0,0,0,6.3949,0,0,5.9871,0,0,2.9461,0,0,0,0,5.3619,0,2.1102,0,7.5783,0,0,0,4.993,0,0,0,0,0,0
