0,0,4.5604,1.7734,0,3.3193,8.0018,5.7909,3.2108,4.3945,2.6398,2.0102,0,8.7074,1.238,0,6.0354,0,3.5536,1.7547,3.9132,1.5835,5.6453,3.8979,0,3.8716,3.5051,5.1159,8.4475,7.8477,0,2.4153,3.4589,4.3674,0,0,0,0,0,0,0,0,2.496,0,0,0,0,0,0,0,0,0,0,0,0,1.1538,0,3.3953,0,0,0,2.7463,0,0,0,0,0,0
0,0,4.3479,0,0,0,2.139,1.5161,6.6417,0,4.9409,1.964,6.5883,1.9714,3.5752,4.9572,5.3794,2.9791,4.3139,0,2.4285,7.4038,3.8444,7.2282,7.6906,6.103,9.3019,3.7393,2.1426,2.0109,4.3289,1.886,0,4.5781,0,5.7571,4.581,0,0,0,0,0,1.7123,0,3.3084,0,5.3818,0,0,2.7535,4.0595,1.5483,3.2107,0,0.73926,3.793,3.2853,2.5486,4.4184,5.6304,7.3378,0.68661,0,1.12,3.4389,0,0,2.449
4.5604,4.3479,0,0,0,4.7814,8.1966,7.074,2.1281,4.9507,3.2428,0,0,7.0737,0,3.3963,8.8736,3.8607,6.2244,0,7.3128,3.8242,9.7391,4.5651,1.3925,9.7465,9.8279,7.0515,4.7133,6.8805,1.0783,0,2.4871,5.9714,0,5.0132,7.2517,0,0,0,0,0,1.568,0,0,0,0,0,0,3.9545,5.9071,0,3.6523,0,1.6435,4.1639,6.4362,1.778,1.7194,6.1513,8.1034,0,0,0,0,0,0,2.6651
1.7734,0,0,0,3.8963,5.5564,5.0262,4.6446,7.2177,8.7908,0,8.4116,1.7348,3.9748,5.8446,0,0,0,0,9.8739,0,1.2749,0,8.1132,0,0,0,9.3698,4.6503,1.6021,0,1.0417,1.7445,4.1055,0,0,0,4.318,0,2.801,3.5045,0,5.5219,4.4466,0,5.1574,0,0,2.1101,0,0,0,0,5.2023,0,0.52437,0,6.8911,0,0,0,4.8603,0,0,0,0,0,0
0,0,0,3.8963,0,6.2439,2.3729,3.3194,4.7219,3.5052,0,5.0539,1.836,1.1705,6.6608,0,0,0,0,3.5947,0,2.2516,0,5.0093,0,0,0,4.0559,2.3324,0,0,5.8542,0,5.8145,0,0,0,0,0,0,0,0,1.5366,0,0,1.7028,0,0,0,0,0,0,0,0,0,0,0,1.4122,0,0,0,0,0,0,0,0,0,0
3.3193,0,4.7814,5.5564,6.2439,0,7.8431,8.917,6.1106,9.5704,4.0172,9.0178,4.0811,6.5807,7.3457,0,3.4196,1.4968,0,6.2113,3.5424,1.5806,4.5643,6.0234,0,2.625,2.343,7.5215,5.9633,4.0877,0,6.2053,2.9687,5.8384,0,0,0,2.2745,0,3.5438,3.2349,0,4.9966,0,0,4.6,0,0,1.8496,0,0,0,0,3.7625,0,1.0974,0,5.8724,0,0,0,4.0299,0,0,0,0,0,0
8.0018,2.139,8.1966,5.0262,2.3729,7.8431,0,8.7318,5.8726,9.5065,2.2015,5.3768,3.135,9.4001,4.477,3.1984,6.2291,0,3.0249,4.2613,7.1495,3.4684,7.9511,7.0311,0,6.1874,6.4702,10.511,8.0307,9.2511,0,3.1128,5.7745,6.6822,0,1.5581,0,0,0,0,4.6693,0,5.2744,0,0,3.8586,0,0,0,2.4458,0,0,0,3.7255,1.4465,3.2209,0,6.8726,0,0,0,5.6255,0,3.0553,0,0,0,0
5.7909,1.5161,7.074,4.6446,3.3194,8.917,8.7318,0,6.0259,8.6049,4.8199,7.2979,4.0668,9.2383,4.8799,0,6.753,3.1075,3.5051,5.8461,5.5221,2.8098,7.2573,6.4439,1.2948,5.2785,4.4144,7.2871,6.5739,7.0229,1.4097,6.3726,3.5373,5.8418,0,0,0,0,0,0,0,0,5.4448,0,0,3.9911,0,0,0,0,0,0,0,0,0,2.184,0,6.1735,0,0,0,4.3668,0,0,0,0,0,0
3.2108,6.6417,2.1281,7.2177,4.7219,6.1106,5.8726,6.0259,0,7.2807,3.3071,7.27,5.0428,5.2085,6.6871,4.4665,3.1807,0,0,6.9219,3.4176,7.7786,3.6985,9.4048,6.6544,3.2803,7.7454,7.8613,5.6159,5.0472,1.8774,3.0029,3.6328,4.8785,1.938,3.0522,1.245,4.9811,0,3.7091,4.8192,3.9278,5.9791,5.6048,0,4.52,1.5495,3.2996,2.1557,4.2495,0,0,0,5.211,3.3365,4.6617,2.9196,6.8373,2.0785,0,3.3266,6.4393,3.7599,3.9429,0,0,2.0726,3.1077
4.3945,0,4.9507,8.7908,3.5052,9.5704,9.5065,8.6049,7.2807,0,2.6826,9.1041,3.6129,7.9663,5.4396,0,2.2305,0,0,9.051,3.5503,1.5455,4.4236,6.5645,0,2.9751,2.9506,9.483,7.3962,3.9124,0,3.6762,3.5317,6.9292,0,0,0,0,0,0,4.2068,0,6.4164,0,0,6.073,0,0,2.5467,0,0,0,0,5.3979,0,1.4093,0,7.5546,0,0,0,5.0236,0,0,0,0,0,0
